6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2006-01-04","10210","10360","10120","10350","618400","10350"
"2006-01-05","10400","10490","10340","10420","1289700","10420"
"2006-01-06","10330","10500","10300","10330","929700","10330"
"2006-01-10","10370","10390","10100","10100","994800","10100"
"2006-01-11","10200","10320","10030","10320","1109100","10320"
"2006-01-12","10490","10520","10380","10480","1058700","10480"
"2006-01-13","10680","10680","10430","10570","1610300","10570"
"2006-01-16","10450","10450","10280","10310","715200","10310"
"2006-01-17","10310","10390","10040","10040","834400","10040"
"2006-01-18","9740","9860","9610","9760","2034100","9760"
"2006-01-19","9830","9950","9670","9750","1612200","9750"
"2006-01-20","9820","9840","9620","9650","1384100","9650"
"2006-01-23","9450","9490","9310","9350","969000","9350"
"2006-01-24","9520","9610","9440","9540","872800","9540"
"2006-01-25","9540","9720","9500","9500","920400","9500"
"2006-01-26","9700","9790","9600","9790","1072600","9790"
"2006-01-27","10030","10050","9920","10040","1243200","10040"
"2006-01-30","10220","10430","10200","10200","1325300","10200"
"2006-01-31","10330","10340","10250","10330","610200","10330"
"2006-02-01","10300","10370","10120","10160","739100","10160"
"2006-02-02","10240","10420","10240","10400","777500","10400"
"2006-02-03","10300","10330","10200","10260","547800","10260"
"2006-02-06","10210","10300","10130","10260","791600","10260"
"2006-02-07","10260","10260","10100","10110","605700","10110"
"2006-02-08","10000","10100","9800","9810","878600","9810"
"2006-02-09","9910","10080","9850","10030","680400","10030"
"2006-02-10","10030","10040","9630","9780","2339800","9780"
"2006-02-13","9780","9780","9400","9400","1173100","9400"
"2006-02-14","9690","10080","9520","10060","1809400","10060"
"2006-02-15","10060","10120","9820","9840","1045800","9840"
"2006-02-16","9850","10010","9720","10000","1026600","10000"
"2006-02-17","10010","10110","9760","9760","1009800","9760"
"2006-02-20","9700","9820","9510","9570","1255200","9570"
"2006-02-21","9700","9770","9590","9770","940600","9770"
"2006-02-22","9670","9830","9630","9730","939400","9730"
"2006-02-23","9830","9880","9600","9850","1112100","9850"
"2006-02-24","9850","9880","9770","9840","510700","9840"
"2006-02-27","9940","10090","9910","10000","650400","10000"
"2006-02-28","10000","10020","9700","9900","932700","9900"
"2006-03-01","9900","10060","9770","9990","746500","9990"
"2006-03-02","9970","10050","9900","9960","604200","9960"
"2006-03-03","9960","9960","9700","9710","919800","9710"
"2006-03-06","9630","9720","9560","9690","980100","9690"
"2006-03-07","9790","9810","9610","9650","546600","9650"
"2006-03-08","9570","9620","9360","9460","1032500","9460"
"2006-03-09","9490","9980","9490","9980","1157900","9980"
"2006-03-10","9920","10090","9850","9920","2765800","9920"
"2006-03-13","9990","10260","9990","10250","1047500","10250"
"2006-03-14","10280","10280","10130","10150","618000","10150"
"2006-03-15","10240","10250","10160","10200","504900","10200"
"2006-03-16","10270","10320","10190","10230","1083300","10230"
"2006-03-17","10290","10360","10270","10330","998400","10330"
"2006-03-20","10380","10840","10330","10790","1526800","10790"
"2006-03-22","10700","10910","10690","10760","1080200","10760"
"2006-03-23","10840","10900","10620","10660","801500","10660"
"2006-03-24","10730","10880","10640","10700","489900","10700"
"2006-03-27","10700","10950","10700","10820","578300","10820"
"2006-03-28","10700","10900","10540","10850","524600","10850"
"2006-03-29","10860","11310","10760","11260","974300","11260"
"2006-03-30","11460","11690","11260","11300","1328100","11300"
"2006-03-31","11400","11440","11260","11330","767800","11330"
"2006-04-03","11330","11760","11300","11680","1046100","11680"
"2006-04-04","11700","11850","11500","11660","1088700","11660"
"2006-04-05","11730","11900","11400","11550","933200","11550"
"2006-04-06","11560","11660","11430","11640","833200","11640"
"2006-04-07","11650","11700","11480","11650","616600","11650"
"2006-04-10","11580","11670","11490","11590","955100","11590"
"2006-04-11","11510","11570","11250","11440","845000","11440"
"2006-04-12","11240","11520","11240","11390","1118700","11390"
"2006-04-13","11400","11500","11180","11360","902100","11360"
"2006-04-14","11550","11550","11280","11360","959200","11360"
"2006-04-17","11360","11500","11290","11290","405700","11290"
"2006-04-18","11260","11490","11240","11430","835200","11430"
"2006-04-19","11550","11620","11250","11320","1236400","11320"
"2006-04-20","11230","11310","11050","11100","1074400","11100"
"2006-04-21","11000","11200","10850","10980","1657900","10980"
"2006-04-24","10800","11030","10660","10840","1340100","10840"
"2006-04-25","10790","10800","10510","10780","1694200","10780"
"2006-04-26","10760","11120","10670","11110","1396800","11110"
"2006-04-27","11130","11190","11000","11080","822300","11080"
"2006-04-28","11050","11080","10670","10770","1074900","10770"
"2006-05-01","10920","10920","10780","10870","554400","10870"
"2006-05-02","10900","11110","10800","11050","740600","11050"
"2006-05-08","11100","11150","11000","11050","727400","11050"
"2006-05-09","11060","11110","10940","11020","655300","11020"
"2006-05-10","11040","11180","10930","11040","1144800","11040"
"2006-05-11","10890","11180","10880","11060","998600","11060"
"2006-05-12","10790","10910","10640","10810","1354900","10810"
"2006-05-15","10600","10740","10500","10690","886100","10690"
"2006-05-16","10800","10890","10470","10550","749100","10550"
"2006-05-17","10490","10680","10450","10590","859200","10590"
"2006-05-18","10220","10630","10220","10570","1114500","10570"
"2006-05-19","10370","10610","10310","10580","872200","10580"
"2006-05-22","10560","10570","10040","10090","1347300","10090"
"2006-05-23","10000","10090","9770","10010","1286600","10010"
"2006-05-24","10010","10090","9750","10080","1402000","10080"
"2006-05-25","10000","10130","9830","9920","623900","9920"
"2006-05-26","10020","10290","9970","10270","654200","10270"
"2006-05-29","10470","10470","10170","10210","557100","10210"
"2006-05-30","10240","10240","10080","10110","470400","10110"
"2006-05-31","10000","10040","9780","9930","748700","9930"
"2006-06-01","9940","10080","9820","9990","664000","9990"
"2006-06-02","10090","10390","10030","10340","1426600","10340"
"2006-06-05","10140","10310","10090","10110","518800","10110"
"2006-06-06","9940","9960","9810","9830","689800","9830"
"2006-06-07","9780","9870","9610","9610","742600","9610"
"2006-06-08","9500","9530","8970","9160","2319200","9160"
