6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2004-01-05","6490","6500","6430","6430","407800","6430"
"2004-01-06","6480","6480","6390","6460","612200","6460"
"2004-01-07","6470","6470","6310","6320","548200","6320"
"2004-01-08","6370","6530","6340","6490","1361000","6490"
"2004-01-09","6650","6790","6580","6710","2482200","6710"
"2004-01-13","6750","6760","6550","6620","1060200","6620"
"2004-01-14","6550","6660","6490","6580","746700","6580"
"2004-01-15","6600","6640","6420","6420","786800","6420"
"2004-01-16","6430","6570","6420","6560","846500","6560"
"2004-01-19","6640","6660","6540","6660","930600","6660"
"2004-01-20","6660","6760","6570","6680","1377900","6680"
"2004-01-21","6680","6780","6640","6670","947200","6670"
"2004-01-22","6700","6750","6650","6750","1065400","6750"
"2004-01-23","6800","6950","6720","6900","2154300","6900"
"2004-01-26","6850","6870","6770","6830","1152700","6830"
"2004-01-27","6930","6950","6850","6900","1080500","6900"
"2004-01-28","6800","6870","6760","6810","881100","6810"
"2004-01-29","6610","6750","6610","6750","982300","6750"
"2004-01-30","6700","6810","6700","6790","625900","6790"
"2004-02-02","6720","6750","6630","6640","1104900","6640"
"2004-02-03","6640","6690","6410","6570","1036200","6570"
"2004-02-04","6500","6530","6430","6520","1183000","6520"
"2004-02-05","6460","6550","6410","6490","956300","6490"
"2004-02-06","6490","6490","6400","6440","786800","6440"
"2004-02-09","6340","6430","6260","6350","1339300","6350"
"2004-02-10","6390","6390","6250","6270","640100","6270"
"2004-02-12","6400","6510","6370","6380","752200","6380"
"2004-02-13","6280","6370","6260","6330","922400","6330"
"2004-02-16","6230","6320","6210","6220","811000","6220"
"2004-02-17","6230","6470","6220","6370","602600","6370"
"2004-02-18","6550","6630","6490","6500","1777500","6500"
"2004-02-19","6600","6690","6550","6640","879500","6640"
"2004-02-20","6690","6800","6640","6760","1516400","6760"
"2004-02-23","6830","6870","6800","6840","1686000","6840"
"2004-02-24","6750","6790","6610","6630","1000700","6630"
"2004-02-25","6650","6780","6630","6700","619800","6700"
"2004-02-26","6780","6820","6710","6820","567800","6820"
"2004-02-27","6850","6910","6810","6860","1111500","6860"
"2004-03-01","6870","6990","6860","6870","1158000","6870"
"2004-03-02","6940","6980","6910","6980","1140200","6980"
"2004-03-03","6950","6970","6780","6850","1196800","6850"
"2004-03-04","6790","6950","6790","6910","869800","6910"
"2004-03-05","6960","6960","6870","6950","714500","6950"
"2004-03-08","6960","6980","6790","6790","969300","6790"
"2004-03-09","6770","6880","6720","6730","807300","6730"
"2004-03-10","6720","6770","6650","6710","983300","6710"
"2004-03-11","6610","6750","6610","6620","904200","6620"
"2004-03-12","6420","6590","6420","6550","3619600","6550"
"2004-03-15","6610","6650","6520","6530","608800","6530"
"2004-03-16","6500","6550","6430","6430","652000","6430"
"2004-03-17","6450","6540","6410","6410","1220400","6410"
"2004-03-18","6490","6580","6450","6480","1464500","6480"
"2004-03-19","6420","6460","6410","6420","1137600","6420"
"2004-03-22","6400","6430","6380","6400","646300","6400"
"2004-03-23","6330","6380","6280","6360","1162700","6360"
"2004-03-24","6410","6420","6270","6280","1246600","6280"
"2004-03-25","6280","6330","6280","6290","1584000","6290"
"2004-03-26","6480","6590","6420","6580","1660700","6580"
"2004-03-29","6630","6680","6520","6600","834800","6600"
"2004-03-30","6620","6650","6470","6500","821100","6500"
"2004-03-31","6590","6600","6490","6530","674500","6530"
"2004-04-01","6630","6640","6440","6440","1240600","6440"
"2004-04-02","6460","6600","6460","6580","1187000","6580"
"2004-04-05","6780","6850","6720","6830","1610500","6830"
"2004-04-06","6900","6930","6810","6920","1455300","6920"
"2004-04-07","6830","6880","6800","6800","735000","6800"
"2004-04-08","6800","6800","6680","6770","649200","6770"
"2004-04-09","6780","6860","6730","6800","1398900","6800"
"2004-04-12","6830","6880","6800","6880","553400","6880"
"2004-04-13","6890","6900","6770","6830","898300","6830"
"2004-04-14","6820","6850","6690","6740","828700","6740"
"2004-04-15","6730","6780","6520","6560","1327600","6560"
