6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2010-01-04","8690","8780","8670","8770","503200","8770"
"2010-01-05","8930","9000","8770","8800","1249000","8800"
"2010-01-06","8740","8790","8670","8740","850800","8740"
"2010-01-07","8690","8710","8510","8540","1092700","8540"
"2010-01-08","8690","8910","8680","8910","2661900","8910"
"2010-01-12","8910","9290","8910","9250","1624800","9250"
"2010-01-13","9110","9190","8960","8960","1043200","8960"
"2010-01-14","9050","9260","9030","9260","1284700","9260"
"2010-01-15","9150","9230","9040","9110","1499500","9110"
"2010-01-18","8970","8980","8830","8920","1249900","8920"
"2010-01-19","8990","9000","8820","8820","560800","8820"
"2010-01-20","8800","8870","8680","8700","1145500","8700"
"2010-01-21","8550","8830","8480","8740","2617800","8740"
"2010-01-22","8460","8580","8450","8460","1879400","8460"
"2010-01-25","8360","8540","8320","8480","1305100","8480"
"2010-01-26","8570","8600","8330","8340","1360400","8340"
"2010-01-27","8340","8360","8250","8250","1053400","8250"
"2010-01-28","8450","8560","8340","8510","1263100","8510"
"2010-01-29","8370","8820","8260","8660","2867900","8660"
"2010-02-01","8960","9140","8890","9040","4264100","9040"
"2010-02-02","9190","9300","9160","9240","1949700","9240"
"2010-02-03","9340","9370","9190","9260","1483500","9260"
"2010-02-04","9170","9220","9060","9130","934600","9130"
"2010-02-05","8840","8980","8820","8860","1509200","8860"
"2010-02-08","8770","8880","8690","8710","1009500","8710"
"2010-02-09","8560","8820","8550","8790","1025200","8790"
"2010-02-10","8940","9010","8850","8850","1121100","8850"
"2010-02-12","8980","8990","8850","8890","1308600","8890"
"2010-02-15","8930","8990","8860","8870","474200","8870"
"2010-02-16","8900","8940","8860","8900","430700","8900"
"2010-02-17","8950","9000","8870","9000","1519600","9000"
"2010-02-18","9060","9070","8880","8900","889400","8900"
"2010-02-19","8890","8930","8680","8680","1045600","8680"
"2010-02-22","8900","9000","8860","9000","1070600","9000"
"2010-02-23","8910","8970","8820","8900","911500","8900"
"2010-02-24","8760","8800","8660","8760","1170000","8760"
"2010-02-25","8850","8860","8650","8660","773900","8660"
"2010-02-26","8750","8760","8660","8680","721400","8680"
"2010-03-01","8680","8840","8670","8730","710800","8730"
"2010-03-02","8750","8790","8670","8770","709500","8770"
"2010-03-03","8740","8810","8700","8800","599700","8800"
"2010-03-04","8810","8820","8610","8640","855700","8640"
"2010-03-05","8730","8900","8710","8890","1286800","8890"
"2010-03-08","9150","9220","9130","9180","1350200","9180"
"2010-03-09","9190","9280","9160","9210","697100","9210"
"2010-03-10","9170","9210","9120","9120","705800","9120"
"2010-03-11","9220","9240","9070","9180","1091500","9180"
"2010-03-12","9300","9330","9240","9270","4648600","9270"
"2010-03-15","9320","9340","9230","9280","482400","9280"
"2010-03-16","9270","9330","9260","9280","645800","9280"
"2010-03-17","9360","9410","9270","9380","990700","9380"
"2010-03-18","9350","9370","9250","9280","661800","9280"
"2010-03-19","9340","9380","9290","9370","692700","9370"
"2010-03-23","9260","9330","9260","9310","529400","9310"
"2010-03-24","9330","9420","9330","9380","835600","9380"
"2010-03-25","9460","9800","9460","9750","1942200","9750"
"2010-03-26","9860","10000","9850","9900","1606400","9900"
"2010-03-29","9850","9950","9820","9910","869400","9910"
"2010-03-30","9990","10040","9920","10010","1008100","10010"
"2010-03-31","10140","10140","9920","9920","1283400","9920"
"2010-04-01","10020","10260","9960","10210","2191400","10210"
"2010-04-02","10150","10270","10130","10220","725600","10220"
"2010-04-05","10460","10570","10420","10490","1228200","10490"
"2010-04-06","10590","10620","10380","10420","985800","10420"
"2010-04-07","10410","10460","10320","10320","892300","10320"
"2010-04-08","10220","10290","10170","10260","1126700","10260"
"2010-04-09","10240","10290","10220","10240","2193000","10240"
"2010-04-12","10410","10500","10310","10310","738200","10310"
"2010-04-13","10250","10290","10140","10250","827000","10250"
"2010-04-14","10300","10430","10210","10400","834700","10400"
"2010-04-15","10540","10590","10480","10560","1134700","10560"
"2010-04-16","10570","10570","10370","10400","876900","10400"
"2010-04-19","10150","10270","10140","10230","803200","10230"
"2010-04-20","10240","10260","10050","10120","1052800","10120"
"2010-04-21","10270","10470","10230","10470","996100","10470"
"2010-04-22","10290","10300","10120","10190","1098500","10190"
"2010-04-23","10100","10260","10070","10090","1011700","10090"
"2010-04-26","10290","10470","10230","10470","1015900","10470"
"2010-04-27","10360","11670","10360","11670","6961000","11670"
"2010-04-28","11070","11320","11040","11050","5063700","11050"
"2010-04-30","11230","11250","11060","11170","1655500","11170"
"2010-05-06","10670","10860","10610","10860","2590700","10860"
"2010-05-07","10500","10640","10070","10120","3929400","10120"
"2010-05-10","10170","10320","9780","9810","4692700","9810"
"2010-05-11","10090","10350","10000","10100","5634200","10100"
"2010-05-12","10140","10240","9850","9950","1597400","9950"
"2010-05-13","10220","10290","10040","10200","1421700","10200"
"2010-05-14","9990","10110","9870","9960","2421400","9960"
"2010-05-17","10110","10110","9610","9700","2124300","9700"
"2010-05-18","9920","10040","9770","9850","1722300","9850"
"2010-05-19","9670","9900","9650","9830","1981100","9830"
"2010-05-20","9760","9770","9480","9550","2023600","9550"
"2010-05-21","9270","9450","9240","9270","2848500","9270"
"2010-05-24","9310","9340","9050","9290","2504300","9290"
"2010-05-25","9150","9170","8850","9020","2246400","9020"
"2010-05-26","9100","9170","8840","8950","2427100","8950"
"2010-05-27","8800","9250","8750","9240","2658400","9240"
"2010-05-28","9540","9750","9470","9650","3159300","9650"
"2010-05-31","9700","9760","9540","9610","1507600","9610"
"2010-06-01","9660","9660","9410","9500","1158800","9500"
"2010-06-02","9400","9700","9390","9470","1711900","9470"
"2010-06-03","9620","9800","9610","9770","2237000","9770"
"2010-06-04","9790","9990","9780","9890","1610700","9890"
"2010-06-07","9590","9590","9270","9320","2353800","9320"
"2010-06-08","9300","9590","9260","9560","1992100","9560"
"2010-06-09","9710","9750","9470","9630","2738000","9630"
"2010-06-10","9980","10240","9880","10230","3259500","10230"
"2010-06-11","10550","10560","10360","10380","5317700","10380"
"2010-06-14","10480","10670","10410","10620","1436800","10620"
"2010-06-15","10490","10580","10440","10540","1020800","10540"
"2010-06-16","10720","10800","10660","10700","1358200","10700"
"2010-06-17","10680","10810","10650","10720","1183700","10720"
"2010-06-18","10720","10890","10720","10780","1367700","10780"
"2010-06-21","11080","11410","11050","11370","2499800","11370"
"2010-06-22","11070","11120","10900","10990","1989900","10990"
"2010-06-23","10690","10900","10680","10780","1292400","10780"
"2010-06-24","10760","11170","10760","11010","1561900","11010"
"2010-06-25","10710","10780","10460","10500","1783300","10500"
"2010-06-28","10480","10650","10380","10600","1357200","10600"
"2010-06-29","10670","10690","10350","10370","1353200","10370"
"2010-06-30","10060","10260","9960","10140","1986600","10140"
"2010-07-01","10230","10230","9810","9930","2191200","9930"
"2010-07-02","10050","10160","9980","10020","1453000","10020"
"2010-07-05","10020","10200","10000","10160","954500","10160"
"2010-07-06","10010","10350","9940","10300","1576800","10300"
"2010-07-07","10230","10280","10020","10060","1452600","10060"
"2010-07-08","10370","10480","10330","10470","1527500","10470"
"2010-07-09","10660","10770","10560","10710","2272700","10710"
"2010-07-12","10600","10820","10560","10620","1173500","10620"
"2010-07-13","10630","10660","10370","10400","1580600","10400"
"2010-07-14","10650","10840","10640","10840","1471900","10840"
"2010-07-15","10700","10790","10660","10740","1057800","10740"
"2010-07-16","10570","10590","10190","10210","1690600","10210"
"2010-07-20","9950","10030","9920","9950","1866500","9950"
"2010-07-21","10100","10150","9820","9890","1247700","9890"
"2010-07-22","9820","9910","9730","9770","1469400","9770"
"2010-07-23","10070","10350","10050","10320","1903000","10320"
"2010-07-26","10530","10550","10440","10490","1027900","10490"
