6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2012-01-04","12040","12090","11980","12030","800600","12030"
"2012-01-05","11900","11980","11860","11880","658700","11880"
"2012-01-06","11900","11950","11670","11740","624300","11740"
"2012-01-10","11900","11980","11820","11890","646100","11890"
"2012-01-11","11920","12020","11860","11970","585300","11970"
"2012-01-12","11860","11960","11730","11730","599500","11730"
"2012-01-13","11740","11780","11600","11650","2580300","11650"
"2012-01-16","11600","11640","11490","11600","1028900","11600"
"2012-01-17","11670","12000","11670","11970","979900","11970"
"2012-01-18","12050","12550","12020","12470","1497300","12470"
"2012-01-19","12590","12900","12590","12860","1540000","12860"
"2012-01-20","13110","13170","12980","13050","1770600","13050"
"2012-01-23","12920","13050","12900","12950","707000","12950"
"2012-01-24","13080","13140","12920","12980","786200","12980"
"2012-01-25","13090","13140","12930","13060","1066200","13060"
"2012-01-26","12980","12990","12740","12800","1512500","12800"
"2012-01-27","12810","12950","12760","12870","1300700","12870"
"2012-01-30","12700","12810","12640","12680","788500","12680"
"2012-01-31","12610","12920","12610","12810","1032000","12810"
"2012-02-01","12690","12840","12620","12670","809900","12670"
"2012-02-02","12710","12790","12590","12640","960700","12640"
"2012-02-03","12510","12670","12510","12570","621900","12570"
"2012-02-06","12870","13100","12840","13030","1069100","13030"
"2012-02-07","13050","13050","12860","12960","699400","12960"
"2012-02-08","13100","13120","13010","13100","854400","13100"
"2012-02-09","12970","13090","12870","13070","1071900","13070"
"2012-02-10","13080","13110","12910","12920","1020400","12920"
"2012-02-13","13100","13430","13060","13210","1460800","13210"
"2012-02-14","13230","13470","13220","13430","1246400","13430"
"2012-02-15","13770","14200","13730","14020","2170500","14020"
"2012-02-16","13970","14060","13840","13860","1197400","13860"
"2012-02-17","14400","14420","14250","14250","1390000","14250"
"2012-02-20","14550","14590","14360","14410","846800","14410"
"2012-02-21","14350","14400","14180","14270","908000","14270"
"2012-02-22","14170","14290","14100","14260","1105100","14260"
"2012-02-23","14140","14320","14140","14280","1045500","14280"
"2012-02-24","14340","14570","14310","14540","1342900","14540"
"2012-02-27","14610","14660","14310","14320","1088200","14320"
"2012-02-28","14240","14600","14190","14600","1016200","14600"
"2012-02-29","14690","14890","14650","14730","1519600","14730"
"2012-03-01","14860","14960","14650","14690","1119700","14690"
"2012-03-02","14850","14890","14670","14750","891100","14750"
"2012-03-05","14690","14810","14670","14700","769100","14700"
"2012-03-06","14680","14680","14220","14330","1188100","14330"
"2012-03-07","13950","14270","13890","14120","1187800","14120"
"2012-03-08","14210","14580","14120","14580","1366400","14580"
"2012-03-09","14880","14900","14570","14720","4066800","14720"
"2012-03-12","14900","14910","14610","14640","1143600","14640"
"2012-03-13","14660","14960","14660","14750","1446200","14750"
"2012-03-14","15000","15240","14980","15100","1268700","15100"
"2012-03-15","15110","15280","15100","15200","991100","15200"
"2012-03-16","15200","15220","15110","15200","870300","15200"
"2012-03-19","15330","15630","15310","15500","1054200","15500"
"2012-03-21","15440","15600","15230","15360","1697200","15360"
"2012-03-22","15200","15350","15000","15170","1475800","15170"
"2012-03-23","14880","15020","14810","15020","991500","15020"
"2012-03-26","15020","15060","14890","15020","626400","15020"
