6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2013-01-04","17080","17130","16500","16540","1432000","16540"
"2013-01-07","16550","16550","15900","15910","1384400","15910"
"2013-01-08","15670","15860","15550","15700","1146000","15700"
"2013-01-09","15500","15950","15480","15860","1231200","15860"
"2013-01-10","15900","16150","15830","15860","874500","15860"
"2013-01-11","16160","16230","15610","15630","2156900","15630"
"2013-01-15","15630","15640","15030","15100","2371900","15100"
"2013-01-16","14830","14840","14430","14450","2339900","14450"
"2013-01-17","14460","14690","14220","14670","2089500","14670"
"2013-01-18","14870","14940","14710","14930","2105200","14930"
"2013-01-21","14790","14800","14350","14350","1638300","14350"
"2013-01-22","14270","14460","14060","14200","2163500","14200"
"2013-01-23","14000","14090","13910","13950","1835100","13950"
"2013-01-24","13950","14120","13780","13900","1881800","13900"
"2013-01-25","14410","14570","14150","14570","1922200","14570"
"2013-01-28","14200","14250","13550","13550","3811900","13550"
"2013-01-29","13500","13940","13360","13930","3557400","13930"
"2013-01-30","14000","14360","13880","14360","2570700","14360"
"2013-01-31","14150","14350","14030","14250","1758800","14250"
"2013-02-01","14260","14280","13960","14170","1756700","14170"
"2013-02-04","14350","14390","14180","14330","1267300","14330"
"2013-02-05","14050","14400","14030","14250","1516900","14250"
"2013-02-06","14460","14730","14330","14610","1830000","14610"
"2013-02-07","14750","14800","14560","14790","1409900","14790"
"2013-02-08","14570","15100","14570","14750","2202300","14750"
"2013-02-12","15000","15040","14820","14830","1266200","14830"
"2013-02-13","14700","14950","14620","14810","1084800","14810"
"2013-02-14","14940","15140","14840","15010","1341800","15010"
"2013-02-15","15000","15140","14770","14840","1249300","14840"
"2013-02-18","15130","15200","15070","15150","1048900","15150"
"2013-02-19","14920","14920","14470","14530","2028900","14530"
"2013-02-20","14680","14720","14510","14580","1434900","14580"
"2013-02-21","14340","14350","14060","14260","1683000","14260"
"2013-02-22","14070","14500","14070","14460","1783400","14460"
"2013-02-25","14790","14800","14380","14550","1290200","14550"
"2013-02-26","14050","14320","14050","14190","1325500","14190"
"2013-02-27","14190","14200","13870","13870","1244600","13870"
"2013-02-28","14080","14310","13930","14310","1510800","14310"
"2013-03-01","14240","14400","14160","14280","953600","14280"
"2013-03-04","14280","14300","13990","14000","1180600","14000"
"2013-03-05","14010","14110","13980","14000","796500","14000"
"2013-03-06","14170","14180","13930","13980","847700","13980"
"2013-03-07","14090","14130","13980","14040","1315700","14040"
"2013-03-08","14120","14400","14040","14380","5149800","14380"
"2013-03-11","14500","14560","14370","14410","1479400","14410"
"2013-03-12","14490","14670","14320","14360","1375700","14360"
"2013-03-13","14200","14270","13980","14000","1268800","14000"
"2013-03-14","14110","14130","13980","14120","918400","14120"
"2013-03-15","14160","14410","14070","14410","1263300","14410"
"2013-03-18","14070","14170","14050","14110","1056800","14110"
"2013-03-19","14360","14690","14220","14610","1159800","14610"
"2013-03-21","14950","15510","14950","15360","2401600","15360"
"2013-03-22","14950","14980","14510","14510","1882100","14510"
"2013-03-25","14590","14650","14510","14550","1216700","14550"
"2013-03-26","14650","14970","14590","14780","1452700","14780"
"2013-03-27","15010","15040","14740","14740","1046500","14740"
"2013-03-28","14510","14710","14380","14390","1866000","14390"
"2013-03-29","14620","14650","14410","14490","1050300","14490"
"2013-04-01","14420","14620","14340","14460","1427100","14460"
"2013-04-02","14480","14550","14020","14130","1285100","14130"
"2013-04-03","14300","14310","14060","14280","1000100","14280"
"2013-04-04","14000","14590","13900","14580","1519300","14580"
"2013-04-05","15150","15220","14530","14610","2501500","14610"
"2013-04-08","15100","15110","14720","14750","1243200","14750"
"2013-04-09","15000","15330","14910","15160","2176100","15160"
"2013-04-10","15290","15360","15070","15250","1386800","15250"
"2013-04-11","15500","15800","15400","15800","1926100","15800"
"2013-04-12","16000","16050","15360","15370","2426700","15370"
"2013-04-15","15340","15340","15070","15170","939500","15170"
"2013-04-16","14940","15450","14900","15230","1179600","15230"
"2013-04-17","15460","15460","15050","15220","797100","15220"
"2013-04-18","14910","15070","14820","14870","1351800","14870"
"2013-04-19","15170","15190","14980","15080","759100","15080"
"2013-04-22","15330","15420","15090","15170","780400","15170"
"2013-04-23","15320","15500","15070","15180","1055400","15180"
"2013-04-24","15450","15530","15290","15520","1142200","15520"
"2013-04-25","15530","15710","15460","15470","1053300","15470"
"2013-04-26","15580","15680","15420","15570","891400","15570"
"2013-04-30","14770","14780","14170","14700","3355900","14700"
"2013-05-01","14610","14770","14330","14380","1418500","14380"
"2013-05-02","14310","14630","14230","14560","1291300","14560"
"2013-05-07","15080","15240","14820","15240","1646400","15240"
"2013-05-08","15260","15900","15210","15790","1783500","15790"
"2013-05-09","15990","16570","15820","15820","1494800","15820"
"2013-05-10","16370","16390","15830","15890","1754700","15890"
"2013-05-13","16040","16310","16020","16180","817000","16180"
"2013-05-14","16090","16170","15930","15930","818800","15930"
"2013-05-15","16060","16480","15980","16460","1357700","16460"
"2013-05-16","16690","16720","16270","16370","1254100","16370"
"2013-05-17","16370","16450","16100","16190","1370400","16190"
"2013-05-20","16340","16340","16110","16170","866100","16170"
"2013-05-21","15980","16280","15950","16200","1075000","16200"
"2013-05-22","16270","16820","16160","16640","1914300","16640"
"2013-05-23","16980","17460","15770","15770","3314600","15770"
"2013-05-24","15990","16380","15240","15840","2181900","15840"
"2013-05-27","15300","15740","15210","15320","1169400","15320"
"2013-05-28","15150","15680","15150","15430","1087000","15430"
"2013-05-29","15440","15490","15080","15240","1349000","15240"
"2013-05-30","15010","15190","14610","14610","1760200","14610"
"2013-05-31","15150","15360","15050","15240","1697400","15240"
"2013-06-03","15230","15240","14570","14570","1721700","14570"
"2013-06-04","14580","14820","14440","14780","1403000","14780"
"2013-06-05","14800","14900","14220","14220","1534000","14220"
"2013-06-06","14230","14690","14180","14320","1670600","14320"
"2013-06-07","14240","14880","14170","14630","1821100","14630"
"2013-06-10","15000","15010","14550","14980","1119500","14980"
"2013-06-11","15000","15150","14630","14630","1180400","14630"
"2013-06-12","14500","14920","14400","14850","1200300","14850"
"2013-06-13","14450","14540","13950","14170","1750600","14170"
"2013-06-14","14230","14610","14200","14390","3090200","14390"
"2013-06-17","14170","14670","14160","14630","917000","14630"
"2013-06-18","14590","14800","14460","14570","833300","14570"
"2013-06-19","14750","14820","14560","14670","881200","14670"
"2013-06-20","14370","14450","14170","14200","1355700","14200"
"2013-06-21","14110","14710","14060","14600","1449500","14600"
"2013-06-24","14950","14950","14250","14270","728500","14270"
"2013-06-25","14380","14550","13990","14030","1893800","14030"
"2013-06-26","14220","14230","13700","13800","1556600","13800"
"2013-06-27","13800","14110","13770","14000","995200","14000"
"2013-06-28","14160","14450","13970","14380","1282100","14380"
"2013-07-01","14280","14490","14170","14450","755400","14450"
"2013-07-02","14600","14600","14330","14540","748900","14540"
"2013-07-03","14630","14720","14510","14620","958200","14620"
"2013-07-04","14550","14730","14530","14530","408500","14530"
"2013-07-05","14600","14790","14550","14770","856600","14770"
"2013-07-08","14850","14880","14530","14540","819500","14540"
"2013-07-09","14610","14910","14610","14910","1066300","14910"
"2013-07-10","14900","14940","14630","14760","875200","14760"
"2013-07-11","14710","14890","14670","14860","583000","14860"
"2013-07-12","14840","15250","14810","15180","1619300","15180"
"2013-07-16","15320","15340","15200","15260","952700","15260"
