6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2005-01-04","6720","6800","6700","6770","329700","6770"
"2005-01-05","6800","6820","6750","6800","941500","6800"
"2005-01-06","6750","6810","6750","6780","648900","6780"
"2005-01-07","6820","6820","6730","6780","493900","6780"
"2005-01-11","6820","6860","6790","6800","853100","6800"
"2005-01-12","6770","6830","6770","6800","395700","6800"
"2005-01-13","6770","6860","6760","6830","844800","6830"
"2005-01-14","6840","7000","6830","6930","2858000","6930"
"2005-01-17","6980","7100","6960","7060","1063600","7060"
"2005-01-18","7150","7220","7120","7140","3265500","7140"
"2005-01-19","7100","7110","6970","6990","1060000","6990"
"2005-01-20","6920","6980","6900","6960","773200","6960"
"2005-01-21","6860","6970","6860","6900","556200","6900"
"2005-01-24","6870","6990","6870","6990","427700","6990"
"2005-01-25","6960","6960","6870","6910","688800","6910"
"2005-01-26","6950","6970","6890","6930","519500","6930"
"2005-01-27","6880","6950","6870","6900","297100","6900"
"2005-01-28","6850","6880","6750","6870","670200","6870"
"2005-01-31","6880","7080","6880","6990","957900","6990"
"2005-02-01","6990","7000","6900","6990","558400","6990"
"2005-02-02","6950","6960","6860","6890","759800","6890"
"2005-02-03","6850","6920","6850","6900","517000","6900"
"2005-02-04","6880","6910","6760","6850","670400","6850"
"2005-02-07","6840","6990","6840","6950","682200","6950"
"2005-02-08","6940","6940","6870","6880","392400","6880"
"2005-02-09","6950","7040","6940","6950","545800","6950"
"2005-02-10","6880","7030","6880","7030","962300","7030"
"2005-02-14","7060","7180","7060","7110","829300","7110"
"2005-02-15","7130","7200","7120","7200","744900","7200"
"2005-02-16","7200","7240","7160","7160","1025300","7160"
"2005-02-17","7110","7220","7070","7100","921700","7100"
"2005-02-18","7070","7120","7010","7080","863000","7080"
"2005-02-21","7100","7130","7050","7100","664500","7100"
"2005-02-22","7020","7020","6920","6930","1521600","6930"
"2005-02-23","6730","6780","6700","6760","2805600","6760"
"2005-02-24","6800","6820","6720","6810","1407400","6810"
"2005-02-25","6880","6880","6820","6830","1029500","6830"
"2005-02-28","6870","6930","6840","6880","1081900","6880"
"2005-03-01","6920","6950","6910","6930","951100","6930"
"2005-03-02","6940","6950","6890","6920","763400","6920"
"2005-03-03","6930","7000","6920","7000","893500","7000"
"2005-03-04","6960","7020","6950","7020","885500","7020"
"2005-03-07","7090","7090","7000","7040","699500","7040"
"2005-03-08","7090","7100","7060","7080","1366100","7080"
"2005-03-09","7080","7100","7050","7090","970300","7090"
"2005-03-10","6990","7040","6910","6930","940600","6930"
"2005-03-11","6920","7050","6910","6960","4048900","6960"
"2005-03-14","7020","7030","6940","6940","455500","6940"
"2005-03-15","6920","6960","6820","6860","1130600","6860"
"2005-03-16","6890","6920","6810","6830","664700","6830"
"2005-03-17","6790","6820","6750","6750","754900","6750"
"2005-03-18","6790","6910","6780","6830","622000","6830"
"2005-03-22","6740","6790","6730","6750","710400","6750"
"2005-03-23","6720","6740","6630","6670","1007900","6670"
"2005-03-24","6660","6740","6650","6730","570700","6730"
"2005-03-25","6750","6820","6740","6820","764500","6820"
"2005-03-28","6790","6870","6740","6750","470100","6750"
"2005-03-29","6750","6750","6570","6680","1144500","6680"
"2005-03-30","6580","6720","6580","6700","1020800","6700"
"2005-03-31","6600","6730","6600","6710","791700","6710"
"2005-04-01","6640","6780","6610","6760","548200","6760"
"2005-04-04","6720","6800","6720","6780","506100","6780"
