6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2003-01-06","5490","5490","5400","5430","268600","5430"
"2003-01-07","5500","5530","5410","5420","466600","5420"
"2003-01-08","5430","5430","5330","5400","302600","5400"
"2003-01-09","5360","5420","5270","5400","426700","5400"
"2003-01-10","5410","5450","5150","5340","858200","5340"
"2003-01-14","5350","5510","5290","5500","746300","5500"
"2003-01-15","5500","5510","5390","5510","685900","5510"
"2003-01-16","5490","5500","5390","5470","471800","5470"
"2003-01-17","5450","5600","5430","5520","566500","5520"
"2003-01-20","5500","5530","5310","5320","588100","5320"
"2003-01-21","5320","5490","5270","5400","577000","5400"
"2003-01-22","5320","5390","5260","5270","835300","5270"
"2003-01-23","5370","5500","5300","5500","938700","5500"
"2003-01-24","5560","5620","5370","5430","1498600","5430"
"2003-01-27","5390","5510","5380","5390","769300","5390"
"2003-01-28","5330","5360","5290","5310","960800","5310"
"2003-01-29","5290","5290","5000","5030","1185700","5030"
"2003-01-30","5060","5130","5000","5050","751100","5050"
"2003-01-31","5050","5080","4950","5070","666500","5070"
"2003-02-03","5080","5420","5070","5410","1719600","5410"
"2003-02-04","5310","5360","5180","5180","1184900","5180"
"2003-02-05","5080","5150","5050","5100","1324600","5100"
"2003-02-06","5120","5130","4960","5000","1144400","5000"
"2003-02-07","4970","5000","4850","4900","697400","4900"
"2003-02-10","4900","4970","4890","4970","584000","4970"
"2003-02-12","5060","5150","5030","5140","1005800","5140"
"2003-02-13","5180","5210","5090","5130","873400","5130"
"2003-02-14","5160","5270","5120","5230","1384500","5230"
"2003-02-17","5310","5350","5230","5300","626300","5300"
"2003-02-18","5330","5350","5120","5240","635100","5240"
"2003-02-19","5300","5310","5190","5240","473600","5240"
"2003-02-20","5240","5250","5150","5240","345900","5240"
"2003-02-21","5210","5300","5200","5240","626800","5240"
"2003-02-24","5260","5420","5200","5320","1051400","5320"
"2003-02-25","5260","5310","5130","5150","686900","5150"
"2003-02-26","5150","5240","5130","5170","420300","5170"
"2003-02-27","5120","5190","5000","5180","717600","5180"
"2003-02-28","5250","5250","5110","5150","650100","5150"
"2003-03-03","5200","5300","5140","5260","592100","5260"
"2003-03-04","5300","5380","5270","5380","802000","5380"
"2003-03-05","5320","5400","5290","5360","825700","5360"
"2003-03-06","5350","5390","5240","5250","509900","5250"
"2003-03-07","5160","5240","5080","5100","745200","5100"
"2003-03-10","5070","5120","5030","5090","805900","5090"
"2003-03-11","4990","5070","4890","4910","1211400","4910"
"2003-03-12","4810","5020","4770","4900","1248100","4900"
"2003-03-13","4900","4940","4820","4820","579200","4820"
"2003-03-14","4830","5000","4830","4930","2560500","4930"
"2003-03-17","4970","5020","4900","4900","706800","4900"
"2003-03-18","5080","5120","4950","4950","780300","4950"
"2003-03-19","5000","5140","4900","5110","850800","5110"
"2003-03-20","5160","5270","5120","5190","696000","5190"
"2003-03-24","5400","5510","5380","5410","1122800","5410"
"2003-03-25","5300","5400","5230","5250","487800","5250"
"2003-03-26","5260","5390","5260","5360","615600","5360"
"2003-03-27","5370","5380","5310","5350","438000","5350"
"2003-03-28","5300","5350","5150","5230","535300","5230"
"2003-03-31","5230","5240","5060","5140","739500","5140"
"2003-04-01","5040","5150","5020","5130","859300","5130"
"2003-04-02","5210","5250","5100","5240","784100","5240"
"2003-04-03","5340","5350","5180","5250","660600","5250"
"2003-04-04","5260","5360","5200","5300","648100","5300"
"2003-04-07","5320","5480","5240","5480","564700","5480"
"2003-04-08","5320","5390","5280","5320","553600","5320"
"2003-04-09","5260","5370","5220","5240","447800","5240"
"2003-04-10","5200","5230","5090","5110","774500","5110"
"2003-04-11","5080","5100","4900","4920","1254200","4920"
"2003-04-14","5000","5040","4820","4850","1051400","4850"
"2003-04-15","4900","4970","4860","4910","1028200","4910"
"2003-04-16","5100","5160","5010","5150","747500","5150"
"2003-04-17","4990","5050","4940","4940","495200","4940"
"2003-04-18","5030","5030","4940","5020","522500","5020"
"2003-04-21","5010","5080","4970","5070","520700","5070"
"2003-04-22","5000","5040","4870","4900","587300","4900"
"2003-04-23","4910","4990","4810","4860","816400","4860"
"2003-04-24","4850","5000","4850","4970","1214100","4970"
"2003-04-25","4870","4940","4680","4720","1198100","4720"
"2003-04-28","4730","4780","4670","4700","544600","4700"
"2003-04-30","4850","4940","4820","4880","875100","4880"
"2003-05-01","4950","5040","4910","4990","914300","4990"
"2003-05-02","5010","5010","4940","5010","744200","5010"
"2003-05-06","5070","5150","5060","5070","798600","5070"
"2003-05-07","5140","5150","5050","5140","799000","5140"
"2003-05-08","5100","5120","4990","5020","668900","5020"
"2003-05-09","5030","5030","4870","4930","1495800","4930"
"2003-05-12","4900","4900","4790","4820","1438500","4820"
"2003-05-13","4900","4940","4780","4790","1410300","4790"
"2003-05-14","4840","4950","4820","4860","933600","4860"
"2003-05-15","4910","4930","4840","4870","776900","4870"
"2003-05-16","4900","5000","4890","4950","725900","4950"
"2003-05-19","4950","4950","4870","4920","697300","4920"
"2003-05-20","4860","4930","4860","4910","727600","4910"
"2003-05-21","4910","4970","4860","4870","488400","4870"
"2003-05-22","4830","4930","4820","4880","360900","4880"
"2003-05-23","4930","4950","4870","4930","730500","4930"
"2003-05-26","4920","5000","4920","4980","623300","4980"
"2003-05-27","4930","4990","4910","4930","338900","4930"
"2003-05-28","5000","5060","4970","5030","760100","5030"
"2003-05-29","5200","5340","5160","5300","1964800","5300"
"2003-05-30","5310","5450","5310","5400","2956800","5400"
"2003-06-02","5550","5710","5510","5600","1859800","5600"
"2003-06-03","5600","5640","5470","5580","909400","5580"
"2003-06-04","5640","5680","5570","5600","1022700","5600"
"2003-06-05","5700","5730","5630","5690","1043100","5690"
"2003-06-06","5750","5790","5680","5760","962700","5760"
"2003-06-09","5710","5930","5680","5850","1098200","5850"
"2003-06-10","5750","5810","5630","5780","1329900","5780"
"2003-06-11","5800","5980","5780","5830","1395500","5830"
"2003-06-12","6000","6020","5890","5890","1639900","5890"
"2003-06-13","5880","5950","5840","5850","3062500","5850"
"2003-06-16","5880","5880","5750","5780","855800","5780"
"2003-06-17","5990","6150","5980","6130","1468000","6130"
"2003-06-18","6230","6370","6190","6230","1525800","6230"
"2003-06-19","6230","6250","6150","6230","798000","6230"
"2003-06-20","6130","6170","6080","6110","787800","6110"
"2003-06-23","6120","6240","6070","6120","600600","6120"
"2003-06-24","6020","6080","5950","6020","796400","6020"
"2003-06-25","5960","6040","5920","5920","654800","5920"
"2003-06-26","5870","5930","5750","5930","1164600","5930"
"2003-06-27","6100","6130","6020","6050","732500","6050"
"2003-06-30","6000","6040","5930","5950","619100","5950"
"2003-07-01","6040","6260","5980","6170","891300","6170"
"2003-07-02","6340","6550","6310","6550","1208800","6550"
"2003-07-03","6750","6790","6250","6390","1219400","6390"
"2003-07-04","6370","6540","6300","6360","691700","6360"
"2003-07-07","6390","6670","6370","6650","825300","6650"
