6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2011-01-04","12650","12700","12570","12690","1022400","12690"
"2011-01-05","12620","12640","12550","12630","910800","12630"
"2011-01-06","12810","13050","12790","12970","1355000","12970"
"2011-01-07","12980","13110","12940","13100","1160900","13100"
"2011-01-11","13090","13090","12950","12980","1133100","12980"
"2011-01-12","13020","13070","12920","12920","926600","12920"
"2011-01-13","13000","13070","12970","13050","913900","13050"
"2011-01-14","12860","13040","12800","12810","1652000","12810"
"2011-01-17","12980","12980","12840","12860","776800","12860"
"2011-01-18","12800","12960","12800","12930","579700","12930"
"2011-01-19","12990","13020","12900","12980","586200","12980"
"2011-01-20","12830","12890","12660","12760","870300","12760"
"2011-01-21","12670","12700","12200","12230","2008000","12230"
"2011-01-24","12380","12400","12200","12320","918200","12320"
"2011-01-25","12320","12620","12300","12620","1024400","12620"
"2011-01-26","12530","12680","12530","12670","933800","12670"
"2011-01-27","12850","13340","12780","13250","4992200","13250"
"2011-01-28","13150","13200","12840","12920","1810100","12920"
"2011-01-31","12780","13080","12640","12960","1732500","12960"
"2011-02-01","13130","13130","12960","13010","742600","13010"
"2011-02-02","12850","12990","12700","12840","1774700","12840"
"2011-02-03","12560","12600","12340","12390","1706400","12390"
"2011-02-04","12460","12500","12370","12390","1140900","12390"
"2011-02-07","12510","12550","12360","12380","1185400","12380"
"2011-02-08","12430","12460","12270","12290","1148300","12290"
"2011-02-09","12380","12430","12200","12230","990100","12230"
"2011-02-10","12120","12240","12080","12170","1091200","12170"
"2011-02-14","12290","12640","12280","12630","1431000","12630"
"2011-02-15","12680","12710","12540","12620","975500","12620"
"2011-02-16","12680","12800","12630","12720","1290000","12720"
"2011-02-17","12830","12830","12720","12760","699800","12760"
"2011-02-18","12780","12830","12650","12740","1079200","12740"
"2011-02-21","12850","12880","12630","12790","990900","12790"
"2011-02-22","12630","12710","12500","12620","1374100","12620"
"2011-02-23","12500","12540","12360","12410","1038100","12410"
"2011-02-24","12270","12500","12220","12380","1091500","12380"
"2011-02-25","12280","12370","12180","12220","1481700","12220"
"2011-02-28","12370","12710","12320","12680","1919600","12680"
"2011-03-01","12680","12890","12670","12890","1155100","12890"
"2011-03-02","12740","12820","12650","12650","1131300","12650"
"2011-03-03","12750","12820","12690","12800","722000","12800"
"2011-03-04","12980","13000","12890","12960","1240000","12960"
"2011-03-07","13120","13150","12770","12800","1579800","12800"
"2011-03-08","12860","12860","12710","12810","742700","12810"
"2011-03-09","12970","13020","12860","12880","932100","12880"
"2011-03-10","12940","12980","12500","12530","1354900","12530"
"2011-03-11","12280","12610","12280","12350","3972100","12350"
"2011-03-14","11510","12060","11500","11920","2155200","11920"
"2011-03-15","11800","12040","10610","11440","3823000","11440"
"2011-03-16","12340","12380","11500","11840","3710100","11840"
"2011-03-17","11240","11650","11120","11370","3521400","11370"
"2011-03-18","11480","11900","11420","11490","2520200","11490"
"2011-03-22","11910","12190","11890","12150","2849800","12150"
"2011-03-23","12350","12350","11750","11830","2158200","11830"
"2011-03-24","11940","12040","11800","11990","1213700","11990"
"2011-03-25","12090","12180","11990","12180","1483000","12180"
"2011-03-28","12150","12150","11910","12070","1048900","12070"
"2011-03-29","11880","12100","11860","12040","1493200","12040"
"2011-03-30","12110","12400","12070","12400","1165100","12400"
"2011-03-31","12450","12590","12320","12590","1285900","12590"
"2011-04-01","12560","12630","12330","12350","1102900","12350"
"2011-04-04","12450","12580","12430","12510","807700","12510"
"2011-04-05","12520","12580","12400","12450","973700","12450"
"2011-04-06","12540","12550","12300","12330","1328100","12330"
"2011-04-07","12420","12530","12380","12430","860200","12430"
"2011-04-08","12440","12880","12370","12840","2340800","12840"
"2011-04-11","12860","13110","12840","12860","1693900","12860"
"2011-04-12","12760","13060","12720","12990","2089400","12990"
"2011-04-13","13070","13350","13010","13310","2347900","13310"
"2011-04-14","13300","13440","13230","13290","1550900","13290"
"2011-04-15","13300","13340","13060","13150","960800","13150"
"2011-04-18","13150","13290","13050","13120","1124200","13120"
"2011-04-19","12970","13010","12780","12890","1022100","12890"
"2011-04-20","13050","13250","12940","13190","1147600","13190"
"2011-04-21","13300","13380","13200","13250","1120200","13250"
"2011-04-22","13080","13340","13060","13220","1495800","13220"
"2011-04-25","13250","13290","13020","13050","1058400","13050"
"2011-04-26","12820","12910","12770","12800","1053100","12800"
"2011-04-27","12970","13340","12950","13260","2253400","13260"
"2011-04-28","13260","13490","13160","13450","1565900","13450"
"2011-05-02","13520","13560","13440","13540","796000","13540"
"2011-05-06","13280","13340","13060","13160","1582000","13160"
"2011-05-09","13160","13210","13030","13120","1233200","13120"
