6954 東証1部 ファナック(株)（電気機器）,,,,,
"2011-05-10","13070","13170","13040","13110","759200","13110"
"2011-05-11","13300","13310","13170","13210","942800","13210"
"2011-05-12","13020","13200","12970","12970","748100","12970"
"2011-05-13","13010","13030","12760","12940","1560200","12940"
"2011-05-16","12950","13040","12860","12930","697500","12930"
"2011-05-17","12720","12910","12670","12850","1213000","12850"
"2011-05-18","12850","12930","12780","12860","860800","12860"
"2011-05-19","12980","13050","12890","12920","726500","12920"
"2011-05-20","12920","13020","12810","12820","559700","12820"
"2011-05-23","12660","12670","12260","12300","1480900","12300"
"2011-05-24","12200","12370","12180","12310","948500","12310"
"2011-05-25","12270","12340","12170","12200","738200","12200"
"2011-05-26","12330","12520","12290","12510","964100","12510"
"2011-05-27","12380","12490","12330","12360","772700","12360"
"2011-05-30","12230","12310","12140","12270","792500","12270"
"2011-05-31","12240","12490","12210","12490","865300","12490"
"2011-06-01","12640","12720","12600","12670","1211400","12670"
"2011-06-02","12290","12360","12230","12340","1628500","12340"
"2011-06-03","12340","12490","12330","12340","921500","12340"
"2011-06-06","12240","12340","12150","12200","708600","12200"
"2011-06-07","12150","12240","12060","12200","748600","12200"
"2011-06-08","12140","12200","12000","12070","950900","12070"
"2011-06-09","12040","12260","11950","12240","997800","12240"
"2011-06-10","12380","12520","12070","12070","3716900","12070"
"2011-06-13","11970","12200","11960","12150","861400","12150"
"2011-06-14","12170","12370","12090","12350","895900","12350"
"2011-06-15","12440","12550","12390","12540","1035500","12540"
"2011-06-16","12350","12410","12250","12250","974700","12250"
"2011-06-17","12260","12310","12130","12180","958800","12180"
"2011-06-20","12250","12370","12230","12280","715700","12280"
"2011-06-21","12470","12470","12130","12280","1228200","12280"
"2011-06-22","12350","12530","12340","12510","958900","12510"
"2011-06-23","12440","12700","12420","12640","858300","12640"
"2011-06-24","12670","12930","12640","12900","947300","12900"
"2011-06-27","12800","12800","12620","12630","748400","12630"
"2011-06-28","12800","12980","12770","12960","1147300","12960"
"2011-06-29","13350","13460","13320","13430","2058700","13430"
"2011-06-30","13480","13490","13370","13380","1288600","13380"
"2011-07-01","13490","14260","13480","14110","3626400","14110"
"2011-07-04","14220","14270","13970","14030","1246300","14030"
"2011-07-05","14000","14080","13920","13980","773500","13980"
"2011-07-06","14080","14250","14050","14250","1163500","14250"
"2011-07-07","14200","14200","13980","14070","994200","14070"
"2011-07-08","14340","14340","14180","14200","1145000","14200"
"2011-07-11","14060","14170","14040","14040","598100","14040"
"2011-07-12","13850","13930","13850","13870","801100","13870"
"2011-07-13","13860","14140","13860","14050","1060600","14050"
"2011-07-14","13960","14150","13950","14040","780200","14040"
"2011-07-15","14000","14130","13990","14120","531400","14120"
"2011-07-19","13960","14030","13920","13920","659100","13920"
"2011-07-20","14170","14490","14090","14460","1650700","14460"
"2011-07-21","14480","14510","14360","14480","1029000","14480"
"2011-07-22","14550","14720","14520","14710","1161800","14710"
"2011-07-25","14640","14730","14550","14650","850500","14650"
"2011-07-26","14620","14640","14530","14560","659700","14560"
"2011-07-27","14520","14890","14390","14730","2676400","14730"
"2011-07-28","14550","14790","14550","14700","1331800","14700"
"2011-07-29","14690","14810","14580","14610","946800","14610"
"2011-08-01","14990","15420","14960","15280","1936500","15280"
"2011-08-02","15010","15020","14660","14700","1583800","14700"
"2011-08-03","14050","14170","13960","14030","2882700","14030"
"2011-08-04","14100","14300","13990","14010","1844900","14010"
"2011-08-05","13310","13550","13300","13360","2130300","13360"
"2011-08-08","13150","13470","13130","13260","1459300","13260"
"2011-08-09","12840","13100","12480","13070","2885600","13070"
"2011-08-10","13350","13440","12820","12860","2352400","12860"
"2011-08-11","12520","12780","12430","12590","1802800","12590"
"2011-08-12","12700","12800","12500","12540","1744500","12540"
"2011-08-15","12720","13140","12690","13130","1491900","13130"
"2011-08-16","13300","13360","13090","13200","1199900","13200"
"2011-08-17","13130","13210","13030","13070","800400","13070"
"2011-08-18","13000","13020","12760","12790","1080500","12790"
"2011-08-19","12380","12410","12140","12150","2392800","12150"
"2011-08-22","12140","12180","11610","11650","2142700","11650"
"2011-08-23","11810","11830","11490","11800","2041400","11800"
"2011-08-24","12030","12080","11660","11710","1491400","11710"
"2011-08-25","12010","12340","11920","12230","1537300","12230"
"2011-08-26","12130","12290","12010","12260","1080800","12260"
"2011-08-29","12240","12380","12060","12190","931800","12190"
"2011-08-30","12430","12610","12410","12600","1117700","12600"
"2011-08-31","12490","12640","12420","12620","854000","12620"
"2011-09-01","12720","12980","12660","12970","1384900","12970"
"2011-09-02","12800","12850","12520","12570","1214900","12570"
"2011-09-05","12270","12340","12060","12150","1349400","12150"
"2011-09-06","11920","12040","11730","11750","1463400","11750"
"2011-09-07","12000","12230","11930","12020","1414000","12020"
"2011-09-08","12180","12210","11520","11610","2078400","11610"
"2011-09-09","11170","11220","10640","10730","6668700","10730"
"2011-09-12","10190","10490","10090","10370","3906000","10370"
"2011-09-13","10580","10770","10520","10610","1964300","10610"
"2011-09-14","10910","11060","10600","10720","2817800","10720"
"2011-09-15","10980","11030","10870","10940","1712200","10940"
"2011-09-16","11180","11400","11080","11390","1656800","11390"
"2011-09-20","11220","11230","10970","11130","1559100","11130"
"2011-09-21","11200","11400","11180","11280","1109600","11280"
"2011-09-22","11050","11060","10810","10830","1696600","10830"
"2011-09-26","10700","10700","10330","10440","2253000","10440"
"2011-09-27","10610","10770","10530","10770","1540300","10770"
"2011-09-28","10800","10980","10720","10740","1365400","10740"
"2011-09-29","10550","10860","10500","10860","1491800","10860"
"2011-09-30","10920","11060","10660","10830","1218900","10830"
"2011-10-03","10680","10770","10270","10330","1918300","10330"
"2011-10-04","10100","10270","9990","10220","2159100","10220"
"2011-10-05","10250","10440","10060","10130","1936400","10130"
"2011-10-06","10350","10580","10330","10530","1266100","10530"
"2011-10-07","10890","11030","10860","10980","1687600","10980"
"2011-10-11","11580","11590","11410","11450","1828100","11450"
"2011-10-12","11400","11650","11310","11580","1531800","11580"
"2011-10-13","11880","11990","11750","11970","1698700","11970"
"2011-10-14","11980","12040","11870","11950","1696100","11950"
"2011-10-17","12150","12160","12010","12040","1177600","12040"
"2011-10-18","11640","11990","11580","11980","1257900","11980"
"2011-10-19","12140","12240","12090","12160","1008300","12160"
"2011-10-20","12070","12080","11820","11890","965800","11890"
"2011-10-21","11860","12210","11820","12170","927700","12170"
"2011-10-24","12260","12540","12250","12540","1199000","12540"
"2011-10-25","12750","12780","12130","12160","2095500","12160"
"2011-10-26","12160","12640","12070","12510","1441400","12510"
"2011-10-27","12550","13080","12460","13080","1214200","13080"
"2011-10-28","13370","13380","13010","13070","1336600","13070"
"2011-10-31","12940","13140","12790","12930","1295600","12930"
"2011-11-01","12600","12860","12420","12460","1393800","12460"
"2011-11-02","12140","12570","12110","12350","1215200","12350"
"2011-11-04","12680","12910","12630","12880","1260500","12880"
"2011-11-07","12890","13020","12820","12940","705700","12940"
"2011-11-08","13010","13100","12840","12900","853100","12900"
"2011-11-09","12920","12980","12700","12810","1156700","12810"
"2011-11-10","12350","12400","12250","12280","1558900","12280"
"2011-11-11","12380","12580","12260","12360","1396100","12360"
"2011-11-14","12630","12870","12610","12810","984000","12810"
"2011-11-15","12740","12890","12670","12820","735200","12820"
"2011-11-16","12720","12870","12700","12720","582300","12720"
"2011-11-17","12590","12790","12510","12750","962200","12750"
"2011-11-18","12510","12570","12260","12440","1458300","12440"
"2011-11-21","12300","12350","12180","12180","774100","12180"
"2011-11-22","11910","12340","11900","12260","986300","12260"
"2011-11-24","11980","12030","11790","11850","1122300","11850"
"2011-11-25","11630","11850","11560","11800","946400","11800"
"2011-11-28","12040","12230","11990","12120","689100","12120"
"2011-11-29","12400","12600","12250","12590","1132400","12590"
"2011-11-30","12400","12440","12170","12270","887800","12270"
"2011-12-01","12870","13140","12820","13060","2081300","13060"
"2011-12-02","13000","13200","12970","13160","1034800","13160"
"2011-12-05","13210","13240","13000","13020","616800","13020"
"2011-12-06","12930","13060","12860","12870","855400","12870"
"2011-12-07","12990","13120","12950","13100","943200","13100"
"2011-12-08","13000","13230","12890","13100","1007300","13100"
"2011-12-09","12650","12820","12650","12690","4362500","12690"
"2011-12-12","12790","12890","12730","12780","866300","12780"
"2011-12-13","12510","12560","12420","12440","1035800","12440"
"2011-12-14","12230","12320","12170","12280","1294000","12280"
"2011-12-15","12120","12230","12050","12070","1139100","12070"
"2011-12-16","12110","12350","12080","12230","1342000","12230"
"2011-12-19","12160","12170","11800","11830","1184100","11830"
"2011-12-20","11870","11880","11720","11760","969900","11760"
"2011-12-21","11950","12030","11810","11850","1313300","11850"
"2011-12-22","11700","11700","11420","11450","1777900","11450"
"2011-12-26","11750","11840","11720","11780","829000","11780"
"2011-12-27","11700","11790","11650","11680","411500","11680"
"2011-12-28","11690","11930","11670","11870","929200","11870"
"2011-12-29","11840","11840","11670","11810","499700","11810"
"2011-12-30","11910","11910","11730","11780","397900","11780"
