6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2007-01-04","11800","11800","11720","11750","355600","11750"
"2007-01-05","11750","11790","11320","11430","1142900","11430"
"2007-01-09","11240","11450","11150","11410","1060800","11410"
"2007-01-10","11370","11380","11060","11140","1031000","11140"
"2007-01-11","11070","11190","10830","10950","1659200","10950"
"2007-01-12","10980","11310","10960","11180","1920600","11180"
"2007-01-15","11280","11430","11220","11350","695500","11350"
"2007-01-16","11280","11440","11260","11310","574600","11310"
"2007-01-17","11290","11630","11250","11430","1153400","11430"
"2007-01-18","11310","11410","11240","11310","932300","11310"
"2007-01-19","11280","11310","11150","11230","984100","11230"
"2007-01-22","11250","11380","11150","11300","1181900","11300"
"2007-01-23","11120","11280","11120","11230","939900","11230"
"2007-01-24","11370","11390","11300","11350","762700","11350"
"2007-01-25","11430","11460","11200","11340","665900","11340"
"2007-01-26","11190","11370","11150","11330","1103400","11330"
"2007-01-29","11100","11190","11070","11150","1393300","11150"
"2007-01-30","11310","11340","11140","11160","728000","11160"
"2007-01-31","11250","11260","11050","11150","873800","11150"
"2007-02-01","11040","11270","11040","11230","677500","11230"
"2007-02-02","11240","11360","11220","11270","933700","11270"
"2007-02-05","11150","11150","10720","10860","1726000","10860"
"2007-02-06","10820","10830","10660","10680","1309000","10680"
"2007-02-07","10680","10680","10410","10490","1739500","10490"
"2007-02-08","10560","10670","10490","10540","1047800","10540"
"2007-02-09","10540","10780","10540","10730","1509300","10730"
"2007-02-13","10620","10870","10620","10810","1095100","10810"
"2007-02-14","10800","10930","10800","10850","730800","10850"
"2007-02-15","11250","11260","10950","11030","1018100","11030"
"2007-02-16","10830","10920","10810","10860","577000","10860"
"2007-02-19","10800","10910","10710","10880","540000","10880"
"2007-02-20","10810","10850","10730","10820","790500","10820"
"2007-02-21","10750","10920","10750","10800","732200","10800"
"2007-02-22","10900","10950","10820","10870","619700","10870"
"2007-02-23","10990","11030","10820","10860","1207000","10860"
"2007-02-26","10870","10940","10680","10740","980300","10740"
"2007-02-27","10880","10880","10660","10750","651600","10750"
"2007-02-28","10300","10580","10230","10580","1673400","10580"
"2007-03-01","10400","10510","10340","10460","1463600","10460"
"2007-03-02","10660","10700","10380","10410","1266900","10410"
"2007-03-05","10180","10250","10010","10100","1143900","10100"
"2007-03-06","10060","10400","10030","10200","1429600","10200"
"2007-03-07","10200","10280","10010","10080","1631900","10080"
"2007-03-08","10070","10460","10030","10460","1472300","10460"
"2007-03-09","10660","10750","10430","10550","4178300","10550"
"2007-03-12","10840","10880","10690","10760","1402600","10760"
"2007-03-13","10630","10770","10600","10690","914200","10690"
"2007-03-14","10350","10440","10230","10280","1150400","10280"
"2007-03-15","10310","10420","10250","10330","972700","10330"
"2007-03-16","10210","10420","10120","10260","1110400","10260"
"2007-03-19","10230","10540","10220","10500","918500","10500"
