6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2008-01-04","10080","10280","10030","10280","1082000","10280"
"2008-01-07","10170","10350","10130","10220","793600","10220"
"2008-01-08","10100","10110","9550","9710","2794600","9710"
"2008-01-09","9530","9730","9160","9730","3352200","9730"
"2008-01-10","9630","9810","9630","9640","1126600","9640"
"2008-01-11","9570","9910","9370","9410","2016700","9410"
"2008-01-15","9310","9370","9150","9250","1406300","9250"
"2008-01-16","8550","8670","8280","8300","3704100","8300"
"2008-01-17","8550","9000","8460","9000","3418400","9000"
"2008-01-18","8690","9380","8620","9170","3058500","9170"
"2008-01-21","9000","9150","8700","8710","1385100","8710"
"2008-01-22","8300","8750","8290","8540","2131400","8540"
"2008-01-23","8730","8790","8420","8540","2680000","8540"
"2008-01-24","8670","8800","8580","8790","2327700","8790"
"2008-01-25","8990","9350","8990","9350","1468200","9350"
"2008-01-28","9150","9150","8500","8500","2952400","8500"
"2008-01-29","9220","9230","8960","9110","2209600","9110"
"2008-01-30","9210","9210","8960","9060","1792600","9060"
"2008-01-31","8860","9460","8840","9380","1588000","9380"
"2008-02-01","9200","9430","9160","9260","1184700","9260"
"2008-02-04","9360","9760","9340","9730","1378300","9730"
"2008-02-05","9700","9730","9420","9560","1399200","9560"
"2008-02-06","9160","9200","8990","9160","1994000","9160"
"2008-02-07","9060","9360","9030","9290","1262100","9290"
"2008-02-08","9160","9210","8850","8920","2193900","8920"
"2008-02-12","8950","9030","8880","8940","1284800","8940"
"2008-02-13","9040","9350","9040","9300","1447900","9300"
"2008-02-14","9550","9820","9520","9770","1589000","9770"
"2008-02-15","9650","9940","9520","9850","973400","9850"
"2008-02-18","9960","10190","9940","10010","759500","10010"
"2008-02-19","10020","10250","9950","10230","1045200","10230"
"2008-02-20","10060","10190","9660","9670","1606100","9670"
"2008-02-21","9770","10040","9710","9960","1615700","9960"
"2008-02-22","9860","10040","9780","9980","1500700","9980"
"2008-02-25","10000","10350","10000","10250","1750500","10250"
"2008-02-26","10400","10420","10200","10280","919300","10280"
"2008-02-27","10460","10460","10330","10460","833200","10460"
"2008-02-28","10310","10440","10200","10380","831000","10380"
"2008-02-29","10010","10050","9850","9920","1294500","9920"
"2008-03-03","9420","9420","9060","9060","2713300","9060"
"2008-03-04","9260","9360","9100","9300","1177800","9300"
"2008-03-05","9350","9390","9260","9310","981300","9310"
"2008-03-06","9410","9740","9360","9550","1223500","9550"
"2008-03-07","9200","9320","9100","9230","1209800","9230"
"2008-03-10","9240","9420","8990","9120","1311300","9120"
"2008-03-11","9000","9240","8930","9160","1059100","9160"
"2008-03-12","9360","9550","9310","9410","1622400","9410"
"2008-03-13","9250","9340","8940","9030","1463400","9030"
"2008-03-14","9100","9230","9000","9060","5101700","9060"
"2008-03-17","8960","9050","8640","8710","1669900","8710"
"2008-03-18","8910","9030","8860","9030","1371500","9030"
"2008-03-19","9330","9380","9010","9140","960500","9140"
"2008-03-21","9310","9390","9200","9360","741000","9360"
"2008-03-24","9300","9370","9250","9280","524700","9280"
"2008-03-25","9380","9580","9300","9560","751400","9560"
"2008-03-26","9490","9600","9430","9510","612600","9510"
"2008-03-27","9300","9360","9180","9360","972300","9360"
"2008-03-28","9260","9700","9200","9680","992900","9680"
"2008-03-31","9580","9670","9380","9480","918900","9480"
"2008-04-01","9380","9620","9310","9420","1057800","9420"
"2008-04-02","9720","9840","9680","9810","1139000","9810"
"2008-04-03","9810","9980","9750","9970","806400","9970"
"2008-04-04","9940","10050","9870","10040","651100","10040"
"2008-04-07","10050","10120","9950","10100","759700","10100"
"2008-04-08","9940","10190","9920","9920","728400","9920"
"2008-04-09","9930","10010","9720","9870","992800","9870"
"2008-04-10","9650","9650","9260","9260","2280200","9260"
"2008-04-11","9390","9650","9360","9610","2359600","9610"
"2008-04-14","9210","9330","9160","9260","1051000","9260"
"2008-04-15","9240","9450","9180","9380","978100","9380"
"2008-04-16","9480","9560","9400","9400","673700","9400"
"2008-04-17","9680","9940","9680","9880","1424600","9880"
"2008-04-18","9790","9890","9760","9860","865000","9860"
"2008-04-21","10250","10280","10030","10120","918000","10120"
"2008-04-22","10130","10170","10010","10060","1125000","10060"
"2008-04-23","9920","10100","9920","9930","591600","9930"
"2008-04-24","10030","10070","9650","9880","2322200","9880"
"2008-04-25","10430","10560","10320","10560","2054400","10560"
"2008-04-28","10570","10880","10570","10860","1518700","10860"
"2008-04-30","10610","11130","10590","10930","1996100","10930"
"2008-05-01","10940","11090","10940","11040","1199600","11040"
"2008-05-02","11350","11490","11340","11450","1265500","11450"
"2008-05-07","11550","11650","11240","11290","1338400","11290"
"2008-05-08","11090","11210","11060","11070","1251600","11070"
"2008-05-09","11140","11260","10980","11000","1852000","11000"
"2008-05-12","10800","10940","10760","10880","933000","10880"
"2008-05-13","10780","10800","10480","10730","2230500","10730"
