6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2001-01-04","8160","8160","7670","7700","291300","7700"
"2001-01-05","7720","7920","7600","7710","381500","7710"
"2001-01-09","7780","7900","7520","7670","498100","7670"
"2001-01-10","7770","7770","7500","7550","239900","7550"
"2001-01-11","7580","7680","7400","7600","440600","7600"
"2001-01-12","7650","7930","7620","7810","945200","7810"
"2001-01-15","8010","8190","7910","8110","364500","8110"
"2001-01-16","8390","8410","8230","8340","539700","8340"
"2001-01-17","8540","8690","8300","8680","582600","8680"
"2001-01-18","8860","8930","8800","8800","530300","8800"
"2001-01-19","8890","9060","8600","8660","358400","8660"
"2001-01-22","8600","9000","8500","8970","297600","8970"
"2001-01-23","9060","9060","8850","8950","535100","8950"
"2001-01-24","8670","8680","8400","8510","492500","8510"
"2001-01-25","8010","8190","7950","8180","829900","8180"
"2001-01-26","8180","8340","8110","8230","342000","8230"
"2001-01-29","8300","8530","8260","8350","350500","8350"
"2001-01-30","8340","8400","8100","8300","428200","8300"
"2001-01-31","8100","8130","7990","8130","550600","8130"
"2001-02-01","8030","8110","7980","8050","310400","8050"
"2001-02-02","8040","8160","8010","8090","293900","8090"
"2001-02-05","7890","7980","7810","7890","337400","7890"
"2001-02-06","7750","7860","7630","7640","448300","7640"
"2001-02-07","7680","7920","7620","7640","343600","7640"
"2001-02-08","7780","7870","7470","7690","468600","7690"
"2001-02-09","7780","7960","7610","7830","925100","7830"
"2001-02-13","7800","7800","7560","7670","432900","7670"
"2001-02-14","7570","7800","7430","7570","650400","7570"
"2001-02-15","7470","7750","7470","7600","389500","7600"
"2001-02-16","7640","7690","7500","7550","243700","7550"
"2001-02-19","7390","7970","7220","7940","739500","7940"
"2001-02-20","7640","7680","7400","7480","718300","7480"
"2001-02-21","7470","7470","7130","7270","604000","7270"
"2001-02-22","7070","7170","6910","7000","726200","7000"
"2001-02-23","6950","7130","6950","6960","669100","6960"
"2001-02-26","6950","6960","6760","6760","513800","6760"
"2001-02-27","7030","7030","6760","6780","463500","6780"
"2001-02-28","6580","6680","6330","6520","725500","6520"
"2001-03-01","6520","6630","6010","6290","664800","6290"
"2001-03-02","6090","6180","5950","6030","734200","6030"
"2001-03-05","6130","6250","5890","6180","405900","6180"
"2001-03-06","6350","6660","6310","6450","861700","6450"
"2001-03-07","6580","6730","6500","6730","744000","6730"
"2001-03-08","6530","6600","6260","6260","527800","6260"
"2001-03-09","6100","6500","6100","6260","1994300","6260"
"2001-03-12","6000","6080","5820","5820","565500","5820"
"2001-03-13","5720","6100","5520","5780","684700","5780"
"2001-03-14","6060","6230","5990","6090","633300","6090"
"2001-03-15","5900","6350","5700","6310","585600","6310"
"2001-03-16","6210","6390","6050","6170","566900","6170"
"2001-03-19","6770","7160","6710","6960","1243100","6960"
"2001-03-21","6660","7140","6640","7140","1039900","7140"
"2001-03-22","7080","7300","6910","6920","531000","6920"
"2001-03-23","6820","7470","6820","7350","770800","7350"
"2001-03-26","7450","7960","7350","7960","711800","7960"
"2001-03-27","7880","7880","7600","7700","660400","7700"
"2001-03-28","7700","7880","7560","7630","651100","7630"
"2001-03-29","7430","7520","7140","7200","524800","7200"
"2001-03-30","7200","7380","7020","7070","581800","7070"
"2001-04-02","7010","7100","6850","6860","431400","6860"
"2001-04-03","7060","7270","6910","6920","461900","6920"
"2001-04-04","7000","7000","6710","6990","575400","6990"
"2001-04-05","7050","7350","7050","7300","547800","7300"
"2001-04-06","7200","7300","6800","6960","820800","6960"
"2001-04-09","6920","6940","6560","6680","535400","6680"
"2001-04-10","6510","6740","6400","6500","779900","6500"
"2001-04-11","6600","6940","6510","6830","719800","6830"
"2001-04-12","6730","7190","6700","6920","509800","6920"
"2001-04-13","7020","7200","6910","6990","811300","6990"
"2001-04-16","6900","7010","6690","6820","312000","6820"
"2001-04-17","6620","6730","6600","6600","461300","6600"
"2001-04-18","6900","7110","6850","7080","720400","7080"
"2001-04-19","7290","7390","6870","7070","942200","7070"
"2001-04-20","7030","7260","6920","6920","558600","6920"
"2001-04-23","7100","7250","6710","6710","607600","6710"
"2001-04-24","6720","6830","6660","6710","634900","6710"
"2001-04-25","6840","6990","6810","6860","326700","6860"
"2001-04-26","7000","7060","6950","6980","451100","6980"
"2001-04-27","7000","7000","6770","6910","366200","6910"
"2001-05-01","7100","7150","7000","7150","460400","7150"
"2001-05-02","7250","7270","7150","7180","561900","7180"
"2001-05-07","7050","7390","6970","7340","716900","7340"
"2001-05-08","7340","7350","7060","7120","500300","7120"
"2001-05-09","7220","7270","7080","7200","797000","7200"
"2001-05-10","7100","7220","7030","7040","352200","7040"
"2001-05-11","7140","7330","7070","7140","865200","7140"
"2001-05-14","7240","7240","7010","7110","309900","7110"
"2001-05-15","7110","7290","6980","7120","433700","7120"
"2001-05-16","7220","7240","6750","6750","696500","6750"
"2001-05-17","7020","7020","6810","6890","490900","6890"
"2001-05-18","6800","7000","6800","6810","454900","6810"
"2001-05-21","6840","7110","6840","7070","295600","7070"
"2001-05-22","7250","7250","7080","7090","351600","7090"
"2001-05-23","7190","7230","7090","7200","417500","7200"
"2001-05-24","7050","7090","6880","6900","369800","6900"
"2001-05-25","6810","6900","6760","6770","389300","6770"
"2001-05-28","6870","7070","6850","7020","309000","7020"
"2001-05-29","6920","7050","6860","6930","248300","6930"
"2001-05-30","6800","6830","6600","6750","347200","6750"
"2001-05-31","6550","6610","6320","6390","660400","6390"
"2001-06-01","6590","6590","6430","6440","350800","6440"
"2001-06-04","6400","6460","6350","6460","205300","6460"
"2001-06-05","6560","6560","6170","6350","457000","6350"
"2001-06-06","6550","6550","6400","6450","412300","6450"
"2001-06-07","6350","6450","6180","6430","530400","6430"
"2001-06-08","6930","6970","6560","6790","3082700","6790"
