6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","19700","20220","19655","20210","1034900","20210"
"2017-01-05","20220","20270","20045","20115","603200","20115"
"2017-01-06","20140","20285","20065","20250","532300","20250"
"2017-01-10","20255","20295","20050","20070","620400","20070"
"2017-01-11","20160","20350","20140","20275","632000","20275"
"2017-01-12","20080","20230","20045","20145","817200","20145"
"2017-01-13","20105","20550","20080","20545","1094600","20545"
"2017-01-16","20720","20840","20535","20575","833900","20575"
"2017-01-17","20500","20760","20380","20430","885800","20430"
"2017-01-18","20430","20660","20185","20590","924000","20590"
"2017-01-19","20910","21390","20745","21345","1468700","21345"
"2017-01-20","21400","21665","21305","21355","1091600","21355"
"2017-01-23","21230","21500","21125","21350","1222600","21350"
"2017-01-24","21450","21495","21240","21315","966600","21315"
"2017-01-25","21750","22085","21715","21920","1104200","21920"
"2017-01-26","22200","22765","22190","22650","1959400","22650"
"2017-01-27","22440","22765","22270","22690","1482000","22690"
"2017-01-30","22565","22665","22400","22470","714300","22470"
"2017-01-31","22155","22390","22080","22165","887400","22165"
"2017-02-01","21950","22240","21820","22155","872300","22155"
"2017-02-02","22255","22270","21760","21825","1018300","21825"
"2017-02-03","21830","21965","21615","21815","658700","21815"
"2017-02-06","21975","21990","21600","21660","601400","21660"
"2017-02-07","21500","21655","21360","21565","784800","21565"
"2017-02-08","21770","22015","21765","22010","700100","22010"
"2017-02-09","21825","21950","21730","21840","503700","21840"
"2017-02-10","22445","22795","22275","22750","1314500","22750"
"2017-02-13","22790","22920","22620","22705","687200","22705"
"2017-02-14","22700","22735","22265","22280","865400","22280"
"2017-02-15","22665","22710","22485","22560","630600","22560"
"2017-02-16","22550","22690","22360","22595","707500","22595"
"2017-02-17","22485","22615","22420","22455","514500","22455"
"2017-02-20","22400","22415","22100","22345","628900","22345"
"2017-02-21","22290","22510","22225","22475","446300","22475"
"2017-02-22","22430","22435","22135","22180","704100","22180"
"2017-02-23","22100","22195","22025","22160","494000","22160"
"2017-02-24","22085","22280","22035","22160","489800","22160"
"2017-02-27","21935","22040","21680","21965","637200","21965"
"2017-02-28","22180","22270","22035","22125","678800","22125"
"2017-03-01","22150","22620","22110","22560","831500","22560"
"2017-03-02","22765","22825","22535","22625","985700","22625"
"2017-03-03","22540","22570","22320","22440","672900","22440"
"2017-03-06","22410","22420","22225","22305","322900","22305"
"2017-03-07","22165","22235","22065","22065","783800","22065"
"2017-03-08","22190","22255","22020","22095","483000","22095"
"2017-03-09","22155","22160","21880","21940","635900","21940"
"2017-03-10","21855","22450","21780","22320","1555600","22320"
"2017-03-13","22320","22480","22230","22320","634800","22320"
"2017-03-14","22500","22555","22285","22360","647500","22360"
"2017-03-15","22265","22265","22150","22260","450800","22260"
"2017-03-16","22150","22525","22140","22470","717900","22470"
"2017-03-17","22540","23120","22505","23075","1505700","23075"
"2017-03-21","23345","23370","22960","23005","837900","23005"
"2017-03-22","22505","22855","22380","22615","1073700","22615"
"2017-03-23","22600","22755","22355","22680","922900","22680"
"2017-03-24","22695","23200","22675","23065","1158800","23065"
"2017-03-27","22715","22840","22605","22740","835600","22740"
"2017-03-28","23015","23130","22890","22955","897400","22955"
"2017-03-29","23150","23325","23075","23235","980700","23235"
"2017-03-30","23255","23410","23130","23185","716200","23185"
"2017-03-31","23365","23370","22820","22820","988300","22820"
"2017-04-03","22845","22980","22690","22875","689500","22875"
"2017-04-04","22850","22910","22450","22530","1102100","22530"
"2017-04-05","23010","23310","22970","23185","1205400","23185"
"2017-04-06","23100","23175","22735","22815","1330000","22815"
"2017-04-07","23050","23055","22480","22650","1172100","22650"
"2017-04-10","22730","22785","22520","22605","588100","22605"
"2017-04-11","22610","22620","22225","22315","748500","22315"
"2017-04-12","22180","22475","22125","22275","1050900","22275"
"2017-04-13","22055","22055","21820","21975","820600","21975"
"2017-04-14","22300","22305","21720","21945","1163900","21945"
"2017-04-17","21790","22075","21750","21950","542000","21950"
"2017-04-18","22090","22190","21855","21970","690500","21970"
"2017-04-19","21895","22340","21880","22290","897200","22290"
"2017-04-20","22455","22555","22190","22190","874000","22190"
"2017-04-21","22535","22610","22255","22385","1087700","22385"
"2017-04-24","22735","22830","22585","22790","980800","22790"
"2017-04-25","22605","22895","22600","22835","780200","22835"
"2017-04-26","23000","23265","22885","23265","1053200","23265"
"2017-04-27","23100","23100","22675","22780","1223100","22780"
"2017-04-28","22590","22870","22300","22655","1243200","22655"
"2017-05-01","22530","22535","22215","22295","903700","22295"
"2017-05-02","22230","22565","22170","22520","903200","22520"
"2017-05-08","22990","23330","22930","23260","1640100","23260"
"2017-05-09","23145","23280","23075","23095","849000","23095"
"2017-05-10","23050","23065","22820","22895","1045800","22895"
"2017-05-11","23000","23045","22785","22890","679300","22890"
"2017-05-12","22915","23010","22530","22715","1374800","22715"
"2017-05-15","22525","22625","22320","22595","554600","22595"
"2017-05-16","22800","22830","22585","22590","614600","22590"
"2017-05-17","22420","22515","22260","22505","843300","22505"
"2017-05-18","22100","22150","21820","21835","1403400","21835"
"2017-05-19","21960","22040","21810","21875","923800","21875"
"2017-05-22","22095","22120","21850","21940","519700","21940"
"2017-05-23","21925","22020","21765","21840","603500","21840"
"2017-05-24","21910","21965","21690","21770","946900","21770"
"2017-05-25","21725","22210","21720","22125","1026800","22125"
"2017-05-26","22180","22185","21745","21750","779300","21750"
"2017-05-29","21720","21845","21625","21775","395600","21775"
"2017-05-30","21850","21895","21640","21780","567200","21780"
"2017-05-31","21700","21830","21660","21770","695200","21770"
"2017-06-01","21770","21800","21580","21680","981900","21680"
"2017-06-02","21790","22340","21740","22225","1456900","22225"
"2017-06-05","22340","22445","22285","22345","728800","22345"
"2017-06-06","22150","22460","21915","21945","1004600","21945"
"2017-06-07","21910","22000","21850","21895","679700","21895"
"2017-06-08","22070","22175","21845","21880","659600","21880"
"2017-06-09","21990","22230","21865","22055","1509800","22055"
"2017-06-12","21905","21930","21560","21615","866100","21615"
"2017-06-13","21505","21505","21040","21425","971500","21425"
"2017-06-14","21780","21845","21550","21565","821200","21565"
"2017-06-15","21390","21675","21305","21385","683800","21385"
"2017-06-16","21450","21455","21260","21290","1375700","21290"
"2017-06-19","21370","21640","21275","21560","715100","21560"
"2017-06-20","21850","21850","21605","21725","846800","21725"
"2017-06-21","21745","21815","21580","21705","658200","21705"
"2017-06-22","21710","21785","21590","21650","707900","21650"
"2017-06-23","21710","21805","21615","21715","552900","21715"
"2017-06-26","21690","21865","21690","21845","580500","21845"
"2017-06-27","21875","22075","21850","21955","595000","21955"
"2017-06-28","21920","21995","21690","21785","605200","21785"
"2017-06-29","21945","22170","21885","21915","569000","21915"
"2017-06-30","21650","21725","21495","21655","819200","21655"
"2017-07-03","21550","21790","21530","21675","577600","21675"
"2017-07-04","21800","21975","21755","21910","768900","21910"
"2017-07-05","21985","21990","21690","21925","692900","21925"
"2017-07-06","22000","22045","21800","21835","572400","21835"
"2017-07-07","21675","21795","21630","21725","581900","21725"
"2017-07-10","21920","22110","21850","22060","717400","22060"
"2017-07-11","22185","22410","22160","22400","838000","22400"
"2017-07-12","22320","22385","22145","22160","643800","22160"
"2017-07-13","22220","22240","22000","22030","481600","22030"
"2017-07-14","22190","22530","22180","22435","1137800","22435"
"2017-07-18","22430","22445","22235","22275","694600","22275"
"2017-07-19","22180","22210","21985","22085","554100","22085"
"2017-07-20","22160","22245","21980","22205","685300","22205"
"2017-07-21","23100","23160","22565","22665","1445200","22665"
"2017-07-24","22635","22635","22360","22490","769100","22490"
"2017-07-25","22520","22645","22385","22585","716500","22585"
"2017-07-26","23085","23140","22970","23125","1134700","23125"
"2017-07-27","23195","23360","23100","23270","943300","23270"
"2017-07-28","23450","23670","23165","23295","1225500","23295"
"2017-07-31","23260","23270","22480","22565","1485900","22565"
"2017-08-01","22505","22770","22420","22585","889000","22585"
"2017-08-02","22740","22935","22695","22890","719800","22890"
"2017-08-03","22840","22845","22665","22690","557400","22690"
"2017-08-04","22490","22640","22445","22565","562900","22565"
"2017-08-07","22670","22720","22385","22400","449900","22400"
"2017-08-08","22425","22500","22320","22350","443400","22350"
"2017-08-09","22195","22240","21885","22030","891700","22030"
"2017-08-10","22120","22120","21840","21940","711800","21940"
"2017-08-14","21650","21775","21530","21765","774600","21765"
"2017-08-15","21990","22060","21925","21995","613800","21995"
"2017-08-16","22095","22095","21745","21745","595300","21745"
"2017-08-17","21750","21825","21670","21710","504000","21710"
"2017-08-18","21500","21500","21300","21415","767600","21415"
"2017-08-21","21405","21405","21200","21305","526300","21305"
"2017-08-22","21385","21515","21265","21290","523600","21290"
"2017-08-23","21500","21535","21205","21220","692800","21220"
"2017-08-24","21235","21235","21025","21030","714300","21030"
"2017-08-25","21060","21155","20935","21085","826900","21085"
"2017-08-28","21080","21125","20855","20950","693100","20950"
"2017-08-29","20865","21125","20805","21050","688900","21050"
"2017-08-30","21225","21270","21060","21100","515300","21100"
"2017-08-31","21305","21435","21240","21340","682700","21340"
"2017-09-01","21380","21505","21265","21345","593000","21345"
"2017-09-04","21355","21370","21120","21180","535900","21180"
"2017-09-05","21255","21255","21000","21015","456700","21015"
"2017-09-06","20975","21160","20925","21145","834500","21145"
"2017-09-07","21195","21265","21060","21100","613800","21100"
"2017-09-08","21000","21100","20975","21015","1462200","21015"
"2017-09-11","21155","21360","21105","21220","629700","21220"
"2017-09-12","21395","21775","21330","21720","954500","21720"
"2017-09-13","21905","21920","21635","21650","532600","21650"
"2017-09-14","21620","21730","21550","21675","601200","21675"
"2017-09-15","21675","22165","21670","22080","1384500","22080"
"2017-09-19","22580","22790","22445","22755","1236900","22755"
"2017-09-20","22800","22830","22570","22785","977700","22785"
"2017-09-21","22980","23225","22825","22845","1038500","22845"
"2017-09-22","23060","23065","22710","22855","708300","22855"
"2017-09-25","23065","23140","22910","22995","557700","22995"
"2017-09-26","22765","22950","22665","22690","729400","22690"
"2017-09-27","22800","22920","22685","22700","608700","22700"
"2017-09-28","22970","23140","22770","22825","994400","22825"
"2017-09-29","22940","22940","22640","22790","1112500","22790"
"2017-10-02","22960","23280","22855","23280","1021900","23280"
"2017-10-03","23500","23740","23330","23695","1242600","23695"
"2017-10-04","23700","23995","23660","23710","1108900","23710"
"2017-10-05","23780","23790","23620","23640","607500","23640"
"2017-10-06","23755","24000","23700","23900","903400","23900"
"2017-10-10","24100","24120","23620","23875","1007100","23875"
"2017-10-11","23980","24315","23920","24310","1002700","24310"
"2017-10-12","24500","24690","24390","24525","956400","24525"
"2017-10-13","24550","24890","24390","24795","1631900","24795"
"2017-10-16","24925","25110","24830","24975","1006100","24975"
"2017-10-17","25185","25295","25025","25210","1069700","25210"
"2017-10-18","25280","25340","25045","25080","872600","25080"
"2017-10-19","25350","25360","24870","25035","892700","25035"
"2017-10-20","24910","25060","24835","25000","858400","25000"
"2017-10-23","25410","25615","25245","25585","1049100","25585"
"2017-10-24","25530","25530","25250","25395","974800","25395"
"2017-10-25","25650","25695","25070","25105","1296500","25105"
"2017-10-26","26105","26760","25040","25075","3695400","25075"
"2017-10-27","25575","25940","24775","25915","2139200","25915"
