6954 東証1部 ファナック(株)（電気機器）,,,,,
"2017-10-30","25970","26365","25890","26055","1774500","26055"
"2017-10-31","25870","26400","25825","26370","1145300","26370"
"2017-11-01","26590","26860","26435","26840","1078800","26840"
"2017-11-02","27025","27225","26760","26970","1155100","26970"
"2017-11-06","27400","27520","27070","27315","1039900","27315"
"2017-11-07","27400","28195","27400","28170","1503800","28170"
"2017-11-08","28100","28425","27955","28365","1074500","28365"
"2017-11-09","28365","29205","27605","28350","2330900","28350"
"2017-11-10","27845","28055","27650","27800","2067900","27800"
"2017-11-13","27660","27755","27430","27430","932000","27430"
"2017-11-15","27125","27520","27095","27095","1204700","27095"
"2017-11-16","26920","27565","26875","27480","1175200","27480"
"2017-11-17","27865","28235","27440","27560","1529500","27560"
"2017-11-20","27335","27695","27200","27225","734800","27225"
"2017-11-21","27490","27855","27400","27725","772500","27725"
"2017-11-22","28025","28265","27905","28155","974500","28155"
"2017-11-24","27980","28185","27755","28170","723500","28170"
"2017-11-27","28370","28610","28070","28355","738700","28355"
"2017-11-28","28245","28540","28135","28290","846600","28290"
"2017-11-29","28505","28590","28170","28225","891300","28225"
"2017-11-30","28000","28000","27340","27945","1566300","27945"
"2017-12-01","28285","28520","28060","28420","959400","28420"
"2017-12-04","28250","28275","27825","27865","835400","27865"
"2017-12-05","27450","27815","27340","27345","1028400","27345"
"2017-12-06","27160","27440","26570","26665","1385900","26665"
"2017-12-07","26780","27130","26520","27005","1373300","27005"
"2017-12-08","26760","26995","26710","26895","2264500","26895"
"2017-12-11","27110","27140","26925","27060","674100","27060"
"2017-12-12","27080","27265","26740","26775","783300","26775"
"2017-12-13","26760","26775","26390","26440","892900","26440"
"2017-12-14","26260","26490","26210","26255","712500","26255"
"2017-12-15","26220","26525","26035","26170","921200","26170"
"2017-12-18","26495","26980","26385","26890","805100","26890"
"2017-12-19","26980","27230","26950","27050","601100","27050"
"2017-12-20","27010","27350","26950","27190","535200","27190"
"2017-12-21","27180","27295","26990","27165","461900","27165"
"2017-12-22","27200","27515","27115","27470","600900","27470"
"2017-12-25","27690","27785","27490","27740","453000","27740"
"2017-12-26","27640","27720","27410","27430","369000","27430"
"2017-12-27","27425","27445","27285","27390","316200","27390"
"2017-12-28","27490","27530","27060","27145","333400","27145"
"2017-12-29","27310","27470","27045","27060","387100","27060"
