"日付け","終値","始値","高値","安値","出来高","前日比%"
"2017年01月10日","358.25","359.25","359.50","357.25","134.08K","-0.49%"
"2017年01月09日","360.00","359.00","360.75","355.25","185.76K","0.56%"
"2017年01月06日","358.00","360.75","362.50","356.75","166.34K","-0.90%"
"2017年01月05日","361.25","359.50","362.75","358.50","194.54K","0.42%"
"2017年01月04日","359.75","355.00","360.00","354.75","171.29K","1.12%"
"2017年01月03日","355.75","352.00","358.50","351.50","174.70K","1.07%"
"2016年12月30日","352.00","349.50","353.00","347.75","112.01K","0.64%"
"2016年12月29日","349.75","348.25","351.00","347.50","92.60K","0.43%"
"2016年12月28日","348.25","354.25","354.75","347.25","122.29K","-1.90%"
"2016年12月27日","355.00","346.50","356.00","346.25","132.72K","2.68%"
"2016年12月23日","345.75","347.00","347.75","345.50","79.91K","-0.43%"
"2016年12月22日","347.25","347.25","348.00","346.00","97.05K","0.00%"
"2016年12月21日","347.25","350.00","351.25","346.75","105.21K","-0.86%"
"2016年12月20日","350.25","353.25","353.75","349.25","103.80K","-0.85%"
"2016年12月19日","353.25","356.00","356.75","351.50","93.94K","-0.84%"
"2016年12月16日","356.25","356.00","359.00","353.50","113.01K","-0.07%"
"2016年12月15日","356.50","361.50","363.00","356.25","136.20K","1.35%"
"2016年12月14日","351.75","356.75","357.00","353.50","0.52K","-1.26%"
"2016年12月13日","356.25","355.25","359.00","353.50","1.37K","0.49%"
"2016年12月12日","354.50","352.25","355.00","349.75","2.00K","0.57%"
"2016年12月09日","352.50","349.00","352.50","344.50","1.72K","1.73%"
"2016年12月08日","346.50","350.25","352.75","344.25","1.94K","-1.14%"
"2016年12月07日","350.50","350.25","351.00","347.25","2.35K","-0.14%"
"2016年12月06日","351.00","348.25","354.00","348.25","2.55K","0.43%"
"2016年12月05日","349.50","337.50","350.00","337.50","4.15K","3.56%"
"2016年12月02日","337.50","332.75","338.00","332.75","8.16K","1.73%"
"2016年12月01日","331.75","337.00","338.25","331.00","8.93K","-1.48%"
"2016年11月30日","336.75","337.25","341.75","336.00","35.07K","0.00%"
"2016年11月29日","336.75","348.00","348.25","335.50","190.80K","-3.37%"
"2016年11月28日","348.50","349.25","353.00","346.75","208.95K","-0.21%"
"2016年11月25日","349.25","349.75","350.75","348.50","176.20K","-0.43%"
"2016年11月23日","350.75","350.25","351.00","346.50","190.75K","-0.07%"
"2016年11月22日","351.00","349.50","351.75","346.00","197.45K","0.36%"
"2016年11月21日","349.75","345.25","350.00","344.75","169.05K","1.23%"
"2016年11月18日","345.50","342.00","346.75","340.50","171.45K","1.02%"
"2016年11月17日","342.00","339.00","343.50","338.25","192.49K","1.03%"
"2016年11月16日","338.50","341.50","343.50","338.50","145.24K","-0.88%"
"2016年11月15日","341.50","337.00","342.25","335.75","190.52K","1.26%"
"2016年11月14日","337.25","340.50","341.00","335.50","181.71K","-0.88%"
"2016年11月11日","340.25","343.25","345.00","339.00","212.98K","-0.95%"
"2016年11月10日","343.50","341.50","346.50","340.25","261.28K","0.81%"
"2016年11月09日","340.75","353.00","355.00","340.50","323.41K","-3.81%"
"2016年11月08日","354.25","346.00","356.50","345.00","351.91K","2.31%"
"2016年11月07日","346.25","348.00","349.50","345.00","200.74K","-0.72%"
"2016年11月04日","348.75","348.00","349.75","345.50","126.19K","0.22%"
"2016年11月03日","348.00","346.25","348.75","345.00","138.70K","0.51%"
"2016年11月02日","346.25","348.75","350.50","344.25","217.59K","-0.79%"
"2016年11月01日","349.00","354.75","354.75","347.25","219.27K","-1.62%"
"2016年10月31日","354.75","355.00","358.00","352.25","171.94K","-0.07%"
"2016年10月28日","355.00","357.50","358.25","354.25","122.85K","-0.70%"
"2016年10月27日","357.50","353.75","358.50","352.25","197.47K","0.99%"
"2016年10月26日","354.00","349.25","355.75","349.00","170.68K","1.36%"
"2016年10月25日","349.25","348.25","352.25","347.25","127.78K","0.29%"
"2016年10月24日","348.25","351.50","354.50","346.25","152.70K","-1.21%"
"2016年10月21日","352.50","351.25","354.25","350.50","115.81K","0.43%"
"2016年10月20日","351.00","357.50","359.25","349.25","173.30K","-1.82%"
"2016年10月19日","357.50","353.50","358.00","351.00","168.84K","1.06%"
"2016年10月18日","353.75","354.25","357.50","351.50","140.47K","-0.07%"
"2016年10月17日","354.00","353.00","357.75","350.25","150.35K","-0.07%"
"2016年10月14日","354.25","349.50","358.75","348.75","275.68K","1.36%"
"2016年10月13日","349.50","337.50","349.75","337.25","216.23K","3.71%"
"2016年10月12日","337.00","345.00","348.50","336.50","219.04K","-2.46%"
"2016年10月11日","345.50","343.00","347.00","341.00","148.30K","0.66%"
"2016年10月10日","343.25","339.50","344.25","339.25","112.53K","1.03%"
"2016年10月07日","339.75","340.75","344.75","339.50","173.88K","-0.22%"
"2016年10月06日","340.50","347.25","347.75","338.50","178.13K","-2.08%"
"2016年10月05日","347.75","347.75","349.25","345.25","142.71K","-0.14%"
"2016年10月04日","348.25","345.00","349.00","343.50","158.04K","0.65%"
"2016年10月03日","346.00","336.25","347.75","335.25","234.81K","2.75%"
"2016年09月30日","336.75","329.00","337.50","325.00","258.97K","2.28%"
"2016年09月29日","329.25","329.75","333.50","328.00","119.73K","0.00%"
"2016年09月28日","329.25","331.75","332.50","328.75","107.53K","-0.75%"
"2016年09月27日","331.75","329.25","332.50","327.25","147.07K","0.84%"
"2016年09月26日","329.00","334.00","336.50","328.50","160.54K","-2.23%"
"2016年09月23日","336.50","336.00","338.50","333.75","150.67K","-0.07%"
"2016年09月22日","336.75","339.25","341.50","334.75","122.26K","-0.96%"
