Date,Open,High,Low,Close,Adj Close,Volume
2018/9/14,2688.779053,2694.919922,2675.290039,2681.643066,2681.643066,100000
2018/9/17,2671.291016,2671.291016,2647.915039,2651.789063,2651.789063,88200
2018/9/18,2644.295898,2700.193115,2644.295898,2699.949951,2699.949951,115800
2018/9/19,2694.799072,2746.080078,2690.993896,2730.850098,2730.850098,141600
2018/9/20,2732.169922,2743.965088,2724.083984,2729.243896,2729.243896,111400
2018/9/21,2733.874023,2797.485107,2722.031982,2797.485107,2797.485107,158000
2018/9/25,2775.065918,2790.031982,2771.159912,2781.138916,2781.138916,112000
2018/9/26,2785.316895,2827.341064,2783.342041,2806.812988,2806.812988,139600
2018/9/27,2805.792969,2810.506104,2786.322021,2791.774902,2791.774902,124000
2018/9/28,2794.263916,2821.754883,2791.835938,2821.350098,2821.350098,134300
2018/10/8,2768.208008,2771.937988,2710.177979,2716.51001,2716.51001,149500
2018/10/9,2713.731934,2734.313965,2711.197021,2721.012939,2721.012939,116800
2018/10/10,2723.724121,2743.548096,2703.062988,2725.836914,2725.836914,113500
2018/10/11,2643.073975,2661.285889,2560.315918,2583.458008,2583.458008,197200
2018/10/12,2574.041992,2615.916992,2536.665039,2606.913086,2606.913086,170100
2018/10/15,2605.912109,2611.968994,2564.738037,2568.0979,2568.0979,118600
2018/10/16,2567.763916,2597.715088,2536.440918,2546.330078,2546.330078,119400
2018/10/17,2574.312988,2582.549072,2517.572998,2561.614014,2561.614014,130000
2018/10/18,2544.910889,2544.910889,2485.618896,2486.418945,2486.418945,125400
2018/10/19,2460.081055,2553.386963,2449.197021,2550.465088,2550.465088,147300
2018/10/22,2565.644043,2675.406006,2565.644043,2654.875977,2654.875977,211900
2018/10/23,2652.647949,2659.812012,2583.260986,2594.825928,2594.825928,178300
2018/10/24,2579.971924,2640.4021,2577.772949,2603.294922,2603.294922,160100
2018/10/25,2540.935059,2606.101074,2531.534912,2603.800049,2603.800049,162000
2018/10/26,2610.897949,2626.115967,2580.844971,2598.846924,2598.846924,158900
2018/10/29,2593.591064,2595.537109,2529.187988,2542.103027,2542.103027,134200
2018/10/30,2538.573975,2586.918945,2521.783936,2568.048096,2568.048096,166700
