Date,Open,High,Low,Close,Adj Close,Volume
2018/9/14,5353.580078,5362.200195,5338.25,5352.569824,5352.569824,66793100
2018/9/17,5344.549805,5358.180176,5329.970215,5348.870117,5348.870117,66172300
2018/9/18,5348.490234,5389.759766,5339.620117,5363.790039,5363.790039,80228500
2018/9/19,5362.939941,5406.060059,5361.330078,5393.740234,5393.740234,85324800
2018/9/20,5398.200195,5461.109863,5398.200195,5451.589844,5451.589844,108602600
2018/9/21,5463.660156,5499.029785,5463.660156,5494.169922,5494.169922,222510800
2018/9/24,5480.640137,5488.180176,5463.439941,5476.169922,5476.169922,73646100
2018/9/25,5468.910156,5497.149902,5468.779785,5479.100098,5479.100098,74313200
2018/9/26,5482.990234,5512.75,5471.569824,5512.72998,5512.72998,77971500
2018/9/27,5500.25,5546.799805,5485.830078,5540.410156,5540.410156,74700600
2018/9/28,5514.549805,5527.240234,5458.209961,5493.490234,5493.490234,112190100
2018/10/1,5494.930176,5519.939941,5491.169922,5506.819824,5506.819824,75188000
2018/10/2,5473.790039,5480.240234,5440.779785,5467.890137,5467.890137,83460200
2018/10/3,5485.02002,5509.080078,5468.470215,5491.399902,5491.399902,65565700
2018/10/4,5471.879883,5477.919922,5404.839844,5410.850098,5410.850098,94188600
2018/10/5,5407.580078,5412.310059,5354.790039,5359.359863,5359.359863,84127700
2018/10/8,5339.490234,5349.310059,5291.740234,5300.25,5300.25,69434100
2018/10/9,5304.109863,5328.370117,5260.529785,5318.549805,5318.549805,78857600
2018/10/10,5319.27002,5319.879883,5200.109863,5206.220215,5206.220215,104816300
2018/10/11,5128.220215,5175.359863,5101.899902,5106.370117,5106.370117,141209700
2018/10/12,5160.22998,5164.029785,5095.740234,5095.97998,5095.97998,98283100
2018/10/15,5095.120117,5105.930176,5058.049805,5095.069824,5095.069824,79093900
2018/10/16,5094.439941,5176.799805,5082.410156,5173.049805,5173.049805,88042700
2018/10/17,5187.109863,5205.379883,5117.22998,5144.950195,5144.950195,90604000
2018/10/18,5150.22998,5175.589844,5115.310059,5116.790039,5116.790039,99240000
2018/10/19,5119.640137,5133.589844,5057.450195,5084.660156,5084.660156,130238900
2018/10/22,5130.290039,5135.689941,5052.240234,5053.310059,5053.310059,74610400
2018/10/23,4991.910156,5009.430176,4955.669922,4967.689941,4967.689941,114932000
2018/10/24,4995.77002,5043.370117,4951.160156,4953.089844,4953.089844,116382700
2018/10/25,4933.950195,5033.52002,4925.560059,5032.299805,5032.299805,125445400
2018/10/26,4978.390137,4978.390137,4896.799805,4967.370117,4967.370117,131619600
2018/10/29,4958.509766,5030.02002,4958.509766,4989.350098,4989.350098,83255000
2018/10/30,4996.919922,5010.439941,4929.939941,4978.529785,4978.529785,96430500
