9984 東証1部 ソフトバンクグループ(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2005-01-04","4960","5030","4950","5010","1958902","1670"
"2005-01-05","4970","4980","4930","4950","3013603","1650"
"2005-01-06","4930","4980","4910","4970","2442102","1656.7"
"2005-01-07","4980","4990","4920","4930","1917102","1643.3"
"2005-01-11","4960","5040","4950","5020","5940906","1673.3"
"2005-01-12","5020","5050","4950","4960","4566205","1653.3"
"2005-01-13","4960","4980","4910","4930","2605703","1643.3"
"2005-01-14","4900","4960","4870","4920","3549704","1640"
"2005-01-17","4930","5140","4930","5090","15173915","1696.7"
"2005-01-18","5090","5110","4970","5000","5553206","1666.7"
"2005-01-19","5030","5060","4940","4950","6941007","1650"
"2005-01-20","4920","4930","4880","4900","3649404","1633.3"
"2005-01-21","4880","4980","4870","4870","5255705","1623.3"
"2005-01-24","4880","4970","4880","4930","5215205","1643.3"
"2005-01-25","4910","4920","4880","4920","2419602","1640"
"2005-01-26","4930","4940","4880","4910","2047802","1636.7"
"2005-01-27","4900","4910","4880","4880","1321701","1626.7"
"2005-01-28","4890","4890","4830","4870","2346102","1623.3"
"2005-01-31","4880","4930","4880","4900","2766403","1633.3"
"2005-02-01","4920","4950","4880","4880","2423102","1626.7"
"2005-02-02","4900","4960","4890","4890","3617504","1630"
"2005-02-03","4900","4910","4840","4860","2362002","1620"
"2005-02-04","4830","4840","4730","4760","4994405","1586.7"
"2005-02-07","4800","4860","4780","4800","4059204","1600"
"2005-02-08","4800","4810","4740","4760","2898703","1586.7"
"2005-02-09","4770","4790","4750","4770","1567002","1590"
"2005-02-10","4730","4750","4590","4630","8339708","1543.3"
"2005-02-14","4650","4660","4560","4620","4267904","1540"
"2005-02-15","4600","4630","4560","4560","2949603","1520"
"2005-02-16","4520","4620","4510","4580","3855204","1526.7"
"2005-02-17","4580","4620","4510","4510","2787503","1503.3"
"2005-02-18","4520","4530","4420","4430","4032704","1476.7"
"2005-02-21","4400","4530","4390","4480","5325805","1493.3"
"2005-02-22","4500","4600","4500","4550","6079206","1516.7"
"2005-02-23","4530","4590","4510","4530","2810603","1510"
"2005-02-24","4530","4560","4460","4460","2178302","1486.7"
"2005-02-25","4480","4520","4460","4490","2579703","1496.7"
"2005-02-28","4530","4560","4520","4530","1998702","1510"
"2005-03-01","4530","4540","4510","4530","1060401","1510"
"2005-03-02","4540","4600","4540","4580","4369904","1526.7"
"2005-03-03","4580","4580","4530","4550","1805102","1516.7"
"2005-03-04","4530","4550","4500","4530","2135402","1510"
"2005-03-07","4560","4570","4500","4520","2298902","1506.7"
"2005-03-08","4530","4540","4460","4470","2612203","1490"
"2005-03-09","4450","4510","4450","4500","2186202","1500"
"2005-03-10","4470","4500","4460","4460","2064802","1486.7"
"2005-03-11","4420","4460","4420","4420","5909106","1473.3"
"2005-03-14","4440","4470","4410","4410","2076002","1470"
"2005-03-15","4420","4430","4290","4330","3375503","1443.3"
"2005-03-16","4320","4400","4310","4330","3561304","1443.3"
"2005-03-17","4280","4320","4270","4300","2267602","1433.3"
