9984 東証1部 ソフトバンクグループ(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2001-01-04","4170","4210","3910","3960","1666402","1320"
"2001-01-05","3910","3990","3820","3920","1451901","1306.7"
"2001-01-09","3750","3800","3500","3520","2293302","1173.3"
"2001-01-10","3570","3620","3400","3410","2582003","1136.7"
"2001-01-11","3310","3340","2980","2995","4769105","998.3"
"2001-01-12","3140","3210","3020","3170","4024604","1056.7"
"2001-01-15","3320","3670","3320","3670","4445004","1223.3"
"2001-01-16","3770","3970","3590","3970","5593206","1323.3"
"2001-01-17","4020","4470","3880","4470","7376307","1490"
"2001-01-18","4800","4970","4650","4890","7648108","1630"
"2001-01-19","5140","5390","4960","5390","6571607","1796.7"
"2001-01-22","5490","5830","5080","5430","10157810","1810"
"2001-01-23","5200","5390","5110","5210","4054304","1736.7"
"2001-01-24","5450","6180","5350","6050","11664812","2016.7"
"2001-01-25","7050","7050","7050","7050","615901","2350"
"2001-01-26","6850","8000","6680","6910","11310311","2303.3"
"2001-01-29","6710","6850","6250","6300","5658406","2100"
"2001-01-30","6600","6940","6320","6900","6067106","2300"
"2001-01-31","6980","7140","6730","6950","5357805","2316.7"
"2001-02-01","6610","6780","6530","6650","3787004","2216.7"
"2001-02-02","6650","6850","6360","6360","3226403","2120"
"2001-02-05","5860","5940","5570","5680","4986005","1893.3"
"2001-02-06","5680","6300","5660","6150","5507806","2050"
"2001-02-07","6250","6380","5850","5950","4187204","1983.3"
"2001-02-08","5750","5960","5650","5950","2972003","1983.3"
"2001-02-09","5850","6300","5800","6170","3852904","2056.7"
"2001-02-13","6250","6250","5940","6040","1844802","2013.3"
"2001-02-14","5840","6050","5700","5880","2847103","1960"
"2001-02-15","6040","6120","5770","5810","2410702","1936.7"
"2001-02-16","5910","5960","5670","5700","2277202","1900"
"2001-02-19","5500","5520","5270","5480","3396903","1826.7"
"2001-02-20","5330","5630","5330","5580","1593902","1860"
"2001-02-21","5380","5440","5270","5330","1896402","1776.7"
"2001-02-22","5030","5270","4950","5180","3500604","1726.7"
"2001-02-23","5100","5560","5100","5530","3292503","1843.3"
"2001-02-26","5700","5730","5390","5450","2421402","1816.7"
"2001-02-27","5550","5580","5350","5390","997201","1796.7"
"2001-02-28","5160","5260","5090","5240","1562502","1746.7"
"2001-03-01","5150","5460","5100","5240","1706302","1746.7"
"2001-03-02","5310","5430","5150","5150","2162002","1716.7"
"2001-03-05","5020","5090","4700","4850","3305903","1616.7"
"2001-03-06","5100","5350","5020","5350","2836303","1783.3"
"2001-03-07","5750","5780","5180","5220","5364805","1740"
"2001-03-08","5020","5150","4940","5070","3537904","1690"
"2001-03-09","4870","5060","4850","4920","2799703","1640"
"2001-03-12","4720","4750","4460","4460","3699504","1486.7"
"2001-03-13","3970","4240","3960","4180","5156505","1393.3"
"2001-03-14","4330","4420","4000","4000","3595004","1333.3"
"2001-03-15","3750","4260","3620","4260","3815604","1420"
"2001-03-16","4260","4430","4120","4210","2821503","1403.3"
"2001-03-19","4160","4410","4160","4190","1854402","1396.7"
"2001-03-21","4140","4300","4070","4300","2573803","1433.3"
"2001-03-22","4280","4450","4200","4200","2625903","1400"
"2001-03-23","4370","4420","4180","4320","3122603","1440"
