9984 東証1部 ソフトバンクグループ(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2007-01-04","2385","2445","2360","2440","20533700","2440"
"2007-01-05","2420","2495","2415","2490","28716200","2490"
"2007-01-09","2495","2505","2450","2475","16511700","2475"
"2007-01-10","2495","2550","2475","2485","37753800","2485"
"2007-01-11","2495","2515","2455","2485","14659500","2485"
"2007-01-12","2500","2500","2440","2460","20587100","2460"
"2007-01-15","2465","2470","2430","2440","7048800","2440"
"2007-01-16","2425","2495","2425","2460","17047200","2460"
"2007-01-17","2470","2495","2450","2460","13040000","2460"
"2007-01-18","2490","2615","2480","2595","57666000","2595"
"2007-01-19","2615","2645","2595","2610","32479600","2610"
"2007-01-22","2625","2630","2545","2555","18361900","2555"
"2007-01-23","2555","2580","2520","2560","18278300","2560"
"2007-01-24","2575","2610","2550","2555","16437300","2555"
"2007-01-25","2670","2680","2530","2540","34496100","2540"
"2007-01-26","2550","2600","2545","2590","24342100","2590"
"2007-01-29","2640","2740","2610","2735","58127300","2735"
"2007-01-30","2765","2920","2735","2815","104238700","2815"
"2007-01-31","2815","2850","2750","2825","40340500","2825"
"2007-02-01","2815","2940","2810","2940","54247900","2940"
"2007-02-02","2965","2980","2870","2895","35434300","2895"
"2007-02-05","2860","2940","2845","2890","30609000","2890"
"2007-02-06","2885","2890","2815","2850","18372600","2850"
"2007-02-07","2860","2910","2820","2850","26225900","2850"
"2007-02-08","2880","2925","2815","2820","27206600","2820"
"2007-02-09","2885","2890","2785","2815","27784700","2815"
"2007-02-13","2815","2850","2785","2820","12495400","2820"
"2007-02-14","2830","2865","2820","2830","11872900","2830"
"2007-02-15","2860","2935","2835","2930","34758400","2930"
"2007-02-16","2930","2945","2880","2880","23176200","2880"
"2007-02-19","2895","2960","2885","2930","29611000","2930"
"2007-02-20","2925","2935","2880","2880","16838900","2880"
"2007-02-21","2875","2905","2845","2880","14627600","2880"
"2007-02-22","2870","2900","2825","2840","17046000","2840"
"2007-02-23","2860","2960","2850","2940","37334100","2940"
"2007-02-26","2980","3050","2975","3050","40969600","3050"
"2007-02-27","3070","3160","3030","3160","51973200","3160"
"2007-02-28","2920","3040","2910","2995","57827800","2995"
"2007-03-01","2990","3030","2725","2775","63611600","2775"
"2007-03-02","2765","2830","2715","2740","35538900","2740"
"2007-03-05","2665","2685","2550","2565","35229000","2565"
"2007-03-06","2625","2735","2610","2710","29493500","2710"
"2007-03-07","2765","2775","2680","2695","25865900","2695"
"2007-03-08","2675","2815","2645","2800","27299400","2800"
"2007-03-09","2840","2950","2820","2930","50202700","2930"
"2007-03-12","2945","2965","2890","2920","19711800","2920"
"2007-03-13","2910","3030","2900","2930","48268700","2930"
"2007-03-14","2850","2855","2750","2765","30249000","2765"
"2007-03-15","2840","2925","2825","2890","34235100","2890"
"2007-03-16","2890","3020","2885","2975","49460200","2975"
"2007-03-19","3010","3080","2995","3080","35860000","3080"
"2007-03-20","3110","3130","3040","3080","23456000","3080"
"2007-03-22","3130","3190","3110","3120","37689900","3120"
"2007-03-23","3150","3160","3070","3100","18867800","3100"
"2007-03-26","3100","3130","3070","3100","11302400","3100"
"2007-03-27","3100","3130","3060","3070","16031500","3070"
"2007-03-28","3050","3090","3030","3030","10142800","3030"
"2007-03-29","3000","3040","2990","3030","11211300","3030"
"2007-03-30","3050","3070","3020","3030","6961700","3030"
"2007-04-02","3030","3050","2955","2970","12097900","2970"
"2007-04-03","2985","2990","2940","2980","9931600","2980"
"2007-04-04","3020","3040","2990","3020","10476500","3020"
"2007-04-05","3010","3010","2980","2985","6469600","2985"
"2007-04-06","2990","2995","2880","2895","13208800","2895"
"2007-04-09","2870","2880","2800","2815","16543400","2815"
"2007-04-10","2780","2900","2770","2845","16038500","2845"
"2007-04-11","2850","2850","2770","2780","12071500","2780"
"2007-04-12","2765","2800","2710","2740","19662600","2740"
"2007-04-13","2750","2760","2680","2690","16197000","2690"
"2007-04-16","2695","2735","2655","2670","17312700","2670"
"2007-04-17","2690","2730","2660","2680","15968900","2680"
"2007-04-18","2685","2700","2595","2630","19576200","2630"
"2007-04-19","2600","2650","2575","2585","18868600","2585"
"2007-04-20","2610","2615","2530","2555","15075000","2555"
"2007-04-23","2555","2560","2500","2520","15771700","2520"
"2007-04-24","2510","2650","2495","2650","32041600","2650"
"2007-04-25","2650","2710","2610","2625","28837900","2625"
"2007-04-26","2645","2670","2605","2610","12533500","2610"
"2007-04-27","2610","2670","2575","2595","13083100","2595"
"2007-05-01","2625","2680","2595","2675","18552500","2675"
"2007-05-02","2695","2705","2640","2655","14071200","2655"
"2007-05-07","2730","2760","2695","2730","17369700","2730"
"2007-05-08","2725","2730","2675","2700","12190400","2700"
"2007-05-09","2685","2700","2570","2615","20320200","2615"
"2007-05-10","2630","2655","2565","2570","12784200","2570"
"2007-05-11","2570","2590","2535","2545","12024400","2545"
"2007-05-14","2555","2575","2520","2530","7781800","2530"
"2007-05-15","2520","2610","2515","2555","13871000","2555"
"2007-05-16","2595","2595","2530","2545","11798200","2545"
"2007-05-17","2550","2570","2450","2450","19392200","2450"
"2007-05-18","2445","2480","2395","2470","15097500","2470"
"2007-05-21","2455","2520","2435","2510","17119900","2510"
"2007-05-22","2515","2590","2485","2590","18109000","2590"
"2007-05-23","2580","2615","2550","2565","16112900","2565"
"2007-05-24","2560","2585","2535","2555","8606100","2555"
"2007-05-25","2535","2565","2510","2555","10409700","2555"
