9984 東証1部 ソフトバンクグループ(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2009-01-05","1633","1654","1599","1604","9126900","1604"
"2009-01-06","1608","1621","1571","1592","11906800","1592"
"2009-01-07","1582","1594","1520","1553","15219200","1553"
"2009-01-08","1536","1537","1503","1508","12775400","1508"
"2009-01-09","1530","1560","1471","1545","16475100","1545"
"2009-01-13","1500","1541","1487","1505","10846900","1505"
"2009-01-14","1506","1548","1485","1519","12064800","1519"
"2009-01-15","1480","1480","1394","1398","21623500","1398"
"2009-01-16","1415","1421","1353","1390","19533800","1390"
"2009-01-19","1403","1414","1378","1402","7082800","1402"
"2009-01-20","1380","1385","1300","1302","17532300","1302"
"2009-01-21","1258","1337","1251","1300","17202300","1300"
"2009-01-22","1320","1326","1262","1325","14920500","1325"
"2009-01-23","1321","1321","1270","1272","10960500","1272"
"2009-01-26","1268","1301","1261","1273","10474100","1273"
"2009-01-27","1286","1361","1270","1359","16211600","1359"
"2009-01-28","1346","1393","1338","1384","13820100","1384"
"2009-01-29","1411","1420","1384","1403","14229400","1403"
"2009-01-30","1376","1416","1366","1414","9785000","1414"
"2009-02-02","1404","1412","1316","1316","12266200","1316"
"2009-02-03","1297","1390","1295","1333","11696500","1333"
"2009-02-04","1340","1371","1328","1366","6865100","1366"
"2009-02-05","1360","1386","1343","1379","7461800","1379"
"2009-02-06","1422","1479","1422","1479","25526400","1479"
"2009-02-09","1496","1504","1422","1424","16030500","1424"
"2009-02-10","1442","1460","1421","1428","8138600","1428"
"2009-02-12","1401","1416","1385","1400","9376300","1400"
"2009-02-13","1410","1422","1385","1398","8122700","1398"
"2009-02-16","1397","1410","1377","1409","7752500","1409"
"2009-02-17","1392","1406","1338","1351","11269100","1351"
"2009-02-18","1311","1322","1292","1297","14237900","1297"
"2009-02-19","1301","1322","1274","1277","9218600","1277"
"2009-02-20","1280","1294","1219","1247","13182800","1247"
"2009-02-23","1200","1220","1169","1185","14883400","1185"
"2009-02-24","1140","1156","1116","1124","15263600","1124"
"2009-02-25","1164","1166","1103","1149","12447800","1149"
"2009-02-26","1149","1171","1137","1142","9278200","1142"
"2009-02-27","1147","1200","1142","1200","14090500","1200"
"2009-03-02","1180","1215","1162","1195","12933600","1195"
"2009-03-03","1170","1181","1153","1153","10864300","1153"
"2009-03-04","1150","1199","1139","1199","11418000","1199"
"2009-03-05","1207","1221","1188","1209","12154400","1209"
"2009-03-06","1189","1210","1172","1186","14023300","1186"
"2009-03-09","1192","1225","1156","1156","11130600","1156"
"2009-03-10","1150","1185","1143","1182","8011600","1182"
"2009-03-11","1220","1234","1204","1234","11371800","1234"
"2009-03-12","1208","1210","1125","1125","14363100","1125"
"2009-03-13","1179","1197","1159","1197","17579100","1197"
"2009-03-16","1177","1213","1173","1192","8685500","1192"
"2009-03-17","1186","1217","1178","1215","9605400","1215"
"2009-03-18","1228","1257","1198","1215","10364600","1215"
"2009-03-19","1203","1230","1197","1225","9439400","1225"
"2009-03-23","1239","1299","1230","1299","13188000","1299"
"2009-03-24","1350","1356","1325","1349","13611400","1349"
"2009-03-25","1342","1353","1308","1344","9923700","1344"
"2009-03-26","1335","1387","1332","1385","8167900","1385"
"2009-03-27","1396","1419","1378","1381","7425900","1381"
"2009-03-30","1380","1390","1308","1313","9237600","1313"
"2009-03-31","1298","1330","1250","1256","10316600","1256"
"2009-04-01","1276","1335","1272","1335","9207900","1335"
"2009-04-02","1351","1383","1346","1380","9651300","1380"
"2009-04-03","1415","1429","1398","1415","11640600","1415"
"2009-04-06","1446","1477","1439","1472","10313800","1472"
"2009-04-07","1468","1503","1449","1494","11033100","1494"
"2009-04-08","1495","1559","1488","1531","19911900","1531"
"2009-04-09","1537","1555","1502","1548","10145100","1548"
"2009-04-10","1578","1579","1504","1522","9720800","1522"
"2009-04-13","1550","1595","1524","1524","11290600","1524"
"2009-04-14","1516","1547","1497","1517","8365000","1517"
"2009-04-15","1518","1529","1502","1518","4912400","1518"
"2009-04-16","1530","1559","1511","1518","7089200","1518"
"2009-04-17","1514","1544","1514","1533","6390700","1533"
"2009-04-20","1518","1527","1492","1503","6982300","1503"
"2009-04-21","1473","1521","1471","1514","6701200","1514"
"2009-04-22","1515","1525","1501","1509","4820100","1509"
"2009-04-23","1517","1555","1506","1549","7855900","1549"
"2009-04-24","1533","1542","1510","1519","7195200","1519"
"2009-04-27","1515","1536","1505","1514","4847100","1514"
"2009-04-28","1514","1522","1499","1499","5130300","1499"
"2009-04-30","1518","1559","1518","1550","7883200","1550"
"2009-05-01","1600","1739","1593","1717","32522900","1717"
"2009-05-07","1807","1852","1790","1825","21314800","1825"
"2009-05-08","1844","1847","1810","1823","9759000","1823"
"2009-05-11","1793","1840","1792","1801","9145100","1801"
"2009-05-12","1805","1832","1797","1801","9019900","1801"
"2009-05-13","1800","1832","1793","1808","6091100","1808"
"2009-05-14","1762","1786","1741","1743","8786400","1743"
"2009-05-15","1719","1764","1713","1743","10728300","1743"
"2009-05-18","1743","1744","1692","1702","6547600","1702"
"2009-05-19","1752","1762","1738","1740","6735900","1740"
"2009-05-20","1765","1775","1742","1743","5646000","1743"
"2009-05-21","1747","1752","1709","1716","4970800","1716"
"2009-05-22","1692","1724","1683","1706","5295800","1706"
"2009-05-25","1707","1740","1704","1740","6462900","1740"
"2009-05-26","1746","1796","1726","1787","11399600","1787"
"2009-05-27","1807","1828","1785","1793","11082700","1793"
"2009-05-28","1767","1779","1743","1760","8384500","1760"
"2009-05-29","1748","1755","1714","1735","8663000","1735"
"2009-06-01","1740","1768","1718","1760","5846700","1760"
"2009-06-02","1780","1781","1744","1744","4882900","1744"
"2009-06-03","1742","1748","1725","1741","3882000","1741"
"2009-06-04","1741","1784","1730","1774","7497000","1774"
"2009-06-05","1790","1794","1748","1782","6904400","1782"
"2009-06-08","1791","1800","1771","1798","5294400","1798"
"2009-06-09","1810","1886","1805","1838","20178800","1838"
"2009-06-10","1854","1937","1848","1934","19801400","1934"
"2009-06-11","1964","1968","1895","1908","11587900","1908"
"2009-06-12","1938","1961","1903","1931","19232100","1931"
"2009-06-15","1932","1950","1906","1912","6463500","1912"
"2009-06-16","1881","1899","1862","1863","6731800","1863"
"2009-06-17","1850","1862","1829","1842","6444800","1842"
"2009-06-18","1842","1862","1815","1824","5392000","1824"
"2009-06-19","1820","1848","1794","1799","7487000","1799"
"2009-06-22","1775","1788","1745","1756","8425600","1756"
"2009-06-23","1706","1730","1700","1705","7855000","1705"
"2009-06-24","1735","1826","1724","1814","17232500","1814"
"2009-06-25","1844","1869","1830","1834","10961500","1834"
"2009-06-26","1842","1873","1813","1866","8734500","1866"
"2009-06-29","1880","1911","1859","1868","10415900","1868"
"2009-06-30","1905","1911","1881","1882","7010400","1882"
"2009-07-01","1880","1903","1866","1882","6040700","1882"
"2009-07-02","1870","1879","1850","1869","5945100","1869"
"2009-07-03","1826","1856","1817","1856","4793900","1856"
"2009-07-06","1826","1867","1822","1850","3470900","1850"
"2009-07-07","1840","1860","1836","1843","5278500","1843"
"2009-07-08","1818","1829","1740","1754","9060700","1754"
"2009-07-09","1736","1794","1724","1749","6362900","1749"
"2009-07-10","1764","1764","1709","1717","8100000","1717"
"2009-07-13","1707","1750","1670","1675","8250600","1675"
"2009-07-14","1701","1717","1685","1703","5696900","1703"
"2009-07-15","1680","1697","1662","1667","6710700","1667"
