9984 東証1部 ソフトバンクグループ(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2004-01-05","3290","3410","3270","3390","5398605","1130"
"2004-01-06","3490","3530","3360","3380","7226807","1126.7"
"2004-01-07","3390","3650","3380","3640","18938219","1213.3"
"2004-01-08","3690","3920","3590","3590","29251429","1196.7"
"2004-01-09","3740","3830","3620","3820","15565616","1273.3"
"2004-01-13","3870","3940","3750","3830","11802512","1276.7"
"2004-01-14","3800","3950","3770","3940","13582414","1313.3"
"2004-01-15","3960","3990","3830","3830","13792814","1276.7"
"2004-01-16","3880","3910","3820","3860","5031405","1286.7"
"2004-01-19","3920","3920","3830","3870","4445104","1290"
"2004-01-20","3910","4330","3880","4140","32128332","1380"
"2004-01-21","4190","4270","4090","4120","20112820","1373.3"
"2004-01-22","4190","4200","4070","4110","7857408","1370"
"2004-01-23","4060","4090","3990","4080","10667011","1360"
"2004-01-26","4040","4060","3910","3960","5966906","1320"
"2004-01-27","4010","4150","3970","3980","11989912","1326.7"
"2004-01-28","3900","3980","3870","3920","6790607","1306.7"
"2004-01-29","3820","3840","3720","3780","8786109","1260"
"2004-01-30","3800","3850","3720","3750","5216605","1250"
"2004-02-02","3730","3890","3720","3880","8837709","1293.3"
"2004-02-03","3910","3960","3760","3830","10984911","1276.7"
"2004-02-04","3810","3840","3540","3560","9454909","1186.7"
"2004-02-05","3510","3650","3470","3580","9642610","1193.3"
"2004-02-06","3610","3750","3580","3740","9121409","1246.7"
"2004-02-09","3820","3850","3660","3690","8621109","1230"
"2004-02-10","3680","3730","3580","3720","4812105","1240"
"2004-02-12","3780","3800","3690","3750","5820706","1250"
"2004-02-13","3840","4140","3800","4120","31442031","1373.3"
"2004-02-16","4160","4210","4050","4070","17130817","1356.7"
"2004-02-17","4100","4300","4080","4280","22895023","1426.7"
"2004-02-18","4380","4420","4160","4230","22979523","1410"
"2004-02-19","4280","4400","4150","4350","16220116","1450"
"2004-02-20","4260","4320","4220","4240","11762112","1413.3"
"2004-02-23","4240","4400","4220","4390","17240117","1463.3"
"2004-02-24","4360","4450","4180","4190","24065924","1396.7"
"2004-02-25","3940","4070","3770","3960","32203932","1320"
"2004-02-26","3920","4010","3860","3960","19152819","1320"
"2004-02-27","4010","4070","3980","4040","7663808","1346.7"
"2004-03-01","4110","4290","4080","4290","13664014","1430"
"2004-03-02","4350","4380","4240","4260","12794013","1420"
"2004-03-03","4240","4320","4220","4230","5828406","1410"
"2004-03-04","4270","4360","4250","4300","7459607","1433.3"
"2004-03-05","4350","4370","4200","4290","7952908","1430"
"2004-03-08","4280","4310","4200","4210","4369004","1403.3"
"2004-03-09","4150","4320","4150","4250","9620910","1416.7"
"2004-03-10","4250","4270","4170","4200","4262704","1400"
"2004-03-11","4120","4180","4120","4150","2974803","1383.3"
"2004-03-12","4090","4130","4010","4080","4696205","1360"
"2004-03-15","4150","4260","4140","4230","5688406","1410"
"2004-03-16","4200","4440","4170","4390","18360818","1463.3"
"2004-03-17","4520","4570","4450","4500","19675420","1500"
"2004-03-18","4650","4670","4410","4420","14077814","1473.3"
"2004-03-19","4450","4520","4390","4520","7923308","1506.7"
"2004-03-22","4470","4640","4460","4600","11916112","1533.3"
"2004-03-23","4540","4580","4460","4570","8316408","1523.3"
"2004-03-24","4570","4630","4410","4450","7952208","1483.3"
"2004-03-25","4480","4520","4370","4420","3782204","1473.3"
"2004-03-26","4520","4570","4470","4510","5288005","1503.3"
"2004-03-29","4540","4760","4510","4670","18760519","1556.7"
"2004-03-30","4800","4830","4680","4730","13300813","1576.7"
"2004-03-31","4750","4870","4710","4870","7810908","1623.3"
"2004-04-01","4990","5370","4930","5330","35249435","1776.7"
"2004-04-02","5350","5540","5250","5400","31198231","1800"
"2004-04-05","5630","5760","5560","5710","23872024","1903.3"
"2004-04-06","5740","5750","5500","5570","16623817","1856.7"
"2004-04-07","5380","5620","5370","5480","12437312","1826.7"
"2004-04-08","5620","5680","5520","5580","11549012","1860"
"2004-04-09","5480","5520","5090","5200","18417118","1733.3"
"2004-04-12","5300","5540","5300","5450","11051111","1816.7"
"2004-04-13","5580","5620","5400","5440","8029008","1813.3"
