9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2010-01-04","17660","17660","17410","17460","373600","17460"
"2010-01-05","17210","17290","16800","16900","1002600","16900"
"2010-01-06","16910","17000","16730","16770","669800","16770"
"2010-01-07","16770","16950","16400","16660","598500","16660"
"2010-01-08","16900","16900","16190","16900","1891700","16900"
"2010-01-12","16540","16550","16050","16050","1259400","16050"
"2010-01-13","15830","16150","15610","16010","988700","16010"
"2010-01-14","16040","16160","15720","15770","1175100","15770"
"2010-01-15","15500","16240","15500","16220","1473600","16220"
"2010-01-18","16000","16040","15770","15830","1230500","15830"
"2010-01-19","15900","15960","15700","15820","740800","15820"
"2010-01-20","15860","15880","15710","15720","602300","15720"
"2010-01-21","15670","15890","15650","15840","1214000","15840"
"2010-01-22","15600","15670","15150","15180","1592200","15180"
"2010-01-25","14880","15070","14810","14970","1160100","14970"
"2010-01-26","14980","15050","14580","14700","1283600","14700"
"2010-01-27","14800","15000","14620","14840","850000","14840"
"2010-01-28","15050","15590","14940","15550","1382800","15550"
"2010-01-29","15280","15440","15000","15020","1042800","15020"
"2010-02-01","15190","15220","14900","15030","800700","15030"
"2010-02-02","15120","15200","14980","15030","485500","15030"
"2010-02-03","14330","14590","14280","14560","1085900","14560"
"2010-02-04","14610","14820","14600","14710","585100","14710"
"2010-02-05","14410","14410","14080","14080","1124700","14080"
"2010-02-08","14030","14190","13830","14010","522700","14010"
"2010-02-09","14010","14200","13960","14080","687100","14080"
"2010-02-10","14380","14390","13990","14010","663500","14010"
"2010-02-12","14310","14470","14130","14440","1097900","14440"
"2010-02-15","14430","14590","14350","14370","408800","14370"
"2010-02-16","14520","14540","14260","14310","273200","14310"
"2010-02-17","14480","14850","14420","14820","785100","14820"
"2010-02-18","14810","15130","14750","15130","522600","15130"
"2010-02-19","15360","15470","14860","14900","841600","14900"
"2010-02-22","15370","15380","15150","15280","525500","15280"
"2010-02-23","15050","15340","15050","15240","596400","15240"
"2010-02-24","15050","15260","14890","15130","787700","15130"
"2010-02-25","15300","15380","15040","15060","567800","15060"
"2010-02-26","15210","15230","15000","15000","545100","15000"
"2010-03-01","15000","15330","14960","15220","521600","15220"
"2010-03-02","15250","15330","15160","15220","442600","15220"
"2010-03-03","15430","15960","15310","15930","1226700","15930"
"2010-03-04","15930","16040","15670","15750","819500","15750"
"2010-03-05","16000","16360","15960","16340","1284900","16340"
"2010-03-08","16690","16690","16400","16470","954400","16470"
"2010-03-09","16450","16630","16400","16560","703000","16560"
"2010-03-10","16160","16510","16140","16420","581400","16420"
"2010-03-11","16420","16510","16330","16470","516700","16470"
"2010-03-12","16790","16850","16580","16760","4071300","16760"
"2010-03-15","16770","16840","16500","16570","431800","16570"
"2010-03-16","16480","16600","16380","16500","373100","16500"
"2010-03-17","16600","16930","16570","16870","813900","16870"
"2010-03-18","16910","16980","16610","16630","562500","16630"
"2010-03-19","16590","16770","16500","16640","765500","16640"
"2010-03-23","16550","16640","16410","16430","421700","16430"
"2010-03-24","16510","16630","16270","16350","404400","16350"
"2010-03-25","16260","16350","16100","16110","540100","16110"
"2010-03-26","16040","16280","15870","16130","880600","16130"
"2010-03-29","16010","16180","15880","16100","538900","16100"
"2010-03-30","16090","16320","16020","16230","590500","16230"
"2010-03-31","16500","16510","16240","16250","815700","16250"
"2010-04-01","16420","16730","16300","16690","1523800","16690"
"2010-04-02","16600","16810","16590","16690","628800","16690"
"2010-04-05","15500","15580","14910","14920","2335400","14920"
"2010-04-06","14520","14970","14130","14910","2289000","14910"
"2010-04-07","15000","15030","14810","14900","976800","14900"
"2010-04-08","14810","15130","14730","15000","1097000","15000"
"2010-04-09","15270","15730","15270","15470","3210500","15470"
"2010-04-12","15690","15700","15160","15230","1146400","15230"
"2010-04-13","15010","15080","14830","14970","1236500","14970"
"2010-04-14","15000","15030","14820","14900","854300","14900"
"2010-04-15","15090","15090","14840","14860","606000","14860"
"2010-04-16","14750","14780","14470","14480","1010000","14480"
"2010-04-19","14300","14620","14230","14450","891400","14450"
"2010-04-20","14650","14650","14490","14510","801100","14510"
"2010-04-21","14700","14880","14640","14840","1018000","14840"
"2010-04-22","14600","14610","14390","14440","833700","14440"
"2010-04-23","14520","14530","14320","14340","1000900","14340"
"2010-04-26","14490","14540","14440","14480","614400","14480"
"2010-04-27","14490","14680","14450","14590","718600","14590"
"2010-04-28","14320","14600","14250","14390","1635700","14390"
"2010-04-30","14460","14560","14300","14370","740500","14370"
"2010-05-06","14000","14140","13870","13870","1292000","13870"
"2010-05-07","12970","13380","12830","13040","1772200","13040"
"2010-05-10","13350","13710","13170","13470","1089300","13470"
"2010-05-11","13560","13580","13110","13130","1049200","13130"
"2010-05-12","13140","13230","12910","12970","1005500","12970"
"2010-05-13","13270","13520","13100","13520","892500","13520"
"2010-05-14","13250","13620","13200","13480","1699500","13480"
"2010-05-17","13450","13480","13020","13160","1080800","13160"
"2010-05-18","13310","13560","13170","13450","1090400","13450"
"2010-05-19","13210","13620","13210","13550","1098000","13550"
"2010-05-20","13560","13800","13440","13700","1082200","13700"
"2010-05-21","13310","13510","13170","13170","1428900","13170"
"2010-05-24","13170","13220","12870","12880","1083400","12880"
"2010-05-25","12700","12710","12150","12190","1511100","12190"
"2010-05-26","12530","12740","12480","12720","1485000","12720"
"2010-05-27","12520","12780","12350","12670","1005300","12670"
"2010-05-28","12970","13010","12810","12910","1256900","12910"
"2010-05-31","12970","12970","12760","12800","758100","12800"
"2010-06-01","12860","12860","12410","12630","551400","12630"
"2010-06-02","12530","12720","12370","12440","829800","12440"
"2010-06-03","13310","13410","13160","13340","1369700","13340"
"2010-06-04","13340","13390","13040","13070","761900","13070"
"2010-06-07","12900","13000","12510","12670","963300","12670"
"2010-06-08","12500","12970","12410","12950","912400","12950"
"2010-06-09","12680","12770","12500","12720","1007300","12720"
"2010-06-10","12740","12900","12660","12770","486600","12770"
"2010-06-11","13070","13350","12950","13270","3638900","13270"
"2010-06-14","13450","13660","13400","13660","798900","13660"
"2010-06-15","13780","13880","13690","13810","830300","13810"
"2010-06-16","14050","14140","13950","14040","721000","14040"
"2010-06-17","14000","14060","13930","14020","573000","14020"
"2010-06-18","14030","14140","13980","14120","540300","14120"
"2010-06-21","14210","14320","13950","14320","915200","14320"
"2010-06-22","14120","14340","14090","14310","702600","14310"
"2010-06-23","14200","14350","14140","14260","634100","14260"
"2010-06-24","14210","14240","14070","14080","423700","14080"
"2010-06-25","13790","14040","13760","14010","574000","14010"
"2010-06-28","14060","14140","13920","14120","402400","14120"
"2010-06-29","14070","14180","13940","13980","593500","13980"
"2010-06-30","13680","13780","13500","13520","864700","13520"
"2010-07-01","13460","13830","13270","13360","831300","13360"
"2010-07-02","13410","13620","13240","13430","875900","13430"
"2010-07-05","12920","13220","12740","13190","1429400","13190"
"2010-07-06","12800","12960","12660","12800","1032000","12800"
"2010-07-07","12810","12820","12590","12730","740800","12730"
"2010-07-08","13000","13010","12680","12720","614300","12720"
"2010-07-09","12730","12850","12260","12800","2120400","12800"
"2010-07-12","12590","12630","12470","12570","724200","12570"
"2010-07-13","12550","12770","12550","12700","597100","12700"
"2010-07-14","13000","13270","12930","13200","838700","13200"
"2010-07-15","13040","13340","13040","13240","623200","13240"
"2010-07-16","13190","13350","12740","12780","747800","12780"
"2010-07-20","12640","12870","12540","12710","473500","12710"
"2010-07-21","12940","12950","12620","12740","407200","12740"
"2010-07-22","12700","13000","12680","12870","551700","12870"
"2010-07-23","13080","13080","12760","12850","581000","12850"
"2010-07-26","12930","12950","12790","12910","360700","12910"
"2010-07-27","12920","13110","12920","13080","340700","13080"
"2010-07-28","13250","13450","13150","13430","631500","13430"
"2010-07-29","13210","13300","13090","13140","441300","13140"
"2010-07-30","13060","13160","12900","12930","514100","12930"
"2010-08-02","12990","13260","12980","13040","388700","13040"
"2010-08-03","13260","13460","13240","13410","702300","13410"
"2010-08-04","13260","13340","13060","13130","611300","13130"
"2010-08-05","13360","13600","13320","13600","802800","13600"
"2010-08-06","13470","13500","13260","13320","555600","13320"
"2010-08-09","13120","13300","13120","13280","417200","13280"
"2010-08-10","13430","13510","13250","13320","361100","13320"
"2010-08-11","13130","13290","12960","12980","490300","12980"
"2010-08-12","12690","12880","12600","12810","687000","12810"
"2010-08-13","12730","13000","12690","12840","1051400","12840"
"2010-08-16","12740","12900","12660","12760","321300","12760"
"2010-08-17","12680","12840","12660","12760","339200","12760"
"2010-08-18","12880","12940","12730","12850","376700","12850"
"2010-08-19","12830","12880","12780","12850","345600","12850"
"2010-08-20","12700","12730","12460","12510","601400","12510"
"2010-08-23","12520","12630","12460","12500","512000","12500"
"2010-08-24","12390","12460","12280","12300","414900","12300"
"2010-08-25","12200","12260","11960","12060","792400","12060"
"2010-08-26","12140","12160","11980","12020","525400","12020"
"2010-08-27","11940","11950","11750","11850","853500","11850"
"2010-08-30","12100","12210","12010","12070","616800","12070"
"2010-08-31","11820","11870","11580","11580","674100","11580"
"2010-09-01","11590","11770","11460","11650","682000","11650"
"2010-09-02","11840","11860","11470","11630","857600","11630"
"2010-09-03","11590","11650","11420","11490","691000","11490"
"2010-09-06","11630","11780","11480","11750","529000","11750"
"2010-09-07","11620","11730","11580","11580","418000","11580"
"2010-09-08","11440","11500","11160","11160","692200","11160"
"2010-09-09","11290","11330","11060","11170","694400","11170"
"2010-09-10","11320","11830","11150","11790","2680700","11790"
"2010-09-13","11850","11970","11690","11710","922500","11710"
"2010-09-14","11590","11700","11460","11680","728500","11680"
"2010-09-15","11510","12110","11510","11960","1190200","11960"
"2010-09-16","11960","12120","11920","11940","845000","11940"
"2010-09-17","11970","12220","11960","12210","682500","12210"
"2010-09-21","12240","12260","11990","12120","581300","12120"
"2010-09-22","12010","12290","11990","12190","550200","12190"
"2010-09-24","12010","12240","11930","12040","764400","12040"
"2010-09-27","12100","12260","12020","12020","465100","12020"
"2010-09-28","12070","12120","11930","11950","532500","11950"
"2010-09-29","12050","12070","11900","12040","1155100","12040"
"2010-09-30","12030","12040","11760","11760","1044700","11760"
"2010-10-01","11820","11890","11730","11730","779900","11730"
"2010-10-04","11730","11880","11520","11770","1166600","11770"
"2010-10-05","11570","12250","11450","12160","1490200","12160"
"2010-10-06","12170","12690","12070","12580","1347300","12580"
"2010-10-07","12580","12740","12400","12680","773900","12680"
"2010-10-08","12690","12690","12390","12390","1146400","12390"
"2010-10-12","11780","11900","11170","11180","2111800","11180"
"2010-10-13","11180","11180","10850","10910","1220000","10910"
"2010-10-14","11050","11250","10900","10980","1290300","10980"
"2010-10-15","10930","10930","10670","10820","838000","10820"
"2010-10-18","10830","10850","10520","10590","634800","10590"
"2010-10-19","10560","10640","10460","10610","552500","10610"
"2010-10-20","10410","10540","10370","10440","627000","10440"
"2010-10-21","10670","10720","10360","10490","782900","10490"
"2010-10-22","10580","10670","10510","10580","439200","10580"
"2010-10-25","10630","10860","10630","10760","703300","10760"
"2010-10-26","10800","10980","10800","10900","716800","10900"
"2010-10-27","11050","11070","10820","10860","631900","10860"
"2010-10-28","10870","10880","10680","10730","589500","10730"
"2010-10-29","10710","10760","10530","10530","684500","10530"
"2010-11-01","10530","10850","10480","10530","512400","10530"
"2010-11-02","10540","10840","10500","10820","735300","10820"
"2010-11-04","11400","11750","11340","11700","1619800","11700"
"2010-11-05","11980","12100","11920","12030","1022300","12030"
"2010-11-08","12070","12110","11950","12050","535400","12050"
"2010-11-09","11900","12030","11790","11990","1131000","11990"
"2010-11-10","12150","12380","12120","12360","780400","12360"
"2010-11-11","12450","12460","12240","12380","645200","12380"
"2010-11-12","12200","12280","12100","12210","1153000","12210"
"2010-11-15","12210","12500","12180","12500","778000","12500"
"2010-11-16","12580","13030","12560","13000","1679300","13000"
"2010-11-17","12900","13050","12810","12990","930300","12990"
"2010-11-18","12980","13140","12850","13080","1035300","13080"
"2010-11-19","13300","13400","13240","13250","926200","13250"
"2010-11-22","13450","13500","13330","13390","550100","13390"
"2010-11-24","13280","13960","13170","13870","1272800","13870"
"2010-11-25","13890","13920","13610","13690","1018600","13690"
"2010-11-26","13630","13750","13550","13560","506000","13560"
"2010-11-29","13760","13760","13480","13660","556900","13660"
"2010-11-30","13420","13580","13200","13240","1000000","13240"
"2010-12-01","13300","13400","13120","13260","716000","13260"
"2010-12-02","13480","13670","13370","13390","1485100","13390"
"2010-12-03","12860","13080","12790","12990","1592400","12990"
"2010-12-06","12910","13000","12890","12900","484500","12900"
"2010-12-07","12880","12930","12710","12860","762000","12860"
"2010-12-08","13040","13120","12950","12950","869900","12950"
"2010-12-09","13050","13060","12950","13010","653100","13010"
"2010-12-10","13310","13310","12840","12960","3542900","12960"
"2010-12-13","13080","13080","12920","12980","405000","12980"
"2010-12-14","12970","13050","12930","12950","483700","12950"
"2010-12-15","12960","13030","12850","12860","517200","12860"
"2010-12-16","12860","12900","12760","12830","461400","12830"
"2010-12-17","12810","12940","12790","12920","875700","12920"
"2010-12-20","12910","12910","12680","12720","586800","12720"
"2010-12-21","12840","13110","12780","13110","755700","13110"
"2010-12-22","13040","13340","13040","13240","930200","13240"
"2010-12-24","13050","13160","12990","13100","360900","13100"
"2010-12-27","13230","13380","13160","13330","423400","13330"
"2010-12-28","13260","13280","13010","13030","475000","13030"
"2010-12-29","13030","13140","13030","13090","227500","13090"
"2010-12-30","13020","13040","12830","12930","640600","12930"
