9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2002-01-04","11990","12000","11750","11940","64900","5970"
"2002-01-07","11950","11990","11710","11800","50900","5900"
"2002-01-08","11600","13200","11370","12550","295600","6275"
"2002-01-09","10550","10550","10550","10550","26700","5275"
"2002-01-10","8550","8550","8550","8550","75300","4275"
"2002-01-11","7950","8060","7690","8020","3576600","4010"
"2002-01-15","7420","7510","7020","7020","1191600","3510"
"2002-01-16","7030","7420","6630","7140","2778000","3570"
"2002-01-17","7050","7350","6900","6950","983100","3475"
"2002-01-18","7000","7090","6770","6940","525100","3470"
"2002-01-21","6600","6700","6460","6490","941900","3245"
"2002-01-22","6490","6700","6280","6310","879700","3155"
"2002-01-23","6310","6450","6130","6130","586600","3065"
"2002-01-24","6040","6060","5810","5850","577400","2925"
"2002-01-25","6110","6390","6100","6290","790000","3145"
"2002-01-28","6390","6660","6390","6600","507700","3300"
"2002-01-29","6700","6850","6600","6610","448200","3305"
"2002-01-30","6530","6560","6370","6510","121800","3255"
"2002-01-31","6410","6490","6280","6340","179600","3170"
"2002-02-01","6340","6380","5900","6100","407300","3050"
"2002-02-04","5200","5410","5100","5260","688000","2630"
"2002-02-05","5200","5220","5010","5050","517800","2525"
"2002-02-06","5200","5600","5200","5380","320900","2690"
"2002-02-07","5430","5500","5320","5440","433900","2720"
"2002-02-08","5530","5770","5520","5750","465000","2875"
"2002-02-12","5850","5930","5450","5470","414000","2735"
"2002-02-13","5510","5680","5510","5670","142800","2835"
"2002-02-14","5700","5850","5600","5650","198400","2825"
"2002-02-15","5500","5500","5380","5500","151600","2750"
"2002-02-18","5500","5500","5170","5190","266000","2595"
"2002-02-19","5210","5250","5050","5100","201000","2550"
"2002-02-20","5100","5260","5080","5100","323200","2550"
"2002-02-21","5100","5140","4930","5050","264200","2525"
"2002-02-22","5020","5150","4990","5080","299100","2540"
"2002-02-25","2545","2625","2365","2380","634700","2380"
"2002-02-26","2420","2420","2280","2290","406500","2290"
"2002-02-27","2290","2455","2280","2445","480300","2445"
"2002-02-28","2500","2515","2340","2360","487500","2360"
"2002-03-01","2400","2400","2270","2370","327900","2370"
"2002-03-04","2650","2770","2560","2770","891300","2770"
"2002-03-05","3060","3170","2900","3080","1076800","3080"
"2002-03-06","2900","3280","2800","3280","1060600","3280"
"2002-03-07","3350","3370","3160","3300","686500","3300"
"2002-03-08","3380","3440","3310","3310","591300","3310"
"2002-03-11","3320","3340","3150","3250","325500","3250"
"2002-03-12","3200","3250","3130","3230","271400","3230"
"2002-03-13","3130","3220","3110","3110","393200","3110"
"2002-03-14","3080","3170","3050","3110","249300","3110"
"2002-03-15","3200","3330","3180","3330","423600","3330"
"2002-03-18","3350","3390","3240","3280","248200","3280"
"2002-03-19","3200","3290","3190","3250","237400","3250"
"2002-03-20","3260","3270","3160","3250","209600","3250"
"2002-03-22","3300","3330","3150","3190","243600","3190"
"2002-03-25","3240","3250","3120","3220","222600","3220"
"2002-03-26","3280","3350","3200","3290","192600","3290"
"2002-03-27","3300","3310","3250","3270","90500","3270"
"2002-03-28","3300","3350","3260","3300","269600","3300"
"2002-03-29","3280","3280","3200","3200","179900","3200"
"2002-04-01","3250","3290","3240","3260","158000","3260"
"2002-04-02","3300","3360","3250","3300","253600","3300"
"2002-04-03","3250","3300","3240","3260","201700","3260"
"2002-04-04","3250","3310","3250","3270","196100","3270"
"2002-04-05","3350","3570","3280","3520","614500","3520"
"2002-04-08","3500","3530","3430","3480","275900","3480"
"2002-04-09","3490","3670","3450","3660","394400","3660"
"2002-04-10","3690","3700","3550","3620","226700","3620"
"2002-04-11","3620","3650","3440","3470","245600","3470"
"2002-04-12","3420","3520","3380","3470","199800","3470"
"2002-04-15","3500","3500","3300","3490","175500","3490"
"2002-04-16","3480","3490","3420","3460","233100","3460"
"2002-04-17","3510","3530","3480","3520","293300","3520"
"2002-04-18","3690","3940","3670","3920","860500","3920"
"2002-04-19","3620","3750","3550","3660","825500","3660"
"2002-04-22","3610","3690","3520","3670","349100","3670"
"2002-04-23","3570","3610","3490","3600","603500","3600"
"2002-04-24","3550","3600","3510","3510","268500","3510"
"2002-04-25","3470","3550","3360","3400","315200","3400"
"2002-04-26","3300","3340","3220","3250","409900","3250"
"2002-04-30","3200","3420","3150","3420","349800","3420"
"2002-05-01","3270","3420","3270","3380","256500","3380"
"2002-05-02","3350","3380","3310","3350","289800","3350"
"2002-05-07","3100","3200","2980","3050","504200","3050"
"2002-05-08","2870","2960","2860","2930","911100","2930"
"2002-05-09","2900","2930","2850","2905","450700","2905"
"2002-05-10","2870","2980","2870","2940","325400","2940"
"2002-05-13","2910","2930","2790","2800","404000","2800"
"2002-05-14","2750","2750","2650","2660","680500","2660"
"2002-05-15","2670","2770","2595","2725","778800","2725"
"2002-05-16","2740","2910","2700","2880","460200","2880"
"2002-05-17","2910","2940","2865","2890","335600","2890"
"2002-05-20","2910","2915","2830","2875","368600","2875"
"2002-05-21","2935","3050","2905","2995","622100","2995"
"2002-05-22","2985","3200","2965","3170","788600","3170"
"2002-05-23","3270","3270","3050","3110","617700","3110"
"2002-05-24","3100","3110","2980","3050","468300","3050"
"2002-05-27","3050","3110","3050","3050","205300","3050"
"2002-05-28","3050","3100","3050","3090","159200","3090"
"2002-05-29","3070","3150","3050","3090","275000","3090"
"2002-05-30","3100","3170","3100","3160","346100","3160"
"2002-05-31","3300","3350","3220","3350","799400","3350"
"2002-06-03","3330","3330","3190","3220","405800","3220"
"2002-06-04","3170","3240","3130","3180","262500","3180"
"2002-06-05","2980","3000","2805","2840","1008900","2840"
"2002-06-06","2920","2950","2890","2950","538800","2950"
"2002-06-07","2920","2970","2890","2940","323600","2940"
"2002-06-10","2980","2980","2910","2925","157100","2925"
"2002-06-11","2950","2960","2900","2945","149200","2945"
"2002-06-12","2905","3040","2905","3010","317000","3010"
"2002-06-13","3000","3010","2965","2985","191400","2985"
"2002-06-14","3000","3000","2925","2950","323200","2950"
"2002-06-17","2905","2910","2800","2840","241900","2840"
"2002-06-18","2805","2820","2755","2770","260000","2770"
"2002-06-19","2690","2735","2620","2705","402500","2705"
"2002-06-20","2625","2655","2600","2630","264500","2630"
"2002-06-21","2620","2625","2550","2560","380300","2560"
"2002-06-24","2490","2545","2450","2535","260300","2535"
"2002-06-25","2500","2535","2450","2460","337700","2460"
"2002-06-26","2450","2520","2430","2455","206000","2455"
"2002-06-27","2500","2500","2430","2430","194400","2430"
"2002-06-28","2540","2605","2500","2600","334100","2600"
"2002-07-01","2715","2790","2640","2755","320000","2755"
"2002-07-02","2700","2705","2650","2680","260300","2680"
"2002-07-03","2710","2830","2700","2795","483200","2795"
"2002-07-04","2760","2790","2745","2780","182100","2780"
"2002-07-05","2770","2785","2750","2785","192600","2785"
"2002-07-08","2785","2790","2735","2770","281700","2770"
"2002-07-09","2730","2755","2695","2730","305400","2730"
"2002-07-10","2700","2745","2685","2695","170400","2695"
"2002-07-11","2600","2635","2550","2575","320100","2575"
"2002-07-12","2590","2665","2580","2635","251400","2635"
"2002-07-15","2675","2780","2640","2740","454400","2740"
"2002-07-16","2780","2900","2720","2785","659200","2785"
"2002-07-17","2865","2875","2740","2790","324400","2790"
"2002-07-18","2805","2950","2800","2950","659800","2950"
"2002-07-19","2880","2910","2840","2880","343600","2880"
"2002-07-22","2920","3070","2850","3030","551300","3030"
"2002-07-23","2940","3020","2940","2995","330800","2995"
"2002-07-24","2960","3030","2960","2995","240400","2995"
"2002-07-25","3000","3060","2960","2960","326600","2960"
