9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2013-01-04","22500","22530","22030","22200","587300","22200"
"2013-01-07","22350","22890","22150","22810","980700","22810"
"2013-01-08","22690","22950","22580","22910","616800","22910"
"2013-01-09","22610","22910","22600","22820","633900","22820"
"2013-01-10","22800","22940","22510","22560","588100","22560"
"2013-01-11","22790","23650","22790","23640","1857900","23640"
"2013-01-15","23860","24090","23770","23820","771200","23820"
"2013-01-16","23410","23420","22710","22720","1010500","22720"
"2013-01-17","22700","23190","22170","22740","1001000","22740"
"2013-01-18","23240","23480","22910","23430","892000","23430"
"2013-01-21","23490","23500","22590","22590","686200","22590"
"2013-01-22","22780","23300","22730","22900","1021700","22900"
"2013-01-23","22650","23070","22330","22330","894000","22330"
"2013-01-24","22470","22670","22270","22550","477300","22550"
"2013-01-25","23050","23210","22740","23210","472800","23210"
"2013-01-28","23380","23450","22900","22940","380700","22940"
"2013-01-29","22690","23130","22650","22850","480700","22850"
"2013-01-30","23050","23840","22950","23840","735100","23840"
"2013-01-31","23570","24080","23490","24080","580300","24080"
"2013-02-01","24360","24940","24230","24850","700300","24850"
"2013-02-04","25170","25260","24910","25020","559200","25020"
"2013-02-05","24310","24470","24110","24230","698500","24230"
"2013-02-06","24790","25310","24730","25200","922900","25200"
"2013-02-07","24950","25040","24600","24710","666400","24710"
"2013-02-08","24210","24750","24010","24070","1488000","24070"
"2013-02-12","24760","24980","24500","24860","644000","24860"
"2013-02-13","24900","24970","24650","24680","408100","24680"
"2013-02-14","24690","25050","24570","24910","618800","24910"
"2013-02-15","24780","25290","24730","24860","785200","24860"
"2013-02-18","25210","25540","25050","25390","736600","25390"
"2013-02-19","25200","25590","25150","25320","386300","25320"
"2013-02-20","25520","25550","25320","25450","506600","25450"
"2013-02-21","25360","25470","24870","24910","659000","24910"
"2013-02-22","24830","25190","24510","25170","664100","25170"
"2013-02-25","25660","26000","25590","26000","817100","26000"
"2013-02-26","25000","25300","24920","24960","1063600","24960"
"2013-02-27","25100","25240","24570","24580","588700","24580"
"2013-02-28","25150","25480","25050","25430","849500","25430"
"2013-03-01","25170","25630","25080","25380","505500","25380"
"2013-03-04","25800","25800","25130","25370","542400","25370"
"2013-03-05","26370","27100","26210","26770","1100000","26770"
"2013-03-06","27570","29070","27530","28940","1698900","28940"
"2013-03-07","29440","29650","28610","28690","1306700","28690"
"2013-03-08","29000","31600","28950","31500","4937300","31500"
"2013-03-11","31450","31500","30700","30900","1092800","30900"
"2013-03-12","30900","31300","29990","30200","1014500","30200"
"2013-03-13","30100","30350","29390","29550","1083500","29550"
"2013-03-14","29860","30350","29850","30300","778000","30300"
"2013-03-15","30300","30650","30100","30400","490600","30400"
"2013-03-18","29620","29820","29290","29290","682700","29290"
"2013-03-19","30050","30250","29840","30100","597600","30100"
"2013-03-21","30550","30800","30200","30700","423800","30700"
"2013-03-22","30200","30400","29300","29330","919700","29330"
"2013-03-25","30100","30900","29940","30700","857600","30700"
"2013-03-26","30150","30600","30050","30150","521300","30150"
"2013-03-27","30400","30450","29700","30150","484400","30150"
"2013-03-28","29970","30250","29810","29930","1018700","29930"
"2013-03-29","30200","30800","30000","30650","518000","30650"
"2013-04-01","30850","31350","30500","30650","1731200","30650"
"2013-04-02","30850","31350","30300","31300","1230700","31300"
"2013-04-03","33500","35800","33350","35650","1713000","35650"
"2013-04-04","34800","35850","33600","35650","1395300","35650"
"2013-04-05","38000","38350","34900","34900","1376100","34900"
"2013-04-08","35600","36300","34900","35050","868800","35050"
"2013-04-09","34900","35200","33700","33750","940900","33750"
"2013-04-10","33500","34150","33300","33500","1013400","33500"
"2013-04-11","34200","34550","33300","34550","1049100","34550"
"2013-04-12","33850","34800","32650","34250","2437900","34250"
"2013-04-15","33550","34200","33350","33350","661400","33350"
"2013-04-16","32650","34300","32550","33800","929200","33800"
"2013-04-17","34050","34400","33700","33950","498400","33950"
"2013-04-18","33500","34150","33300","33500","631500","33500"
"2013-04-19","33950","33950","33350","33500","378300","33500"
"2013-04-22","33900","34350","33550","34300","523000","34300"
"2013-04-23","33950","34150","33450","33500","412900","33500"
"2013-04-24","33750","34100","33650","34050","434400","34050"
"2013-04-25","34050","34450","33650","34100","628800","34100"
"2013-04-26","34600","35750","34350","35700","1486000","35700"
"2013-04-30","35600","35850","34900","35700","706600","35700"
"2013-05-01","35750","36450","35500","36000","428600","36000"
"2013-05-02","35950","36100","35300","35350","595800","35350"
"2013-05-07","36600","37050","36000","36950","688400","36950"
"2013-05-08","36400","36900","36100","36250","690800","36250"
"2013-05-09","36450","36900","36250","36250","365500","36250"
"2013-05-10","37400","37600","36850","37300","1043500","37300"
"2013-05-13","37850","38450","37550","38000","451900","38000"
"2013-05-14","38300","38400","37900","38000","347400","38000"
"2013-05-15","39000","39250","38250","38800","530200","38800"
"2013-05-16","38750","38850","37550","38250","740400","38250"
"2013-05-17","38250","38900","37700","38900","644600","38900"
"2013-05-20","38750","39200","38600","39200","537100","39200"
"2013-05-21","38700","38950","38250","38550","416000","38550"
"2013-05-22","38600","41500","38550","41400","1105000","41400"
"2013-05-23","42000","44400","38100","38100","2721100","38100"
"2013-05-24","39550","40200","35200","38300","2233800","38300"
"2013-05-27","36200","37600","35600","37250","1049300","37250"
"2013-05-28","37100","38950","36900","38100","875600","38100"
"2013-05-29","38450","38550","36800","37350","932000","37350"
"2013-05-30","35750","36100","33200","33200","1562000","33200"
"2013-05-31","34600","35200","33650","34900","1148600","34900"
"2013-06-03","34600","34600","32700","32700","1052000","32700"
"2013-06-04","32950","33900","32000","33050","1121600","33050"
"2013-06-05","33950","34100","29580","29920","1979000","29920"
"2013-06-06","30350","30450","29210","29460","1642600","29460"
"2013-06-07","28990","31350","28580","31100","1776000","31100"
"2013-06-10","32500","32550","30600","32050","959100","32050"
"2013-06-11","31900","32500","31050","31250","798500","31250"
"2013-06-12","30600","31400","30100","31250","644000","31250"
"2013-06-13","30350","30550","28550","28550","1669200","28550"
"2013-06-14","28650","29650","28540","28940","2795100","28940"
"2013-06-17","28500","29800","27900","29740","1089400","29740"
"2013-06-18","29310","30200","29120","29820","706000","29820"
"2013-06-19","30350","30700","29630","30300","797200","30300"
"2013-06-20","29670","30450","29220","29620","1124100","29620"
"2013-06-21","29210","31950","29010","31050","1457500","31050"
"2013-06-24","32150","32150","30100","30300","643500","30300"
"2013-06-25","30500","31100","29670","30500","855800","30500"
"2013-06-26","31300","31850","30450","30600","832900","30600"
"2013-06-27","31000","31650","30600","31500","630900","31500"
"2013-06-28","31850","33500","31300","33450","929200","33450"
"2013-07-01","33500","34000","32700","33900","587800","33900"
"2013-07-02","33900","35350","33800","35300","794700","35300"
"2013-07-03","36000","36250","34450","34800","919900","34800"
"2013-07-04","34550","35350","34400","35250","399100","35250"
"2013-07-05","35900","37000","35750","37000","729900","37000"
"2013-07-08","37900","38250","36750","36800","769100","36800"
"2013-07-09","37150","38500","36700","38450","775300","38450"
"2013-07-10","37950","38750","37250","38000","741300","38000"
"2013-07-11","37400","38750","37350","38700","607900","38700"
"2013-07-12","36700","37150","36000","36450","2045100","36450"
"2013-07-16","35750","36450","34900","35300","1185400","35300"
"2013-07-17","35050","35900","34950","35850","641800","35850"
"2013-07-18","35950","36900","35500","36750","827000","36750"
"2013-07-19","37300","37700","35500","36150","1503000","36150"
"2013-07-22","36800","36900","35750","36450","724900","36450"
"2013-07-23","36000","37150","35950","36650","635900","36650"
"2013-07-24","36450","36600","36100","36300","554700","36300"
"2013-07-25","36350","36950","36200","36650","501500","36650"
"2013-07-26","36150","36600","35450","35450","772300","35450"
"2013-07-29","34750","35200","34100","34100","716200","34100"
"2013-07-30","33800","34550","33600","34400","804600","34400"
"2013-07-31","33700","33700","33000","33550","767800","33550"
"2013-08-01","33050","34200","33000","34200","575700","34200"
"2013-08-02","34900","35750","34800","35600","694400","35600"
"2013-08-05","35300","35600","34600","34700","500200","34700"
"2013-08-06","34550","35150","33600","35050","632000","35050"
"2013-08-07","33650","34150","32900","32900","900100","32900"
"2013-08-08","32950","34000","31900","32100","885900","32100"
"2013-08-09","31950","32450","31300","31650","1176800","31650"
"2013-08-12","31200","31900","30750","31300","520000","31300"
"2013-08-13","32000","32650","31750","32650","548700","32650"
"2013-08-14","32800","33250","31950","33200","727100","33200"
"2013-08-15","32500","33050","31900","32100","690100","32100"
"2013-08-16","31500","32400","31200","32000","484200","32000"
"2013-08-19","32350","32450","31800","32200","352800","32200"
"2013-08-20","31600","32000","30950","31150","658300","31150"
"2013-08-21","31350","31550","30400","31300","724300","31300"
"2013-08-22","31000","31500","30600","31100","484200","31100"
"2013-08-23","32050","32450","31600","31850","773200","31850"
"2013-08-26","32150","32200","31600","31750","350100","31750"
