9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2005-01-04","7900","7960","7860","7930","117800","7930"
"2005-01-05","7880","7880","7750","7770","279900","7770"
"2005-01-06","7570","7620","7500","7590","638000","7590"
"2005-01-07","7620","7620","7500","7530","321700","7530"
"2005-01-11","7530","7550","7460","7530","211400","7530"
"2005-01-12","7510","7600","7510","7530","259900","7530"
"2005-01-13","7530","7550","7360","7390","339300","7390"
"2005-01-14","7090","7320","7050","7260","987500","7260"
"2005-01-17","7260","7290","7130","7230","574800","7230"
"2005-01-18","7220","7240","7150","7170","357100","7170"
"2005-01-19","7220","7240","7190","7200","187200","7200"
"2005-01-20","7210","7280","7170","7230","321900","7230"
"2005-01-21","7260","7420","7250","7360","372400","7360"
"2005-01-24","7400","7430","7370","7400","220200","7400"
"2005-01-25","7400","7440","7400","7440","153400","7440"
"2005-01-26","7500","7500","7400","7440","178800","7440"
"2005-01-27","7400","7410","7200","7290","442700","7290"
"2005-01-28","7160","7200","6970","7000","945600","7000"
"2005-01-31","7050","7110","6990","7050","391200","7050"
"2005-02-01","7170","7190","7100","7170","343600","7170"
"2005-02-02","7230","7260","7200","7260","291300","7260"
"2005-02-03","7360","7360","7150","7190","663400","7190"
"2005-02-04","7170","7180","7030","7090","477300","7090"
"2005-02-07","7100","7140","7000","7050","591000","7050"
"2005-02-08","7010","7120","7010","7120","280400","7120"
"2005-02-09","7130","7130","7030","7060","251700","7060"
"2005-02-10","7050","7080","7010","7040","241200","7040"
"2005-02-14","7050","7050","6980","6990","401500","6990"
"2005-02-15","7000","7130","7000","7130","296300","7130"
"2005-02-16","7130","7150","7100","7140","267700","7140"
"2005-02-17","7140","7140","7050","7070","211600","7070"
"2005-02-18","7100","7140","7070","7130","161800","7130"
"2005-02-21","7110","7120","6980","6990","505000","6990"
"2005-02-22","7030","7090","7000","7050","233800","7050"
"2005-02-23","6990","7050","6980","7030","288700","7030"
"2005-02-24","7030","7030","6920","6930","335000","6930"
"2005-02-25","6940","6970","6910","6920","335000","6920"
"2005-02-28","6960","6990","6910","6920","288600","6920"
"2005-03-01","6920","6930","6840","6930","390000","6930"
"2005-03-02","6930","6930","6830","6860","369400","6860"
"2005-03-03","6500","6890","6500","6850","1835300","6850"
"2005-03-04","6900","6900","6770","6800","329900","6800"
"2005-03-07","6760","6770","6690","6750","508600","6750"
"2005-03-08","6700","6790","6630","6790","466400","6790"
"2005-03-09","6750","6810","6730","6750","334700","6750"
"2005-03-10","6750","6800","6730","6750","309900","6750"
"2005-03-11","6750","6760","6630","6650","835700","6650"
"2005-03-14","6690","6740","6640","6680","476900","6680"
"2005-03-15","6680","6700","6530","6610","658500","6610"
"2005-03-16","6450","6500","6420","6480","1087100","6480"
"2005-03-17","6430","6450","6380","6390","726200","6390"
"2005-03-18","6400","6600","6380","6590","549000","6590"
"2005-03-22","6590","6600","6450","6460","384700","6460"
"2005-03-23","6460","6460","6380","6410","346000","6410"
"2005-03-24","6490","6570","6470","6490","411100","6490"
"2005-03-25","6510","6610","6500","6550","397600","6550"
"2005-03-28","6590","6600","6490","6500","177000","6500"
"2005-03-29","6490","6530","6400","6450","236900","6450"
"2005-03-30","6520","6530","6420","6500","235700","6500"
"2005-03-31","6510","6510","6420","6490","262200","6490"
"2005-04-01","6450","6520","6430","6480","145700","6480"
"2005-04-04","6470","6480","6390","6400","169500","6400"
"2005-04-05","6100","6160","6030","6060","1964800","6060"
"2005-04-06","6170","6200","6130","6180","930800","6180"
"2005-04-07","6140","6170","6110","6140","525500","6140"
"2005-04-08","6190","6190","6110","6130","474100","6130"
"2005-04-11","6110","6110","6040","6050","450000","6050"
"2005-04-12","6050","6070","5980","6030","356800","6030"
"2005-04-13","6030","6030","5860","5930","593200","5930"
"2005-04-14","5810","5990","5810","5970","872600","5970"
"2005-04-15","6100","6190","6040","6120","1562500","6120"
"2005-04-18","6120","6140","5930","5930","619800","5930"
"2005-04-19","5950","6070","5930","5990","742100","5990"
"2005-04-20","6130","6140","6030","6110","791500","6110"
"2005-04-21","6120","6240","6050","6200","1169000","6200"
"2005-04-22","6290","6300","6160","6210","680700","6210"
"2005-04-25","6200","6240","6120","6170","273100","6170"
"2005-04-26","6290","6290","6180","6210","394700","6210"
"2005-04-27","6220","6250","6160","6210","218100","6210"
"2005-04-28","6190","6220","6100","6210","312500","6210"
"2005-05-02","6230","6250","6160","6230","246900","6230"
"2005-05-06","6240","6240","6130","6180","329800","6180"
"2005-05-09","6080","6120","6000","6030","553300","6030"
"2005-05-10","6070","6110","6000","6000","465300","6000"
"2005-05-11","6010","6020","5960","6020","227500","6020"
"2005-05-12","5960","5980","5740","5770","817000","5770"
"2005-05-13","5790","5930","5780","5880","558700","5880"
"2005-05-16","5940","5960","5900","5930","360500","5930"
"2005-05-17","5980","5990","5810","5860","522500","5860"
"2005-05-18","5950","5950","5850","5890","239700","5890"
"2005-05-19","5930","5930","5880","5900","205200","5900"
"2005-05-20","5950","5960","5910","5930","471000","5930"
"2005-05-23","5920","6060","5910","6060","439200","6060"
"2005-05-24","6110","6110","5980","6050","344900","6050"
"2005-05-25","6050","6050","5960","5960","484900","5960"
"2005-05-26","5970","5970","5780","5800","470300","5800"
"2005-05-27","5780","5780","5720","5740","481100","5740"
"2005-05-30","5770","5810","5750","5750","414600","5750"
"2005-05-31","5750","5790","5710","5740","285600","5740"
"2005-06-01","5720","5740","5630","5650","401500","5650"
"2005-06-02","5690","5710","5590","5650","810600","5650"
"2005-06-03","5590","5610","5530","5570","494300","5570"
"2005-06-06","5550","5690","5520","5670","445000","5670"
"2005-06-07","5650","5670","5580","5610","196800","5610"
"2005-06-08","5590","5790","5590","5790","504500","5790"
"2005-06-09","5760","5760","5660","5690","455300","5690"
"2005-06-10","5660","5790","5620","5790","441700","5790"
"2005-06-13","5810","5910","5800","5870","582000","5870"
"2005-06-14","5860","5860","5740","5740","244600","5740"
"2005-06-15","5790","5790","5730","5770","185300","5770"
"2005-06-16","5770","5850","5770","5810","229300","5810"
"2005-06-17","5840","5950","5830","5900","439100","5900"
"2005-06-20","5970","5970","5820","5830","233300","5830"
"2005-06-21","5850","5930","5810","5900","259300","5900"
"2005-06-22","5860","5860","5770","5820","355200","5820"
"2005-06-23","5790","5810","5760","5770","185300","5770"
"2005-06-24","5760","5800","5730","5760","163700","5760"
"2005-06-27","5740","5750","5640","5640","271800","5640"
"2005-06-28","5640","5740","5630","5730","299100","5730"
"2005-06-29","5750","5760","5680","5700","354800","5700"
"2005-06-30","5730","5790","5710","5760","269700","5760"
"2005-07-01","5770","5780","5740","5740","178300","5740"
"2005-07-04","5800","5960","5790","5940","470600","5940"
"2005-07-05","6300","6540","6290","6490","2478600","6490"
"2005-07-06","6450","6510","6410","6490","594400","6490"
"2005-07-07","6390","6440","6310","6350","541700","6350"
"2005-07-08","6350","6430","6320","6330","212600","6330"
"2005-07-11","6480","6560","6430","6550","735200","6550"
"2005-07-12","6540","6570","6490","6500","440100","6500"
"2005-07-13","6400","6420","6260","6310","755300","6310"
"2005-07-14","6350","6360","6310","6330","365200","6330"
"2005-07-15","6330","6330","6110","6140","724600","6140"
"2005-07-19","6200","6250","6180","6200","262200","6200"
"2005-07-20","6250","6370","6230","6350","494800","6350"
"2005-07-21","6400","6400","6310","6310","228700","6310"
"2005-07-22","6310","6370","6270","6320","395000","6320"
"2005-07-25","6320","6390","6310","6360","206600","6360"
"2005-07-26","6400","6420","6280","6380","242000","6380"
"2005-07-27","6400","6480","6380","6480","317900","6480"
"2005-07-28","6490","6540","6480","6540","299800","6540"
"2005-07-29","6540","6640","6540","6590","365500","6590"
"2005-08-01","6630","6780","6630","6720","415700","6720"
"2005-08-02","6640","6700","6450","6510","796300","6510"
"2005-08-03","6610","6700","6490","6570","845200","6570"
"2005-08-04","6510","6560","6450","6540","261800","6540"
"2005-08-05","6440","6480","6390","6410","363800","6410"
"2005-08-08","6380","6410","6300","6400","238400","6400"
"2005-08-09","6390","6580","6390","6530","404200","6530"
"2005-08-10","6610","6690","6590","6680","367400","6680"
"2005-08-11","6700","6740","6660","6730","479200","6730"
"2005-08-12","6780","6840","6740","6810","495700","6810"
"2005-08-15","7710","7810","7280","7380","4313400","7380"
"2005-08-16","7410","7700","7340","7590","1817100","7590"
"2005-08-17","7600","7860","7590","7770","1874700","7770"
"2005-08-18","7780","8000","7780","7920","2164100","7920"
"2005-08-19","7820","7860","7690","7760","3046800","7760"
"2005-08-22","7770","7960","7760","7960","1503200","7960"
"2005-08-23","7970","8180","7970","8150","2453900","8150"
"2005-08-24","8120","8200","8020","8200","3177300","8200"
"2005-08-25","8350","9000","8330","9000","19203000","9000"
"2005-08-26","8440","8470","8070","8180","5544800","8180"
"2005-08-29","8080","8150","8060","8140","1402200","8140"
"2005-08-30","8290","8540","8240","8320","1230800","8320"
"2005-08-31","8370","8520","8300","8430","809100","8430"
"2005-09-01","8400","8730","8350","8610","1155200","8610"
"2005-09-02","8620","8860","8620","8790","1165600","8790"
"2005-09-05","8800","8810","8610","8610","827300","8610"
"2005-09-06","8660","8780","8480","8490","634200","8490"
"2005-09-07","8490","8610","8370","8440","1155100","8440"
"2005-09-08","8340","8360","8230","8300","1113100","8300"
"2005-09-09","8200","8250","8130","8210","3476900","8210"
"2005-09-12","8420","8450","8220","8360","657000","8360"
"2005-09-13","8370","8430","8300","8380","515700","8380"
"2005-09-14","8390","8420","8310","8340","370400","8340"
"2005-09-15","8300","8690","8270","8610","819000","8610"
"2005-09-16","8610","8700","8390","8470","509500","8470"
"2005-09-20","8390","8640","8390","8570","458200","8570"
"2005-09-21","8660","8720","8510","8600","562800","8600"
"2005-09-22","8680","8750","8550","8630","410000","8630"
"2005-09-26","8790","8920","8770","8900","483100","8900"
"2005-09-27","8800","8900","8610","8830","598000","8830"
"2005-09-28","8730","8800","8660","8700","491100","8700"
"2005-09-29","8690","8790","8550","8650","671300","8650"
"2005-09-30","8700","8700","8440","8610","630900","8610"
"2005-10-03","8510","8680","8460","8460","462200","8460"
"2005-10-04","8510","8550","8350","8450","676000","8450"
"2005-10-05","8550","8600","8420","8460","653400","8460"
"2005-10-06","8470","8470","8180","8250","592900","8250"
"2005-10-07","8150","8280","8120","8120","658400","8120"
"2005-10-11","8130","8400","8040","8400","689500","8400"
"2005-10-12","8260","8370","8130","8190","683300","8190"
"2005-10-13","8220","8450","8100","8310","646500","8310"
"2005-10-14","8510","8510","8110","8210","1722400","8210"
"2005-10-17","8310","8310","8130","8270","528500","8270"
"2005-10-18","8170","8230","8010","8100","585600","8100"
"2005-10-19","8010","8070","7840","7850","562500","7850"
"2005-10-20","7890","8070","7870","7910","547700","7910"
"2005-10-21","7810","7910","7680","7750","891800","7750"
"2005-10-24","7850","8030","7790","7940","452800","7940"
"2005-10-25","8100","8190","8050","8180","516800","8180"
"2005-10-26","8250","8280","8150","8200","417900","8200"
"2005-10-27","8280","8280","8120","8220","398700","8220"
"2005-10-28","8050","8150","7870","7900","963800","7900"
"2005-10-31","7940","8150","7850","8140","521700","8140"
"2005-11-01","8210","8290","8160","8290","245400","8290"
"2005-11-02","8350","8350","8070","8190","368300","8190"
"2005-11-04","8200","8210","7980","8080","905100","8080"
"2005-11-07","7980","8030","7910","8020","484500","8020"
"2005-11-08","7920","7990","7880","7920","434900","7920"
"2005-11-09","7910","8020","7850","7970","419200","7970"
"2005-11-10","7890","7960","7880","7910","429100","7910"
"2005-11-11","7990","8280","7830","8130","1111600","8130"
"2005-11-14","8060","8170","8030","8110","343900","8110"
"2005-11-15","8090","8160","8010","8060","379200","8060"
"2005-11-16","7960","8020","7900","7940","376400","7940"
"2005-11-17","7950","8080","7890","7990","333600","7990"
"2005-11-18","8090","8120","8040","8120","416100","8120"
"2005-11-21","8150","8210","8060","8130","685200","8130"
"2005-11-22","8240","8370","8150","8300","1077800","8300"
"2005-11-24","8450","8450","8040","8090","716300","8090"
"2005-11-25","8100","8390","8090","8390","629800","8390"
"2005-11-28","8490","8500","8250","8380","746700","8380"
"2005-11-29","8310","8330","8230","8280","439000","8280"
"2005-11-30","8370","8570","8260","8490","601800","8490"
"2005-12-01","8590","8590","8380","8590","640900","8590"
"2005-12-02","8720","9590","8670","9360","2096100","9360"
"2005-12-05","9960","10360","9900","10360","2123600","10360"
"2005-12-06","10560","11390","10230","10490","1788500","10490"
"2005-12-07","10490","10500","10100","10350","508100","10350"
"2005-12-08","10370","10730","9950","10100","701100","10100"
"2005-12-09","9900","10350","9900","10130","3521900","10130"
"2005-12-12","10290","10820","10180","10800","688200","10800"
"2005-12-13","10600","10800","10470","10680","545000","10680"
"2005-12-14","10850","10880","10160","10170","765300","10170"
"2005-12-15","10010","10660","9910","10260","790300","10260"
"2005-12-16","10060","10330","9960","10070","726500","10070"
"2005-12-19","10270","10300","10040","10150","504600","10150"
"2005-12-20","10220","10770","10200","10710","756300","10710"
"2005-12-21","10720","10990","10610","10900","625900","10900"
"2005-12-22","10910","11240","10830","11090","780700","11090"
"2005-12-26","11470","12250","11400","12150","695500","12150"
"2005-12-27","12080","12140","11830","11850","460600","11850"
"2005-12-28","11690","12220","11600","12210","458600","12210"
"2005-12-29","12140","12480","11990","12020","661100","12020"
"2005-12-30","12220","12230","11530","11530","414800","11530"
