9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","42000","42200","40450","40650","857100","40650"
"2016-01-05","40360","41230","40110","40430","817500","40430"
"2016-01-06","40320","41070","39850","40170","808800","40170"
"2016-01-07","40000","40500","39010","39050","795900","39050"
"2016-01-08","36700","38580","36180","38140","2502700","38140"
"2016-01-12","37210","38050","37130","37630","1074300","37630"
"2016-01-13","37840","38720","37740","38690","805500","38690"
"2016-01-14","37290","37800","36850","37640","863300","37640"
"2016-01-15","38120","38490","36810","37000","786100","37000"
"2016-01-18","36370","36980","35730","36730","795800","36730"
"2016-01-19","36610","37320","36410","37220","739800","37220"
"2016-01-20","37470","37480","35380","35650","1254300","35650"
"2016-01-21","35810","36060","34540","34610","1321500","34610"
"2016-01-22","35700","37710","35620","37420","1418900","37420"
"2016-01-25","37650","38190","36790","37870","974800","37870"
"2016-01-26","37000","37120","36750","36990","814700","36990"
"2016-01-27","37290","38270","37170","37610","771700","37610"
"2016-01-28","37090","37730","36930","37120","767900","37120"
"2016-01-29","37320","39890","36660","38430","1626100","38430"
"2016-02-01","38610","38710","37320","37670","884000","37670"
"2016-02-02","37370","37570","37030","37240","600100","37240"
"2016-02-03","37470","37880","36250","36620","1060500","36620"
"2016-02-04","36500","36660","35270","35400","1106300","35400"
"2016-02-05","34750","35070","34080","34590","957900","34590"
"2016-02-08","34030","35330","33710","35070","835400","35070"
"2016-02-09","33590","34050","32710","32870","1000500","32870"
"2016-02-10","33100","33300","31820","32520","1002100","32520"
"2016-02-12","31870","32770","31060","32390","2255200","32390"
"2016-02-15","33130","33490","32520","33220","1016700","33220"
"2016-02-16","32710","33530","32210","32810","980300","32810"
"2016-02-17","32690","32820","30720","31240","1105600","31240"
"2016-02-18","32500","32520","31340","31960","1016000","31960"
"2016-02-19","31610","31780","31040","31500","751100","31500"
"2016-02-22","31130","32240","31130","31760","693500","31760"
"2016-02-23","32000","32560","31630","31960","577700","31960"
"2016-02-24","31700","31800","31170","31320","580000","31320"
"2016-02-25","31190","31420","30760","31230","619000","31230"
"2016-02-26","31770","32420","31540","31540","702100","31540"
"2016-02-29","31520","31990","31280","31340","658800","31340"
"2016-03-01","31390","31620","30910","31310","757700","31310"
"2016-03-02","32000","33530","31970","33330","1110600","33330"
"2016-03-03","33330","34660","33080","34530","1056000","34530"
"2016-03-04","34630","34700","34210","34410","537400","34410"
"2016-03-07","34810","34810","34400","34490","645500","34490"
"2016-03-08","34690","34710","33940","34420","809900","34420"
"2016-03-09","33900","34150","33610","33690","652900","33690"
"2016-03-10","34200","34230","33840","34030","444900","34030"
"2016-03-11","33400","34850","33350","34590","1626200","34590"
"2016-03-14","35400","36390","35400","36390","824300","36390"
"2016-03-15","36680","36950","36180","36270","747000","36270"
