9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2006-01-04","11660","11850","11410","11610","420700","11610"
"2006-01-05","11460","11750","11250","11400","775400","11400"
"2006-01-06","11380","11390","10910","11000","1102600","11000"
"2006-01-10","10810","10970","10460","10460","1111600","10460"
"2006-01-11","10670","11170","10530","11170","1176000","11170"
"2006-01-12","11160","11280","10730","10910","1116400","10910"
"2006-01-13","11080","11080","10530","10870","1377700","10870"
"2006-01-16","10790","10940","10670","10740","478700","10740"
"2006-01-17","10540","10700","10070","10080","762300","10080"
"2006-01-18","10150","10290","9360","9860","1167400","9860"
"2006-01-19","9960","10260","9900","10050","597800","10050"
"2006-01-20","10050","10100","9470","9630","822400","9630"
"2006-01-23","9530","9580","9190","9450","628400","9450"
"2006-01-24","9350","10080","9310","9970","669900","9970"
"2006-01-25","10070","10080","9810","9830","477100","9830"
"2006-01-26","10050","10340","9850","10300","624900","10300"
"2006-01-27","10700","10830","10450","10830","702100","10830"
"2006-01-30","11000","11340","10640","10700","585000","10700"
"2006-01-31","11100","11100","10530","10610","456100","10610"
"2006-02-01","10420","10600","10210","10220","436500","10220"
"2006-02-02","10220","10630","10120","10570","684700","10570"
"2006-02-03","10170","10450","10170","10400","522000","10400"
"2006-02-06","10700","10910","10430","10860","575100","10860"
"2006-02-07","10710","10780","10580","10720","251700","10720"
"2006-02-08","10610","10850","10290","10290","580000","10290"
"2006-02-09","10400","10430","10210","10290","369200","10290"
"2006-02-10","10390","10390","10120","10150","950800","10150"
"2006-02-13","10350","10660","10050","10350","591600","10350"
"2006-02-14","10280","10590","10110","10590","755400","10590"
"2006-02-15","10690","10830","10240","10260","534800","10260"
"2006-02-16","10400","10590","10210","10510","434600","10510"
"2006-02-17","10600","10760","10010","10010","791500","10010"
"2006-02-20","9810","10190","9620","9740","1006600","9740"
"2006-02-21","10040","10560","9970","10560","694900","10560"
"2006-02-22","10360","10510","10050","10170","524100","10170"
"2006-02-23","10310","10480","10120","10480","452100","10480"
"2006-02-24","10290","10500","10290","10440","202100","10440"
"2006-02-27","10450","10730","10110","10110","521300","10110"
"2006-02-28","10200","10280","9950","10160","514000","10160"
"2006-03-01","9960","10100","9960","10060","348000","10060"
"2006-03-02","10060","10130","9900","9960","267000","9960"
"2006-03-03","9950","10230","9950","9950","348300","9950"
"2006-03-06","10000","10060","9850","10020","473300","10020"
"2006-03-07","10100","10100","9800","9890","302000","9890"
"2006-03-08","9830","10020","9770","9940","419200","9940"
"2006-03-09","9920","10490","9910","10450","737600","10450"
"2006-03-10","10470","10950","10450","10820","2206000","10820"
"2006-03-13","10820","10920","10680","10770","260100","10770"
"2006-03-14","10740","10840","10550","10570","276500","10570"
"2006-03-15","10770","10920","10690","10890","248900","10890"
"2006-03-16","10890","10920","10510","10650","205100","10650"
"2006-03-17","10850","11020","10650","10990","427500","10990"
"2006-03-20","10800","11450","10800","11320","663400","11320"
"2006-03-22","11150","11320","11020","11050","360500","11050"
"2006-03-23","11190","11350","11080","11130","316800","11130"
"2006-03-24","11300","11460","11080","11230","317700","11230"
"2006-03-27","11220","11530","11220","11360","349600","11360"
"2006-03-28","11160","11350","11010","11170","322700","11170"
"2006-03-29","11060","11430","10880","11370","430200","11370"
"2006-03-30","11380","11550","11240","11510","408000","11510"
"2006-03-31","11510","11540","11360","11510","215200","11510"
"2006-04-03","11550","11950","11440","11920","393400","11920"
"2006-04-04","11720","12090","11720","11890","524100","11890"
"2006-04-05","11900","12080","11760","11840","420000","11840"
"2006-04-06","11990","12000","11730","11810","408800","11810"
"2006-04-07","11730","11870","11360","11530","409600","11530"
"2006-04-10","11330","11580","11310","11460","432700","11460"
"2006-04-11","11620","11720","11520","11580","520500","11580"
"2006-04-12","11490","11560","11290","11450","331600","11450"
"2006-04-13","11350","11530","11310","11350","395700","11350"
"2006-04-14","11550","11650","11270","11490","1056000","11490"
"2006-04-17","11610","11790","11500","11520","464200","11520"
"2006-04-18","11720","12000","11450","11910","711000","11910"
"2006-04-19","12000","12000","11860","11880","425900","11880"
"2006-04-20","12000","12200","11760","11890","511000","11890"
"2006-04-21","11750","11990","11600","11670","303400","11670"
"2006-04-24","11320","11350","10950","11050","662400","11050"
"2006-04-25","11250","11530","11100","11480","445200","11480"
"2006-04-26","11280","11430","11180","11300","406300","11300"
"2006-04-27","11100","11250","10880","11020","644800","11020"
"2006-04-28","11000","11050","10630","10820","623400","10820"
"2006-05-01","10830","10930","10620","10650","261800","10650"
"2006-05-02","10580","10970","10580","10910","274700","10910"
"2006-05-08","10780","10940","10630","10810","478600","10810"
"2006-05-09","10800","10910","10640","10650","367800","10650"
"2006-05-10","10820","10880","10450","10590","468700","10590"
"2006-05-11","10690","10850","10520","10730","468000","10730"
"2006-05-12","10430","10530","10180","10310","660900","10310"
"2006-05-15","10110","10300","10030","10210","469700","10210"
"2006-05-16","10180","10410","10110","10170","422500","10170"
"2006-05-17","10250","10330","9960","10210","406200","10210"
"2006-05-18","9940","10100","9850","9980","560600","9980"
"2006-05-19","9980","10240","9920","10110","319900","10110"
"2006-05-22","10120","10200","9750","9850","377100","9850"
"2006-05-23","9950","10010","9640","9850","618300","9850"
"2006-05-24","9650","10030","9600","9990","616400","9990"
"2006-05-25","9890","10200","9890","10080","571100","10080"
"2006-05-26","10280","10300","10080","10280","422500","10280"
"2006-05-29","10480","10480","10140","10240","362700","10240"
"2006-05-30","10250","10270","10050","10070","347500","10070"
"2006-05-31","10000","10000","9660","9790","548200","9790"
"2006-06-01","9790","9840","9530","9660","464300","9660"
"2006-06-02","9850","10000","9600","9920","443300","9920"
"2006-06-05","9920","10230","9920","10010","366800","10010"
"2006-06-06","9750","9800","9610","9700","451800","9700"
"2006-06-07","9600","9910","9580","9700","421600","9700"
"2006-06-08","9800","9970","9440","9530","891100","9530"
"2006-06-09","9330","9600","9240","9440","2868100","9440"
"2006-06-12","9380","9580","9340","9500","368500","9500"
"2006-06-13","9530","9530","9110","9110","433400","9110"
"2006-06-14","9010","9280","8830","9110","843000","9110"
"2006-06-15","9050","9490","9050","9250","640700","9250"
"2006-06-16","9350","9490","9200","9220","701200","9220"
"2006-06-19","9120","9380","9100","9300","444600","9300"
"2006-06-20","9400","9400","9120","9130","285300","9130"
"2006-06-21","9330","9330","9140","9270","375600","9270"
"2006-06-22","9370","9690","9360","9630","443000","9630"
"2006-06-23","9500","9710","9460","9680","395600","9680"
"2006-06-26","9580","9760","9470","9660","257200","9660"
"2006-06-27","9560","9710","9540","9660","261800","9660"
"2006-06-28","9460","9570","9360","9410","534300","9410"
"2006-06-29","9260","9400","9170","9260","805500","9260"
"2006-06-30","9360","9410","9280","9350","533700","9350"
"2006-07-03","9460","9560","9360","9560","396400","9560"
"2006-07-04","9510","9650","9470","9540","373200","9540"
"2006-07-05","9410","9560","9410","9490","260700","9490"
"2006-07-06","9490","9490","9250","9300","312900","9300"
"2006-07-07","9300","9480","9270","9320","317600","9320"
"2006-07-10","9220","9620","9210","9600","539600","9600"
"2006-07-11","9740","9860","9390","9520","509800","9520"
"2006-07-12","9510","9600","9300","9300","438100","9300"
"2006-07-13","9270","9640","9210","9270","479300","9270"
"2006-07-14","9170","9560","9070","9370","1109000","9370"
"2006-07-18","9250","9270","8900","8900","673500","8900"
"2006-07-19","9010","9150","8950","9050","407900","9050"
"2006-07-20","9150","9190","8980","9130","621000","9130"
"2006-07-21","9030","9040","8930","9000","372500","9000"
"2006-07-24","8850","8970","8680","8850","531800","8850"
"2006-07-25","8950","9020","8850","8870","320400","8870"
"2006-07-26","9050","9070","8860","8900","268200","8900"
"2006-07-27","8860","9100","8730","8990","552200","8990"
"2006-07-28","8890","9190","8820","9190","429500","9190"
"2006-07-31","9400","9400","9270","9330","508300","9330"
"2006-08-01","9230","9340","9140","9310","327200","9310"
"2006-08-02","9210","9450","9210","9400","406400","9400"
"2006-08-03","9500","9650","9420","9530","301800","9530"
"2006-08-04","9680","9720","9580","9620","304500","9620"
"2006-08-07","9680","9720","9360","9380","345700","9380"
"2006-08-08","9480","9650","9350","9630","451900","9630"
"2006-08-09","9700","10100","9700","10040","687900","10040"
"2006-08-10","10040","10300","9870","10050","313000","10050"
"2006-08-11","10050","10070","9860","9860","807800","9860"
"2006-08-14","10060","10380","9940","10320","454300","10320"
"2006-08-15","10360","10370","10160","10200","397400","10200"
"2006-08-16","10430","10460","10280","10360","347900","10360"
"2006-08-17","10400","10620","10330","10350","454700","10350"
"2006-08-18","10250","10470","10250","10320","255500","10320"
"2006-08-21","10130","10400","10070","10140","424000","10140"
"2006-08-22","10300","10550","10160","10450","434000","10450"
"2006-08-23","10250","10420","10250","10380","359900","10380"
"2006-08-24","10210","10330","10140","10190","281800","10190"
"2006-08-25","10240","10530","10130","10300","323500","10300"
"2006-08-28","10620","10710","10390","10490","661800","10490"
"2006-08-29","10640","10720","10520","10600","465500","10600"
"2006-08-30","10600","11000","10580","10750","559000","10750"
"2006-08-31","10740","11090","10740","10950","526800","10950"
"2006-09-01","10900","10960","10770","10820","230400","10820"
