9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2001-01-04","22500","22540","21260","21800","135600","10900"
"2001-01-05","21700","22800","21410","22200","266900","11100"
"2001-01-09","20400","21090","19200","19600","386900","9800"
"2001-01-10","18200","18670","17610","18330","525400","9165"
"2001-01-11","18530","19390","18470","18920","241000","9460"
"2001-01-12","19520","20000","19500","19900","258700","9950"
"2001-01-15","19900","20600","19770","20500","389400","10250"
"2001-01-16","20500","20720","20380","20690","188200","10345"
"2001-01-17","20720","21300","20720","21110","164600","10555"
"2001-01-18","21990","21990","21200","21280","173400","10640"
"2001-01-19","22200","23700","21400","22300","223200","11150"
"2001-01-22","22600","22790","22300","22780","109100","11390"
"2001-01-23","22700","23000","22670","22950","100500","11475"
"2001-01-24","22950","23140","22770","22770","95800","11385"
"2001-01-25","22400","22400","21440","21500","83900","10750"
"2001-01-26","21200","21300","18800","19450","265300","9725"
"2001-01-29","18650","19900","18650","18900","269600","9450"
"2001-01-30","19700","20080","19500","20030","148300","10015"
"2001-01-31","20300","20300","19690","19990","173200","9995"
"2001-02-01","19590","20810","19520","20810","118600","10405"
"2001-02-02","21110","21950","21110","21900","106400","10950"
"2001-02-05","22090","22090","21570","21690","114400","10845"
"2001-02-06","20820","21080","20130","20390","129300","10195"
"2001-02-07","20390","20390","19240","19740","123600","9870"
"2001-02-08","19500","20250","19500","19920","142700","9960"
"2001-02-09","19720","19900","19350","19450","139100","9725"
"2001-02-13","19650","19810","18900","18900","154800","9450"
"2001-02-14","18300","18500","17630","17890","225300","8945"
"2001-02-15","18500","18890","18400","18500","192600","9250"
"2001-02-16","18600","18700","17690","18000","102300","9000"
"2001-02-19","17600","17600","17000","17310","147500","8655"
"2001-02-20","17500","18360","17480","17850","132100","8925"
"2001-02-21","18400","19590","18310","18900","279100","9450"
"2001-02-22","19700","19700","19300","19530","209700","9765"
"2001-02-23","19480","19900","19330","19650","190800","9825"
"2001-02-26","20350","20350","20000","20250","135200","10125"
"2001-02-27","19750","19950","18820","19000","59000","9500"
"2001-02-28","18400","18890","18340","18890","78200","9445"
"2001-03-01","18990","19800","18200","19550","105300","9775"
"2001-03-02","19150","19150","18620","19050","123500","9525"
"2001-03-05","18450","18450","17450","17700","185100","8850"
"2001-03-06","17700","17800","17100","17800","186700","8900"
"2001-03-07","18800","19300","18600","19000","260600","9500"
"2001-03-08","19450","19500","18380","18900","201300","9450"
"2001-03-09","18500","18700","18290","18500","253900","9250"
"2001-03-12","17900","18150","17700","18000","133600","9000"
"2001-03-13","17400","17840","17110","17840","67700","8920"
"2001-03-14","18000","18700","18000","18070","75800","9035"
"2001-03-15","17700","18700","17540","18700","75400","9350"
"2001-03-16","18900","19350","18300","18860","80600","9430"
"2001-03-19","18860","18860","18040","18100","68000","9050"
"2001-03-21","18800","19200","18700","19200","131600","9600"
"2001-03-22","19370","21200","19200","21200","320800","10600"
"2001-03-23","21010","22500","21010","21800","266500","10900"
"2001-03-26","22500","22500","21200","21810","131100","10905"
"2001-03-27","21300","21810","20910","21300","97400","10650"
"2001-03-28","21410","21410","20600","20600","58900","10300"
"2001-03-29","20400","20900","20200","20460","136500","10230"
"2001-03-30","20470","21700","20400","20800","168800","10400"
"2001-04-02","20200","20300","19500","19840","96700","9920"
"2001-04-03","19000","20900","19000","20000","212800","10000"
"2001-04-04","20200","22390","20200","21400","192400","10700"
"2001-04-05","23500","23810","23410","23620","413300","11810"
"2001-04-06","24300","24300","22510","23290","131000","11645"
"2001-04-09","23000","23500","22900","23500","97000","11750"
"2001-04-10","23000","23000","22400","22400","75000","11200"
"2001-04-11","23000","23500","22840","23470","144300","11735"
"2001-04-12","24070","24090","23210","23940","110300","11970"
"2001-04-13","24000","24000","23510","23710","107900","11855"
"2001-04-16","23110","23400","22900","23250","42000","11625"
"2001-04-17","23500","24300","23310","23500","158500","11750"
"2001-04-18","24100","24500","24000","24450","194700","12225"
"2001-04-19","26550","27450","25100","25900","471000","12950"
"2001-04-20","25900","26000","24620","24920","98600","12460"
"2001-04-23","25220","26500","25200","25710","103300","12855"
"2001-04-24","25710","25710","25200","25600","42900","12800"
"2001-04-25","25710","26190","25600","25820","103600","12910"
"2001-04-26","26250","26400","25820","26000","96600","13000"
"2001-04-27","26500","26900","26280","26670","186300","13335"
"2001-05-01","27270","27800","27020","27750","261600","13875"
"2001-05-02","27950","27950","27400","27500","226800","13750"
"2001-05-07","27700","27700","26800","27000","164200","13500"
"2001-05-08","26100","26300","25450","26000","198400","13000"
"2001-05-09","24200","24860","24110","24690","240000","12345"
"2001-05-10","24800","25400","24690","25040","169700","12520"
"2001-05-11","25000","25000","24200","24510","90500","12255"
"2001-05-14","25000","25100","24800","25000","92300","12500"
"2001-05-15","25000","25400","24900","25340","108500","12670"
"2001-05-16","24980","24980","24560","24800","65400","12400"
"2001-05-17","25000","25000","24500","25000","93800","12500"
"2001-05-18","25000","25090","24800","24800","150400","12400"
"2001-05-21","24500","24500","23750","24270","155200","12135"
"2001-05-22","24970","25000","24200","24200","88500","12100"
"2001-05-23","24000","24200","23600","23620","130800","11810"
"2001-05-24","23020","23730","22900","23550","87600","11775"
"2001-05-25","23250","23600","23210","23400","82800","11700"
"2001-05-28","22800","23200","22710","23200","64900","11600"
"2001-05-29","23500","24100","23480","24000","108400","12000"
"2001-05-30","24000","24000","23700","23750","86100","11875"
"2001-05-31","23200","23400","23010","23140","97700","11570"
"2001-06-01","23100","23700","23000","23700","90600","11850"
"2001-06-04","24000","24000","23620","23770","59700","11885"
"2001-06-05","20770","20770","20770","20770","34500","10385"
"2001-06-06","21000","21800","20200","21100","439600","10550"
"2001-06-07","21900","22000","21150","21700","159900","10850"
"2001-06-08","22000","22000","21100","21200","269000","10600"
"2001-06-11","21000","21440","20820","20950","120700","10475"
"2001-06-12","21000","21000","19900","20000","222100","10000"
"2001-06-13","20050","21000","20000","20200","151100","10100"
"2001-06-14","20220","20400","19950","20140","255700","10070"
"2001-06-15","20150","21700","19650","21700","148800","10850"
"2001-06-18","20620","20620","19800","20000","95500","10000"
"2001-06-19","20750","20750","19900","19910","70700","9955"
"2001-06-20","20000","20300","20000","20200","66200","10100"
"2001-06-21","21000","21200","20480","20940","97700","10470"
"2001-06-22","21200","21400","20500","20970","130400","10485"
"2001-06-25","21400","21500","21000","21000","107500","10500"
"2001-06-26","21030","21450","20980","21050","74600","10525"
"2001-06-27","20750","21500","20650","21490","62300","10745"
"2001-06-28","22090","22090","21350","21480","118700","10740"
"2001-06-29","22000","22000","21180","21700","125800","10850"
"2001-07-02","21400","21550","20990","21210","120300","10605"
"2001-07-03","21900","21990","21410","21650","215600","10825"
"2001-07-04","21000","21290","20700","20850","189300","10425"
"2001-07-05","20700","20950","20300","20800","128900","10400"
"2001-07-06","21000","21250","20570","21240","121400","10620"
"2001-07-09","21660","21690","21000","21340","109100","10670"
"2001-07-10","21500","21840","21150","21840","110900","10920"
"2001-07-11","22000","22500","21850","22380","165400","11190"
"2001-07-12","22680","23320","22410","23300","197500","11650"
"2001-07-13","23600","23780","22890","23700","199800","11850"
"2001-07-16","23000","23400","22510","22880","103300","11440"
"2001-07-17","23000","23300","22330","22360","71400","11180"
"2001-07-18","22960","22960","21940","21950","54400","10975"
"2001-07-19","21930","21930","21360","21460","88400","10730"
"2001-07-23","21460","21460","20120","20700","136100","10350"
"2001-07-24","20100","20300","20010","20070","156100","10035"
"2001-07-25","20370","20500","20250","20400","73600","10200"
"2001-07-26","20400","20990","20300","20560","81500","10280"
"2001-07-27","21160","21980","20900","21800","154000","10900"
