9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2009-01-05","13610","13760","13200","13290","389300","13290"
"2009-01-06","13570","13870","13050","13080","886300","13080"
"2009-01-07","13100","13190","12110","12260","1185900","12260"
"2009-01-08","12270","12720","12240","12240","744800","12240"
"2009-01-09","12440","12920","12290","12670","1245600","12670"
"2009-01-13","12950","13070","12650","12650","1030800","12650"
"2009-01-14","12510","12610","12100","12270","726400","12270"
"2009-01-15","11470","11700","11150","11160","1700000","11160"
"2009-01-16","11360","11620","11080","11370","1269500","11370"
"2009-01-19","11670","11670","11320","11560","638600","11560"
"2009-01-20","11500","11540","11080","11190","874700","11190"
"2009-01-21","10590","11360","10590","10940","1568400","10940"
"2009-01-22","11140","11760","10920","11760","1138000","11760"
"2009-01-23","11410","11490","10980","10980","760000","10980"
"2009-01-26","10980","11490","10890","11100","892700","11100"
"2009-01-27","11320","11400","11040","11400","1006500","11400"
"2009-01-28","11400","11450","11060","11270","778200","11270"
"2009-01-29","11400","11500","11000","11290","1475100","11290"
"2009-01-30","11400","11580","11030","11540","867100","11540"
"2009-02-02","11590","11600","11260","11450","915400","11450"
"2009-02-03","11260","11350","11010","11020","886300","11020"
"2009-02-04","11200","11270","10940","11170","934200","11170"
"2009-02-05","11100","11210","10860","10860","925900","10860"
"2009-02-06","11150","11540","11080","11300","843800","11300"
"2009-02-09","11690","11700","11150","11150","912500","11150"
"2009-02-10","11510","11580","11290","11460","651500","11460"
"2009-02-12","11300","11420","10900","10900","919000","10900"
"2009-02-13","11130","11450","11030","11130","1072900","11130"
"2009-02-16","10940","11140","10650","10650","900800","10650"
"2009-02-17","10450","10630","10390","10480","642400","10480"
"2009-02-18","10150","10250","9980","10040","941800","10040"
"2009-02-19","10440","10440","10130","10180","761100","10180"
"2009-02-20","9980","10220","9850","9860","880700","9860"
"2009-02-23","9660","9910","9480","9760","770300","9760"
"2009-02-24","9520","9550","9220","9300","915900","9300"
"2009-02-25","9500","9550","9080","9360","837400","9360"
"2009-02-26","9460","9990","9350","9860","1236500","9860"
"2009-02-27","9960","10130","9740","9950","721800","9950"
"2009-03-02","9560","9650","9350","9360","870000","9360"
"2009-03-03","9250","9640","9130","9380","888400","9380"
"2009-03-04","9680","9750","9480","9520","1377900","9520"
"2009-03-05","9550","9790","9410","9570","901700","9570"
"2009-03-06","9170","9270","8910","8910","1121200","8910"
"2009-03-09","9210","9220","8870","8990","799500","8990"
"2009-03-10","8900","9180","8900","9130","602200","9130"
"2009-03-11","9430","9740","9400","9740","998000","9740"
"2009-03-12","9680","9880","9490","9490","805300","9490"
"2009-03-13","10000","10120","9890","9970","2870600","9970"
"2009-03-16","10050","10210","10020","10150","591100","10150"
"2009-03-17","10350","11030","10220","11020","1012800","11020"
"2009-03-18","11220","11400","10690","10870","673200","10870"
"2009-03-19","10880","11000","10600","10660","641800","10660"
