9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2008-01-04","7550","7810","7550","7810","401400","7810"
"2008-01-07","7820","8170","7680","8050","902300","8050"
"2008-01-08","7970","8040","7730","7790","839600","7790"
"2008-01-09","7590","7810","7480","7580","904100","7580"
"2008-01-10","7680","7950","7670","7800","704600","7800"
"2008-01-11","7720","8150","7470","7650","1926000","7650"
"2008-01-15","8000","8420","7970","8320","1772600","8320"
"2008-01-16","8200","8490","8130","8190","1612100","8190"
"2008-01-17","8490","8710","8370","8570","1580200","8570"
"2008-01-18","8370","8450","8130","8340","1354500","8340"
"2008-01-21","8140","8310","8030","8110","779500","8110"
"2008-01-22","7610","7880","7570","7760","1333500","7760"
"2008-01-23","8350","8350","7740","7890","1283100","7890"
"2008-01-24","8090","8330","7960","8260","1434500","8260"
"2008-01-25","8340","8340","8020","8200","854000","8200"
"2008-01-28","8070","8130","7860","7860","1275900","7860"
"2008-01-29","7900","8290","7900","8220","949800","8220"
"2008-01-30","8210","8210","7890","7920","1127300","7920"
"2008-01-31","7720","7980","7560","7870","1134100","7870"
"2008-02-01","7590","7690","7470","7500","1101900","7500"
"2008-02-04","7550","7690","7440","7590","806400","7590"
"2008-02-05","7590","7900","7550","7830","846400","7830"
"2008-02-06","7630","7900","7550","7690","1131400","7690"
"2008-02-07","7590","7890","7590","7810","824300","7810"
"2008-02-08","7710","8020","7690","7810","1542600","7810"
"2008-02-12","7800","7930","7710","7810","530900","7810"
"2008-02-13","8000","8060","7630","7720","646400","7720"
"2008-02-14","8100","8100","7870","8060","614500","8060"
"2008-02-15","7960","8000","7800","7920","459400","7920"
"2008-02-18","7930","8130","7910","8010","522300","8010"
"2008-02-19","8110","8110","7970","8050","374500","8050"
"2008-02-20","8000","8030","7620","7670","659800","7670"
"2008-02-21","7770","7990","7720","7900","508300","7900"
"2008-02-22","7700","7740","7570","7720","769700","7720"
"2008-02-25","7770","8130","7740","8020","1032500","8020"
"2008-02-26","8100","8100","7750","7780","541600","7780"
"2008-02-27","7980","8020","7860","7940","504300","7940"
"2008-02-28","7990","7990","7830","7930","483700","7930"
"2008-02-29","7800","7960","7800","7820","412900","7820"
"2008-03-03","7620","7730","7510","7540","757900","7540"
"2008-03-04","7550","7600","7270","7340","813400","7340"
"2008-03-05","7700","7700","7530","7560","916400","7560"
"2008-03-06","7640","7820","7540","7710","769700","7710"
"2008-03-07","7510","7670","7410","7540","905000","7540"
"2008-03-10","7460","7640","7460","7480","698600","7480"
"2008-03-11","7460","7730","7460","7690","655800","7690"
"2008-03-12","7890","7890","7640","7690","1045400","7690"
"2008-03-13","7680","7750","7360","7480","1037500","7480"
"2008-03-14","7580","7830","7490","7500","4468000","7500"
"2008-03-17","7500","7640","7280","7350","984200","7350"
"2008-03-18","7440","7770","7430","7760","1049800","7760"
"2008-03-19","7990","7990","7770","7850","712400","7850"
"2008-03-21","8000","8060","7890","7980","586400","7980"
"2008-03-24","7880","8080","7870","7970","530000","7970"
"2008-03-25","8070","8180","7970","8160","758200","8160"
"2008-03-26","8140","8260","8060","8220","614000","8220"
"2008-03-27","8280","8430","8240","8410","849500","8410"
"2008-03-28","8550","8740","8540","8660","1286600","8660"
"2008-03-31","8610","8940","8590","8790","1298200","8790"
"2008-04-01","8690","9100","8640","8970","1112900","8970"
"2008-04-02","9270","9290","9140","9230","1212700","9230"
"2008-04-03","9230","9600","9220","9600","1218400","9600"
"2008-04-04","9400","9640","9400","9570","1090600","9570"
"2008-04-07","9470","9630","9370","9440","692000","9440"
"2008-04-08","9500","9500","9240","9250","661200","9250"
"2008-04-09","9350","9450","9270","9440","1081000","9440"
"2008-04-10","9450","9790","9370","9600","1387800","9600"
"2008-04-11","9900","10200","9730","10100","2979000","10100"
"2008-04-14","9890","10070","9750","10050","910800","10050"
"2008-04-15","9850","10080","9800","9910","842000","9910"
"2008-04-16","10010","10030","9860","9930","558800","9930"
"2008-04-17","10100","10110","9900","9980","748000","9980"
"2008-04-18","10030","10140","9910","9980","528300","9980"
"2008-04-21","10200","10200","9720","9740","619700","9740"
"2008-04-22","9750","10020","9680","9990","1116200","9990"
"2008-04-23","9900","10000","9760","9880","1228000","9880"
"2008-04-24","9890","9940","9730","9800","736200","9800"
"2008-04-25","9780","10040","9750","9940","734900","9940"
"2008-04-28","9950","9950","9410","9610","877800","9610"
"2008-04-30","9630","9750","9510","9680","616200","9680"
"2008-05-01","9650","9770","9490","9570","460000","9570"
"2008-05-02","9790","9790","9440","9450","658800","9450"
"2008-05-07","9350","9370","9190","9290","683500","9290"
"2008-05-08","9300","9300","9090","9210","626100","9210"
"2008-05-09","9220","9480","9080","9340","1487600","9340"
"2008-05-12","9240","9640","9240","9580","786100","9580"
"2008-05-13","9680","9790","9560","9720","894400","9720"
"2008-05-14","9620","9820","9610","9820","717700","9820"
"2008-05-15","9870","10010","9680","9910","846100","9910"
"2008-05-16","9930","10040","9630","9640","699700","9640"
"2008-05-19","9890","9890","9450","9490","794300","9490"
"2008-05-20","9390","9390","9080","9150","1301600","9150"
"2008-05-21","9130","9190","8840","8910","940400","8910"
"2008-05-22","8810","8970","8740","8940","517500","8940"
"2008-05-23","9040","9200","8940","9120","520000","9120"
"2008-05-26","9100","9100","8770","8890","639300","8890"
"2008-05-27","8900","9130","8900","9070","549000","9070"
"2008-05-28","8930","9070","8850","8930","630700","8930"
"2008-05-29","9010","9310","8960","9310","763300","9310"
"2008-05-30","9410","9430","9120","9120","884600","9120"
"2008-06-02","9220","9230","8970","9080","612400","9080"
"2008-06-03","8880","9000","8810","8860","1051300","8860"
"2008-06-04","9510","9860","9510","9860","1450400","9860"
"2008-06-05","9890","10100","9660","9950","1477000","9950"
"2008-06-06","10480","10550","10280","10420","1263800","10420"
"2008-06-09","10020","10500","9990","10390","924400","10390"
"2008-06-10","10620","10620","10100","10260","611100","10260"
"2008-06-11","10410","10590","10250","10410","712700","10410"
"2008-06-12","10010","10140","9910","9990","869900","9990"
"2008-06-13","10450","10450","9910","10010","4985700","10010"
"2008-06-16","10070","10410","9870","10290","703400","10290"
"2008-06-17","10490","10490","10280","10450","525300","10450"
"2008-06-18","10250","10450","10190","10250","437800","10250"
"2008-06-19","10250","10250","10030","10100","518300","10100"
"2008-06-20","10250","10400","10180","10270","652900","10270"
"2008-06-23","10320","10460","10170","10270","479200","10270"
"2008-06-24","10070","10200","10010","10070","398800","10070"
"2008-06-25","9910","10170","9910","10030","519500","10030"
"2008-06-26","10020","10370","10020","10290","421500","10290"
"2008-06-27","10030","10200","9980","10150","551300","10150"
"2008-06-30","10250","10250","10060","10060","419400","10060"
"2008-07-01","10200","10220","9920","10040","440300","10040"
"2008-07-02","10000","10070","9800","9840","670900","9840"
"2008-07-03","9740","9990","9600","9760","939600","9760"
"2008-07-04","9890","9900","9700","9790","658700","9790"
"2008-07-07","9780","10100","9700","9940","347000","9940"
"2008-07-08","9950","9950","9540","9690","797000","9690"
"2008-07-09","9760","9880","9700","9780","383100","9780"
"2008-07-10","9680","10210","9650","10060","689100","10060"
