9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","45580","46630","45510","46440","997900","46440"
"2018-01-05","46730","47100","46170","46840","731100","46840"
"2018-01-09","47870","47960","47270","47390","734500","47390"
"2018-01-10","47420","47490","46800","46800","464700","46800"
"2018-01-11","46990","47220","46540","46800","525900","46800"
"2018-01-12","48000","50150","47790","49610","2041000","49610"
"2018-01-15","50150","50260","49340","49540","809500","49540"
"2018-01-16","49580","51110","49400","50940","831600","50940"
"2018-01-17","50060","50560","49690","50380","1085800","50380"
"2018-01-18","51200","51580","50310","50550","1268400","50550"
"2018-01-19","50720","50850","50240","50300","608800","50300"
"2018-01-22","50000","50120","49570","49920","465100","49920"
"2018-01-23","50350","50990","49840","50850","736900","50850"
"2018-01-24","50840","51120","50280","50570","527400","50570"
"2018-01-25","49950","50130","49260","49320","677500","49320"
"2018-01-26","49780","50070","49270","49510","686400","49510"
"2018-01-29","49720","50070","49160","49440","586600","49440"
"2018-01-30","49100","49320","48210","48330","741700","48330"
"2018-01-31","48330","49330","48100","48690","796800","48690"
"2018-02-01","49020","49620","48710","49590","508300","49590"
"2018-02-02","48960","49080","48420","48620","646600","48620"
"2018-02-05","46620","47290","46350","46540","1194300","46540"
"2018-02-06","44270","45160","42580","44000","2175200","44000"
"2018-02-07","45350","45510","43240","43380","1485700","43380"
"2018-02-08","43370","43610","42330","43070","1202500","43070"
"2018-02-09","41220","41920","41050","41480","1665700","41480"
"2018-02-13","42000","42140","41010","41020","1009500","41020"
"2018-02-14","41120","41400","40450","40980","1052200","40980"
"2018-02-15","41500","42190","41300","41840","971700","41840"
"2018-02-16","41840","42830","41520","42600","883900","42600"
"2018-02-19","43000","43780","42840","43670","776200","43670"
"2018-02-20","43350","43400","42610","42710","634900","42710"
"2018-02-21","42560","43600","42260","42940","884300","42940"
"2018-02-22","42240","42530","41960","42330","770000","42330"
"2018-02-23","42440","42720","42080","42680","572900","42680"
"2018-02-26","43210","43520","42980","43330","569700","43330"
"2018-02-27","43920","44220","43570","43670","795000","43670"
"2018-02-28","43340","43450","42570","42570","737300","42570"
"2018-03-01","42090","42470","41880","42080","780900","42080"
"2018-03-02","40600","41370","40420","40980","1286200","40980"
"2018-03-05","41350","41960","41170","41870","764100","41870"
"2018-03-06","42830","43220","42550","43100","764900","43100"
"2018-03-07","42690","43090","42220","42470","882000","42470"
"2018-03-08","43040","43220","41980","42170","806100","42170"
"2018-03-09","42540","43640","42240","42400","1587800","42400"
"2018-03-12","43640","43960","42610","43010","778600","43010"
"2018-03-13","42820","43190","42360","43170","523200","43170"
"2018-03-14","42600","42750","41950","42060","639500","42060"
"2018-03-15","42000","42280","41590","42190","518700","42190"
"2018-03-16","42480","42480","41950","42030","496400","42030"
"2018-03-19","41390","41940","41340","41750","622500","41750"
"2018-03-20","41660","41960","41300","41790","611200","41790"
"2018-03-22","41600","42320","41580","42320","642300","42320"
"2018-03-23","40920","41180","39340","39660","1649100","39660"
"2018-03-26","39390","40190","38900","40170","898600","40170"
"2018-03-27","40550","41080","40330","41040","945200","41040"
"2018-03-28","40480","41000","40170","40900","936200","40900"
"2018-03-29","41600","42440","41490","41940","850900","41940"
"2018-03-30","42290","43310","42230","43240","872700","43240"
"2018-04-02","43110","43840","42880","43430","641700","43430"
"2018-04-03","42580","44070","42570","43890","966100","43890"
"2018-04-04","45100","45330","44530","45200","1156400","45200"
"2018-04-05","45880","46560","45560","46500","947100","46500"
"2018-04-06","46400","46770","46020","46270","1018900","46270"
"2018-04-09","46340","46820","46180","46620","651900","46620"
"2018-04-10","46120","46980","45950","46550","723400","46550"
"2018-04-11","46600","46750","45510","45950","699000","45950"
"2018-04-12","46270","46900","46180","46900","594700","46900"
"2018-04-13","48500","48540","46720","46870","1348600","46870"
"2018-04-16","46820","46870","45750","45790","781500","45790"
"2018-04-17","46030","46680","45950","46440","715000","46440"
"2018-04-18","46670","47910","46670","47420","828900","47420"
"2018-04-19","47530","47760","47000","47100","682000","47100"
"2018-04-20","47330","47720","47120","47510","559100","47510"
"2018-04-23","47280","47550","47040","47100","357900","47100"
"2018-04-24","47570","47800","47060","47060","583200","47060"
"2018-04-25","46510","47530","46510","47060","595800","47060"
"2018-04-26","47270","47620","47140","47290","819000","47290"
"2018-04-27","47810","48420","47610","48210","652300","48210"
"2018-05-01","48530","49040","48360","49040","599600","49040"
"2018-05-02","49480","49750","48970","49220","579400","49220"
"2018-05-07","49500","49520","48600","48850","494000","48850"
"2018-05-08","48500","48920","47940","48730","537300","48730"
"2018-05-09","48640","49000","48460","48850","332300","48850"
"2018-05-10","48900","49200","48570","48650","320300","48650"
"2018-05-11","48950","49110","48470","49030","533700","49030"
"2018-05-14","48950","49120","48570","48590","371600","48590"
"2018-05-15","49000","49360","48910","49180","448100","49180"
"2018-05-16","49000","49080","48450","48500","456100","48500"
"2018-05-17","48690","48890","48590","48600","377200","48600"
"2018-05-18","48900","49100","48560","48830","467200","48830"
"2018-05-21","48830","49490","48800","49300","343200","49300"
"2018-05-22","49450","49820","49290","49570","373200","49570"
"2018-05-23","49120","49190","47810","47830","738900","47830"
"2018-05-24","47730","47960","46880","47320","559800","47320"
"2018-05-25","47300","47890","46730","47730","446100","47730"
"2018-05-28","47910","48330","47720","48330","345900","48330"
"2018-05-29","48460","48470","47540","47920","421300","47920"
"2018-05-30","46910","47600","46780","47450","681500","47450"
"2018-05-31","47880","48360","47530","47730","946400","47730"
"2018-06-01","47120","47520","46680","46910","548300","46910"
"2018-06-04","47200","47360","46750","47080","381400","47080"
"2018-06-05","46580","47210","46100","47140","623700","47140"
"2018-06-06","47490","48500","47220","48310","608700","48310"
"2018-06-07","48550","49490","48550","49190","793500","49190"
"2018-06-08","49500","49500","48800","49050","983600","49050"
"2018-06-11","49280","50280","49150","50270","525000","50270"
"2018-06-12","50670","51110","50160","50840","719800","50840"
"2018-06-13","50710","50790","50330","50410","373400","50410"
"2018-06-14","50200","50700","49940","50160","505700","50160"
"2018-06-15","50880","51680","50600","51350","741000","51350"
"2018-06-18","51040","51720","51010","51410","441400","51410"
"2018-06-19","51380","51390","50020","50050","615200","50050"
"2018-06-20","50500","51830","50400","51790","614200","51790"
"2018-06-21","51460","53420","51210","52930","952200","52930"
"2018-06-22","52000","53070","51790","52140","830200","52140"
"2018-06-25","52010","52540","51520","51640","477000","51640"
"2018-06-26","50960","51030","50190","50210","695400","50210"
"2018-06-27","49990","50690","49880","50580","551400","50580"
"2018-06-28","50670","50980","49690","50940","647200","50940"
"2018-06-29","51160","51450","50640","50910","605600","50910"
"2018-07-02","50800","50800","49250","49450","610300","49450"
"2018-07-03","49870","50380","49010","49800","745900","49800"
"2018-07-04","48700","49430","48430","48730","731000","48730"
"2018-07-05","48620","48710","47260","47500","931400","47500"
"2018-07-06","47640","48090","46900","47760","808600","47760"
"2018-07-09","48100","48830","47710","47750","593100","47750"
"2018-07-10","47880","48910","47720","48560","621900","48560"
"2018-07-11","47960","48280","47320","47420","648600","47420"
"2018-07-12","47730","49290","47530","49230","709900","49230"
"2018-07-13","51550","53150","51000","52650","1597000","52650"
"2018-07-17","52680","53120","52010","52810","711600","52810"
"2018-07-18","53910","54400","53670","53880","750500","53880"
"2018-07-19","54200","54510","52670","52670","775900","52670"
"2018-07-20","52610","53540","52270","52930","845700","52930"
"2018-07-23","51580","51650","49700","49900","1391500","49900"
"2018-07-24","50450","50450","49110","49770","781200","49770"
"2018-07-25","49270","49670","48710","49420","644500","49420"
"2018-07-26","48070","48890","47810","48520","913000","48520"
"2018-07-27","48650","48890","48090","48680","562100","48680"
"2018-07-30","48390","48460","47620","47730","601900","47730"
"2018-07-31","47570","49320","47110","48750","1343300","48750"
"2018-08-02","47810","48060","47100","47320","590300","47320"
"2018-08-03","48230","48420","48000","48280","570600","48280"
"2018-08-06","48180","48610","47750","48320","464800","48320"
