9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2011-01-04","13090","13240","13040","13220","594900","13220"
"2011-01-05","13190","13200","13060","13060","398000","13060"
"2011-01-06","12770","12830","12330","12400","2041000","12400"
"2011-01-07","12270","12450","12170","12330","891800","12330"
"2011-01-11","12140","12390","12080","12330","708000","12330"
"2011-01-12","12260","12400","12230","12270","573800","12270"
"2011-01-13","12350","12390","11990","12120","1508900","12120"
"2011-01-14","12150","13000","12150","12900","3698800","12900"
"2011-01-17","12870","12990","12650","12970","941000","12970"
"2011-01-18","12910","12990","12810","12930","636300","12930"
"2011-01-19","12950","12970","12780","12810","518900","12810"
"2011-01-20","12750","12880","12700","12710","519400","12710"
"2011-01-21","12670","12740","12460","12470","1094000","12470"
"2011-01-24","12460","12480","12220","12270","846200","12270"
"2011-01-25","12180","12330","12100","12290","752100","12290"
"2011-01-26","12170","12420","12150","12380","620800","12380"
"2011-01-27","12550","12560","12230","12250","535800","12250"
"2011-01-28","12170","12300","11960","12040","802400","12040"
"2011-01-31","11970","12080","11930","11950","604300","11950"
"2011-02-01","12070","12070","11860","11920","576300","11920"
"2011-02-02","12140","12340","12040","12250","716500","12250"
"2011-02-03","12850","12940","12680","12710","1335900","12710"
"2011-02-04","12820","12860","12680","12820","563600","12820"
"2011-02-07","12980","12980","12850","12870","530100","12870"
"2011-02-08","12970","12970","12860","12900","342500","12900"
"2011-02-09","12960","13000","12820","12830","466100","12830"
"2011-02-10","12730","12890","12730","12840","732900","12840"
"2011-02-14","12830","12850","12630","12710","501300","12710"
"2011-02-15","12690","12690","12510","12530","502400","12530"
"2011-02-16","12530","12580","12380","12570","641800","12570"
"2011-02-17","12550","12570","12330","12340","792400","12340"
"2011-02-18","12350","12550","12320","12450","940500","12450"
"2011-02-21","12350","12620","12330","12570","684300","12570"
"2011-02-22","12390","12450","12260","12370","806600","12370"
"2011-02-23","12440","12830","12340","12790","1304800","12790"
"2011-02-24","12760","12760","12550","12610","766500","12610"
"2011-02-25","12720","12890","12680","12830","983300","12830"
"2011-02-28","12630","12790","12530","12760","836600","12760"
"2011-03-01","12710","12910","12660","12910","802400","12910"
"2011-03-02","12680","12810","12500","12510","686300","12510"
"2011-03-03","12410","12560","12320","12530","781600","12530"
"2011-03-04","12680","12770","12560","12560","588300","12560"
"2011-03-07","12420","12490","12250","12270","726600","12270"
"2011-03-08","12330","12640","12240","12620","799300","12620"
"2011-03-09","12570","12810","12520","12760","786400","12760"
"2011-03-10","12650","12790","12580","12620","522900","12620"
"2011-03-11","12390","12560","12250","12250","3202000","12250"
"2011-03-14","11650","11930","11350","11430","1335800","11430"
"2011-03-15","11020","11160","8800","9430","2340300","9430"
"2011-03-16","10030","10330","9470","9930","2808200","9930"
"2011-03-17","9480","9900","9300","9620","2468100","9620"
"2011-03-18","10070","10470","9920","10240","2398100","10240"
"2011-03-22","10540","10740","10430","10700","1920600","10700"
"2011-03-23","10510","10540","10200","10270","1813500","10270"
"2011-03-24","10270","10390","10160","10250","729600","10250"
"2011-03-25","10500","10630","10360","10490","1239700","10490"
"2011-03-28","10520","10550","10140","10210","791200","10210"
"2011-03-29","10020","10370","9990","10320","1224600","10320"
"2011-03-30","10320","10520","10230","10450","1145200","10450"
"2011-03-31","10490","10510","10270","10410","849300","10410"
"2011-04-01","10470","10730","10450","10690","1359100","10690"
"2011-04-04","11290","11340","11050","11050","1616500","11050"
"2011-04-05","11300","11300","10850","10970","1199700","10970"
"2011-04-06","11120","11300","11070","11140","956400","11140"
"2011-04-07","11220","11240","11080","11130","594200","11130"
"2011-04-08","11730","12030","11630","11940","3146400","11940"
"2011-04-11","11950","12110","11810","11900","815700","11900"
"2011-04-12","11750","11840","11690","11740","944600","11740"
"2011-04-13","11730","11820","11580","11760","688100","11760"
"2011-04-14","11700","11790","11580","11740","611400","11740"
"2011-04-15","11750","11760","11580","11630","554400","11630"
"2011-04-18","11650","11890","11620","11790","690200","11790"
"2011-04-19","11660","11700","11550","11630","706000","11630"
"2011-04-20","11880","12060","11770","11980","969200","11980"
"2011-04-21","12100","12240","12040","12120","744200","12120"
"2011-04-22","12020","12120","11960","11970","541300","11970"
"2011-04-25","11970","12300","11960","12270","797700","12270"
"2011-04-26","12290","12290","12120","12170","769600","12170"
"2011-04-27","12300","12590","12290","12530","952600","12530"
"2011-04-28","12650","12800","12540","12710","944100","12710"
"2011-05-02","12900","13010","12790","12940","583000","12940"
"2011-05-06","12640","12900","12620","12850","770700","12850"
"2011-05-09","12670","12760","12300","12310","1215200","12310"
"2011-05-10","12350","12520","12320","12420","645500","12420"
"2011-05-11","12560","12580","12220","12300","953600","12300"
"2011-05-12","12180","12310","12020","12020","805900","12020"
"2011-05-13","12040","12190","11810","12040","1324100","12040"
"2011-05-16","11840","12080","11820","11970","643000","11970"
"2011-05-17","11950","12110","11950","11980","697400","11980"
"2011-05-18","12140","12140","12030","12040","625700","12040"
"2011-05-19","12100","12280","12100","12180","512700","12180"
"2011-05-20","12190","12290","12100","12150","453000","12150"
"2011-05-23","12130","12130","11840","11890","563200","11890"
"2011-05-24","11860","11880","11720","11820","511300","11820"
"2011-05-25","11740","11870","11730","11750","394800","11750"
"2011-05-26","11760","11810","11570","11630","790800","11630"
"2011-05-27","11520","11710","11480","11590","538400","11590"
"2011-05-30","11510","11650","11510","11550","453400","11550"
"2011-05-31","11510","11950","11500","11840","1104300","11840"
"2011-06-01","11960","12190","11850","12150","1274700","12150"
"2011-06-02","11900","12250","11850","12140","1522100","12140"
"2011-06-03","12260","12370","12080","12200","1143200","12200"
"2011-06-06","12200","12220","11860","11900","544000","11900"
"2011-06-07","11910","12030","11860","11980","453400","11980"
"2011-06-08","11990","12000","11840","11890","356400","11890"
"2011-06-09","11900","12020","11810","12000","602000","12000"
"2011-06-10","12140","12240","12040","12060","2389200","12060"
"2011-06-13","11910","12060","11900","12030","375500","12030"
"2011-06-14","11970","12260","11950","12160","404600","12160"
"2011-06-15","12170","12190","12030","12100","420600","12100"
"2011-06-16","11970","12110","11970","12030","392800","12030"
"2011-06-17","12100","12270","12040","12100","763100","12100"
