9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2007-01-04","11550","11560","11490","11560","195600","11560"
"2007-01-05","11510","11640","11380","11640","601300","11640"
"2007-01-09","11240","11540","11230","11510","750400","11510"
"2007-01-10","11310","11430","11020","11270","769600","11270"
"2007-01-11","11280","11320","11060","11110","649100","11110"
"2007-01-12","9810","9890","9330","9600","5124900","9600"
"2007-01-15","9700","9800","9590","9700","1570300","9700"
"2007-01-16","9700","9720","9530","9630","919700","9630"
"2007-01-17","9550","9640","9450","9590","1199200","9590"
"2007-01-18","9590","9740","9530","9630","778800","9630"
"2007-01-19","9580","9710","9570","9640","755100","9640"
"2007-01-22","9650","9800","9640","9710","616600","9710"
"2007-01-23","9690","9730","9570","9660","641500","9660"
"2007-01-24","9760","9840","9700","9810","757000","9810"
"2007-01-25","9850","9850","9650","9690","812500","9690"
"2007-01-26","9650","9660","9500","9540","1065200","9540"
"2007-01-29","9550","9630","9470","9630","650700","9630"
"2007-01-30","9630","9780","9610","9730","699800","9730"
"2007-01-31","9740","9740","9460","9530","818800","9530"
"2007-02-01","9520","9640","9480","9570","561700","9570"
"2007-02-02","9580","9630","9580","9590","430500","9590"
"2007-02-05","9690","9730","9590","9650","806800","9650"
"2007-02-06","9550","9590","9490","9500","710300","9500"
"2007-02-07","9500","9530","9250","9350","790900","9350"
"2007-02-08","9350","9380","9190","9250","859400","9250"
"2007-02-09","9250","9400","9130","9320","1222600","9320"
"2007-02-13","9400","9500","9350","9490","612800","9490"
"2007-02-14","9500","9610","9470","9550","567300","9550"
"2007-02-15","9570","9800","9540","9790","1029900","9790"
"2007-02-16","9890","9980","9780","9870","1036500","9870"
"2007-02-19","9970","10090","9900","10050","636200","10050"
"2007-02-20","10030","10090","9930","10000","492300","10000"
"2007-02-21","10050","10150","9870","9950","507900","9950"
"2007-02-22","10050","10230","9980","10160","433300","10160"
"2007-02-23","10040","10060","9930","9940","673700","9940"
"2007-02-26","9980","10010","9760","9810","445900","9810"
"2007-02-27","9900","9920","9750","9770","500700","9770"
"2007-02-28","9670","10020","9400","9680","1095900","9680"
"2007-03-01","9480","9600","9260","9480","1082000","9480"
"2007-03-02","9410","9770","9410","9640","978400","9640"
"2007-03-05","9540","9640","9200","9370","1016200","9370"
"2007-03-06","9310","9440","9210","9260","880200","9260"
"2007-03-07","9290","9460","9220","9330","904400","9330"
"2007-03-08","9430","9480","9190","9440","1109500","9440"
"2007-03-09","9540","9540","9290","9310","3337700","9310"
"2007-03-12","9410","9410","9210","9260","617900","9260"
"2007-03-13","9210","9270","9130","9170","800500","9170"
"2007-03-14","9020","9070","8890","8940","837500","8940"
"2007-03-15","9000","9000","8840","8900","678000","8900"
"2007-03-16","8810","8880","8700","8720","920300","8720"
"2007-03-19","8620","8700","8530","8660","1290000","8660"
"2007-03-20","8760","8880","8700","8840","542200","8840"
"2007-03-22","9040","9090","8960","9060","434100","9060"
"2007-03-23","9130","9140","8960","9030","470300","9030"
"2007-03-26","9000","9160","8970","9130","428500","9130"
"2007-03-27","9200","9240","9120","9160","601000","9160"
"2007-03-28","9060","9210","8970","9050","773000","9050"
"2007-03-29","9030","9170","8950","9130","448300","9130"
"2007-03-30","9060","9200","9060","9150","291200","9150"
"2007-04-02","9160","9200","8890","8990","690000","8990"
"2007-04-03","8930","8940","8680","8770","1137900","8770"
"2007-04-04","9270","9420","9170","9360","1149400","9360"
"2007-04-05","9230","9310","9200","9280","586800","9280"
"2007-04-06","9210","9300","9200","9250","419700","9250"
"2007-04-09","9420","9430","9310","9330","392900","9330"
"2007-04-10","9260","9390","9260","9360","452100","9360"
"2007-04-11","9360","9360","9160","9210","722900","9210"
"2007-04-12","9200","9230","9100","9230","547100","9230"
"2007-04-13","9180","9180","8630","8750","2362700","8750"
"2007-04-16","8720","8730","8590","8600","1409700","8600"
"2007-04-17","8650","8780","8590","8610","907500","8610"
"2007-04-18","8610","8670","8510","8520","886900","8520"
"2007-04-19","8470","8500","8250","8320","1095100","8320"
"2007-04-20","8400","8460","8280","8300","684700","8300"
"2007-04-23","8400","8430","8300","8340","534800","8340"
"2007-04-24","8260","8330","8180","8270","601800","8270"
"2007-04-25","8210","8290","8140","8190","373100","8190"
"2007-04-26","8390","8420","8270","8290","595300","8290"
"2007-04-27","8190","8300","8110","8250","698100","8250"
"2007-05-01","8230","8250","8040","8140","499600","8140"
"2007-05-02","8200","8290","8120","8220","484600","8220"
"2007-05-07","8520","8580","8370","8500","808400","8500"
"2007-05-08","8530","8660","8530","8600","716000","8600"
"2007-05-09","8590","8600","8500","8580","406200","8580"
"2007-05-10","8500","8600","8460","8540","608700","8540"
"2007-05-11","8520","8660","8460","8570","852100","8570"
"2007-05-14","8580","8740","8550","8730","627200","8730"
"2007-05-15","8900","9000","8850","8970","1188900","8970"
"2007-05-16","8930","9080","8900","8970","942900","8970"
"2007-05-17","8960","9100","8950","8990","574500","8990"
"2007-05-18","9070","9070","8870","8920","378800","8920"
"2007-05-21","8870","9010","8830","8900","397500","8900"
"2007-05-22","8990","9060","8920","9010","408600","9010"
"2007-05-23","9210","9240","9070","9120","383400","9120"
