9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2003-01-06","4230","4250","4100","4230","113800","4230"
"2003-01-07","4230","4270","3970","3980","249500","3980"
"2003-01-08","3830","3980","3800","3890","375400","3890"
"2003-01-09","3890","3900","3810","3850","176800","3850"
"2003-01-10","3860","3860","3730","3790","210100","3790"
"2003-01-14","3880","4000","3850","4000","259700","4000"
"2003-01-15","3910","3940","3820","3880","163000","3880"
"2003-01-16","3790","3820","3720","3730","238000","3730"
"2003-01-17","3630","3650","3550","3620","695400","3620"
"2003-01-20","3610","3610","3540","3600","351400","3600"
"2003-01-21","3600","3630","3570","3580","219900","3580"
"2003-01-22","3580","3580","3430","3510","329900","3510"
"2003-01-23","3500","3500","3420","3470","238200","3470"
"2003-01-24","3440","3550","3410","3440","285500","3440"
"2003-01-27","3490","3620","3470","3610","352300","3610"
"2003-01-28","3640","3690","3580","3670","473100","3670"
"2003-01-29","3700","3700","3490","3490","310500","3490"
"2003-01-30","3590","3610","3280","3330","498300","3330"
"2003-01-31","3340","3340","3210","3290","449500","3290"
"2003-02-03","3280","3380","3220","3340","391300","3340"
"2003-02-04","3380","3530","3330","3530","428800","3530"
"2003-02-05","3390","3580","3350","3480","413100","3480"
"2003-02-06","3550","3570","3490","3500","355000","3500"
"2003-02-07","3500","3540","3450","3510","73800","3510"
"2003-02-10","3500","3530","3400","3480","104600","3480"
"2003-02-12","3530","3560","3510","3510","131200","3510"
"2003-02-13","3450","3500","3390","3400","185900","3400"
"2003-02-14","3300","3340","3240","3270","590400","3270"
"2003-02-17","3370","3370","3290","3370","160000","3370"
"2003-02-18","3370","3470","3290","3400","189000","3400"
"2003-02-19","3410","3420","3300","3360","101300","3360"
"2003-02-20","3310","3340","3280","3310","122000","3310"
"2003-02-21","3310","3340","3270","3320","120000","3320"
"2003-02-24","3320","3360","3280","3290","38300","3290"
"2003-02-25","3250","3250","3100","3100","172600","3100"
"2003-02-26","3050","3150","3020","3080","249700","3080"
"2003-02-27","3130","3180","3120","3130","113900","3130"
"2003-02-28","3200","3230","3130","3150","81600","3150"
"2003-03-03","3200","3240","3140","3230","119100","3230"
"2003-03-04","3250","3330","3230","3320","187800","3320"
"2003-03-05","3200","3250","3150","3210","349100","3210"
"2003-03-06","3160","3250","3150","3170","160600","3170"
"2003-03-07","3190","3210","3000","3000","107900","3000"
"2003-03-10","2750","2930","2730","2855","247900","2855"
"2003-03-11","2840","2965","2805","2850","195700","2850"
"2003-03-12","2810","2850","2780","2815","189900","2815"
"2003-03-13","2815","2895","2815","2860","120200","2860"
"2003-03-14","2870","2920","2860","2860","488100","2860"
"2003-03-17","2900","2900","2800","2820","171100","2820"
"2003-03-18","2890","2925","2860","2900","304500","2900"
"2003-03-19","2900","2900","2770","2815","122200","2815"
"2003-03-20","2775","2845","2690","2845","267500","2845"
"2003-03-24","2900","2930","2850","2895","239900","2895"
"2003-03-25","2910","2910","2750","2780","172700","2780"
"2003-03-26","2820","2835","2780","2805","250400","2805"
"2003-03-27","2840","2890","2785","2810","303500","2810"
"2003-03-28","2820","2880","2820","2850","219800","2850"
"2003-03-31","2900","2945","2865","2920","280700","2920"
"2003-04-01","2870","3000","2850","2980","255800","2980"
"2003-04-02","2980","2980","2860","2960","57000","2960"
"2003-04-03","3250","3250","3020","3040","328500","3040"
"2003-04-04","3060","3100","3000","3000","144200","3000"
"2003-04-07","3050","3190","3040","3170","163800","3170"
"2003-04-08","3200","3220","3120","3220","192400","3220"
"2003-04-09","3230","3230","3130","3220","226700","3220"
"2003-04-10","3260","3320","3210","3240","176700","3240"
"2003-04-11","3290","3340","3150","3240","244100","3240"
"2003-04-14","3220","3300","3160","3290","164500","3290"
"2003-04-15","3340","3430","3310","3310","323400","3310"
"2003-04-16","3350","3400","3270","3330","338500","3330"
"2003-04-17","3350","3370","3310","3350","187400","3350"
"2003-04-18","3370","3420","3350","3400","242800","3400"
"2003-04-21","3400","3440","3380","3410","283400","3410"
"2003-04-22","3400","3420","3360","3400","186400","3400"
"2003-04-23","3400","3440","3380","3410","197800","3410"
"2003-04-24","3390","3400","3320","3320","163800","3320"
"2003-04-25","3220","3270","3170","3210","265000","3210"
"2003-04-28","3210","3390","3210","3370","183500","3370"
"2003-04-30","3400","3530","3370","3470","266700","3470"
"2003-05-01","3470","3470","3260","3350","121300","3350"
"2003-05-02","3400","3410","3340","3410","188800","3410"
"2003-05-06","3660","3910","3640","3900","977500","3900"
"2003-05-07","3800","3930","3730","3840","305200","3840"
"2003-05-08","3780","3820","3700","3710","257500","3710"
"2003-05-09","3760","3880","3750","3790","196100","3790"
"2003-05-12","3800","3970","3790","3900","342600","3900"
"2003-05-13","3900","3940","3800","3800","122200","3800"
"2003-05-14","3730","3820","3730","3790","117300","3790"
"2003-05-15","3840","3860","3770","3820","137800","3820"
"2003-05-16","3820","3820","3760","3800","131900","3800"
"2003-05-19","3740","3770","3720","3740","77500","3740"
"2003-05-20","3780","3890","3760","3870","178700","3870"
"2003-05-21","3860","3890","3810","3840","145600","3840"
"2003-05-22","3800","3900","3760","3860","186700","3860"
"2003-05-23","3870","3910","3860","3870","168700","3870"
"2003-05-26","3900","3970","3900","3900","137500","3900"
"2003-05-27","3900","3940","3890","3910","204000","3910"
"2003-05-28","3920","4120","3900","3960","385600","3960"
"2003-05-29","3990","4050","3950","4050","264900","4050"
"2003-05-30","4000","4060","3930","4050","324000","4050"
"2003-06-02","3910","3980","3850","3850","244600","3850"
"2003-06-03","3900","3930","3840","3930","160800","3930"
"2003-06-04","3680","3720","3590","3600","540600","3600"
"2003-06-05","3700","3700","3600","3630","310100","3630"
"2003-06-06","3630","3630","3510","3580","155200","3580"
"2003-06-09","3530","3550","3460","3480","337500","3480"
"2003-06-10","3510","3570","3500","3560","504000","3560"
"2003-06-11","3590","3620","3530","3530","425800","3530"
"2003-06-12","3550","3570","3520","3530","264300","3530"
"2003-06-13","3480","3520","3370","3440","578200","3440"
"2003-06-16","3440","3440","3400","3420","70300","3420"
"2003-06-17","3500","3520","3470","3500","196000","3500"
"2003-06-18","3470","3490","3390","3390","276900","3390"
"2003-06-19","3440","3440","3350","3380","219300","3380"
"2003-06-20","3360","3440","3360","3420","239300","3420"
"2003-06-23","3440","3440","3290","3350","327800","3350"
"2003-06-24","3350","3400","3330","3370","244000","3370"
"2003-06-25","3390","3460","3370","3400","315200","3400"
"2003-06-26","3450","3520","3440","3480","395500","3480"
"2003-06-27","3560","3650","3550","3600","482500","3600"
"2003-06-30","3650","3730","3590","3710","577400","3710"
"2003-07-01","3660","3760","3650","3730","275500","3730"
"2003-07-02","3730","3930","3710","3930","424600","3930"
"2003-07-03","4330","4340","4100","4170","853900","4170"
"2003-07-04","4170","4460","4160","4280","1080000","4280"
"2003-07-07","4290","4320","4180","4210","288000","4210"
"2003-07-08","4300","4300","4180","4230","268400","4230"
"2003-07-09","4240","4250","4130","4170","465300","4170"
"2003-07-10","4120","4150","3970","3970","456200","3970"
"2003-07-11","3940","3940","3770","3800","844900","3800"
"2003-07-14","3850","4050","3790","4050","542400","4050"
"2003-07-15","4100","4140","4060","4060","457000","4060"
"2003-07-16","4160","4210","4090","4150","418700","4150"
"2003-07-17","4150","4190","4050","4050","247500","4050"
"2003-07-18","4050","4120","4000","4000","210700","4000"
"2003-07-22","4050","4050","3950","3980","132800","3980"
"2003-07-23","3930","4030","3830","3840","319800","3840"
"2003-07-24","3890","3940","3760","3800","264200","3800"
"2003-07-25","3760","3790","3690","3720","265200","3720"
"2003-07-28","3750","3900","3710","3860","342000","3860"
"2003-07-29","3810","3890","3790","3860","202500","3860"
"2003-07-30","3810","3870","3760","3760","159100","3760"
"2003-07-31","3810","3920","3770","3870","231400","3870"
"2003-08-01","3880","3920","3830","3830","247700","3830"
"2003-08-04","3880","4000","3850","3960","306600","3960"
"2003-08-05","3860","3940","3820","3930","327000","3930"
"2003-08-06","3950","4080","3940","3980","414600","3980"
"2003-08-07","4010","4040","3880","3880","284800","3880"
"2003-08-08","3980","3980","3870","3910","228800","3910"
"2003-08-11","3950","3960","3910","3940","97700","3940"
"2003-08-12","3960","4070","3910","4040","254500","4040"
"2003-08-13","4050","4120","3990","4060","167200","4060"
"2003-08-14","4010","4120","3990","4070","138800","4070"
"2003-08-15","4070","4120","3980","4060","103300","4060"
"2003-08-18","4110","4110","3990","4010","114100","4010"
"2003-08-19","4060","4060","3910","3960","370100","3960"
"2003-08-20","4000","4040","3950","4040","315600","4040"
"2003-08-21","4040","4060","3970","3980","427700","3980"
"2003-08-22","4040","4380","4000","4250","717000","4250"
"2003-08-25","4340","4370","4250","4250","211700","4250"
"2003-08-26","4260","4480","4260","4380","499800","4380"
"2003-08-27","4550","4710","4520","4550","774900","4550"
"2003-08-28","4850","4870","4750","4800","1043200","4800"
