,High,Low,Adj Close,GBP,CAD,CHF,AUD,IDR(100),INR,PHP,KRW(100),THB,KWD,TWD,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,answer,"SEK_bin_(-0.068, -0.0105]","SEK_bin_(-0.0105, -0.00609]","SEK_bin_(-0.00609, -0.00346]","SEK_bin_(-0.00346, -0.00154]","SEK_bin_(-0.00154, 0.000598]","SEK_bin_(0.000598, 0.00221]","SEK_bin_(0.00221, 0.00413]","SEK_bin_(0.00413, 0.00655]","SEK_bin_(0.00655, 0.01]","SEK_bin_(0.01, 0.0825]","SGD_bin_(-0.0473, -0.00699]","SGD_bin_(-0.00699, -0.00403]","SGD_bin_(-0.00403, -0.00225]","SGD_bin_(-0.00225, -0.000919]","SGD_bin_(-0.000919, 0.000282]","SGD_bin_(0.000282, 0.00138]","SGD_bin_(0.00138, 0.00265]","SGD_bin_(0.00265, 0.00424]","SGD_bin_(0.00424, 0.00671]","SGD_bin_(0.00671, 0.0634]","Volume_bin_(-0.927, -0.512]","Volume_bin_(-0.512, -0.388]","Volume_bin_(-0.388, -0.276]","Volume_bin_(-0.276, -0.155]","Volume_bin_(-0.155, -0.0187]","Volume_bin_(-0.0187, 0.133]","Volume_bin_(0.133, 0.32]","Volume_bin_(0.32, 0.626]","Volume_bin_(0.626, 1.115]","Volume_bin_(1.115, 11.805]","Open_bin_(-0.09620000000000001, -0.0162]","Open_bin_(-0.0162, -0.00927]","Open_bin_(-0.00927, -0.00528]","Open_bin_(-0.00528, -0.00222]","Open_bin_(-0.00222, 0.000726]","Open_bin_(0.000726, 0.00342]","Open_bin_(0.00342, 0.00639]","Open_bin_(0.00639, 0.0102]","Open_bin_(0.0102, 0.0159]","Open_bin_(0.0159, 0.16]","ZAR_bin_(-0.155, -0.0148]","ZAR_bin_(-0.0148, -0.00856]","ZAR_bin_(-0.00856, -0.00495]","ZAR_bin_(-0.00495, -0.00209]","ZAR_bin_(-0.00209, 0.000597]","ZAR_bin_(0.000597, 0.00299]","ZAR_bin_(0.00299, 0.00571]","ZAR_bin_(0.00571, 0.00916]","ZAR_bin_(0.00916, 0.0142]","ZAR_bin_(0.0142, 0.129]",SEK,SGD,Volume,Open,ZAR,SEK^2,SEK SGD,SEK Volume,SEK Open,SEK ZAR,SGD^2,SGD Volume,SGD Open,SGD ZAR,Volume^2,Volume Open,Volume ZAR,Open^2,Open ZAR,ZAR^2
High,1.0,0.7965163313043544,0.7723144902183541,0.47616287094389653,0.5585359597193683,0.2855485657491127,0.5746687362844195,0.3869554544478437,0.47369673566080733,0.46009888406370064,0.5472036847275394,0.47480079448702744,0.45746318185604834,0.48431558557746873,-0.024216728630091132,0.0018803057961288923,0.01893522656195582,0.009867245602327778,-0.009544835301382055,-0.004629399013373411,-0.013009406456177089,-0.018107393585717776,-0.00047148117476965035,-0.004928080636188453,0.011398656820552392,0.03324275546191311,0.009674359893782843,0.006737642557592604,-0.015702547515298777,-0.008125085723129876,-0.004627030627092705,-0.026186005673415193,-0.014414719106642302,-0.011760538367197048,-0.005371452674709571,-0.015989292980973045,-0.0003881856600175249,-0.02077782946183377,-0.008865060119048727,0.0006693672955143998,0.020594992798799915,-0.022875747073511168,0.009838372855877754,-0.007000776397732812,0.029441257216845377,-0.007253294199684885,0.01964680415141467,-0.007740717471160605,0.00017124085848875425,-0.030162687413537607,0.02262702577811203,0.011151901278400118,0.020848984520686568,0.015029489323411778,0.03369427910325748,0.005097334856515442,0.002731911828600395,0.008471929603816146,-0.02024185939112159,0.011433416670311313,0.018177668909626493,-0.01757733080786224,-0.0006148664855943594,-0.34476670373564267,-0.08964390031909002,-0.03902751396045037,-0.0053263278449214675,-0.007793558126237478,0.039224150731475865,0.04442670822190078,0.04747168936889358,0.11829496114852672,0.23727700021758355,-0.3929039460408867,-0.1130181890834649,-0.0682384325939311,-0.02817595031179511,-0.0023980474805759223,0.029144399610393473,0.05944095184185383,0.09889894018048054,0.11934732593509664,0.29797947082432324,-0.02552680797460519,-0.036556032372137726,-0.009882830060508186,0.009244683230902068,-0.022809718383678276,-0.005111007032286839,0.021269952196409588,0.05540354168150075,0.007177173192367907,0.006844576217109173,-0.528879301700253,-0.24932350838673892,-0.11738665453528609,-0.05584917346111852,0.00014811714425836227,0.042898202720687784,0.10941213903443725,0.15587079919856273,0.23480481583685367,0.40854726782479955,-0.3385572418737271,-0.10948732886206448,-0.0696640243177215,-0.015978005130206245,0.022236624138949904,0.017238208245731964,0.04629832003300451,0.09880990676451025,0.13799568059498182,0.210908006449249,0.4855272996515529,0.56470847793209,0.04289670311760884,0.7945171725364395,0.4884385765600235,-0.06153579587084531,-0.05811588246862945,0.17873299432430417,-0.038834206319469745,-0.06632759233572312,-0.048635740481373334,0.21452181107258955,-0.042082469459305064,-0.04854788359829705,0.03427704772025428,0.3838262863610536,0.20164582292245375,-0.05076580582742588,-0.04602846379615535,-0.09166723757793437
Low,0.7965163313043544,1.0,0.8005023191331628,0.45552735053848836,0.5401593322103887,0.2835069288989319,0.5597990412335081,0.3737151279716813,0.45820053375548303,0.45569288921668655,0.5395927119858549,0.4602821892192596,0.4396488698550192,0.47080005502497646,-0.028037351479018414,0.004448770279204062,0.01650864393626904,0.009055187103235501,-0.0058428688174117695,-0.0032158760635577666,-0.013508984691638387,-0.016148334656741356,-0.0006428235105677769,-0.010124585427324693,0.017773750510874778,0.030186796106223403,0.010231749810474063,0.01927201539805936,-0.016373575971805474,0.004782491080609383,0.004226392094859498,-0.0374423781117145,-0.006514945309881812,-0.03464356827112041,-0.019548494573963182,-0.004831235571715086,0.011015810341856464,-0.011952020145687695,-0.011041797418130505,0.006287897887147252,0.012496632073718476,-0.009484153815831403,-0.009599927866830046,0.006750830411299138,0.030653511181371974,-0.005242637532760088,0.0023410466160456605,-0.001256384698189583,-0.013081465746711691,-0.02066994807179143,0.03241362835970135,0.007973489690789827,0.025248595378856084,0.0056046000926361994,0.019356619289826925,0.011704377965531598,-0.013495430817801296,0.010280260498018688,-0.0063696094353785536,-0.0025332274204350642,0.009542329319708099,-0.010557710031697802,-0.005852511534468015,-0.30804635684514553,-0.08546173603754728,-0.0372730814268022,-0.0016884883514564834,-0.016161559974058992,0.023819743893915526,0.04245616926788999,0.03492725747184178,0.10307532131512363,0.24444400841140387,-0.3630879704491989,-0.1124369161360964,-0.061252836985627154,-0.026148902089916957,-0.021363926352702033,0.03780538222064977,0.05329942722598782,0.07441540143299179,0.10835538777980375,0.3104678785733724,0.09220582674704104,0.053160611494579735,0.04659652408110281,0.06134094204572011,0.010860135799698818,-0.018874344714647825,0.0012747422388852824,-0.014302587133108524,-0.08507650826050919,-0.1472994835709884,-0.43941726668208875,-0.22550762029315674,-0.13363617589022658,-0.07079296368654513,-0.02823890939426285,0.0011662454319801496,0.07053974613755756,0.13294434721374795,0.21751524976088893,0.47546711776273254,-0.3026034354893132,-0.11326524387124547,-0.0830192193783665,-0.01769243690873011,0.013358116424651546,0.017257105089136353,0.04751659047011544,0.08172809420615693,0.12514356396119483,0.23134391283510822,0.46359260998149515,0.5557273134892631,-0.20070671396535403,0.773871132577505,0.48086902948457055,0.0021731981356079475,0.02649052775412479,0.16574058792896984,0.04171388957057801,0.0010955186443204546,0.04528243702667652,0.19907830610505653,0.05930218705964257,0.03178174882773163,-0.1185397035240732,0.3473993840111782,0.17435158525974917,0.06496587207222332,0.03369442956687031,-0.031133653802432687
Adj Close,0.7723144902183541,0.8005023191331628,1.0,0.3629832540831689,0.4387168149439651,0.21780830491234698,0.4539229711472456,0.28641689034514445,0.35608421903081094,0.3399743929679958,0.4285204412696599,0.3705344312656618,0.3521468418136604,0.36166743792332184,-0.02045074341875999,0.0018262492859079616,0.01210393448082831,0.011046112084060589,-0.0056495782850613015,-0.0022919422309750355,-0.013569632082847387,-0.01675329888333328,-0.002943223281831152,-0.006424326014304534,0.017877510569823993,0.02580339466793072,0.024309248773155805,0.0032245827898927477,-0.013428369036252665,0.00902433226085393,-0.009904081820203631,-0.02852841277023153,-0.01125899695862891,-0.029341997429197356,0.0016456970218879327,-0.01352881118156956,0.009661970626209099,-0.02371607141979234,-0.01272937487216231,0.011149600067798903,0.016416528265152157,-0.025777532067241093,0.011732204144861702,0.000823414577577883,0.025878885567546358,-0.012515407359437111,0.02340645475744018,0.0018246318359645952,-0.01016036785399874,-0.030508121019596705,0.022111158479196456,0.012150017028567332,0.028009085851925738,0.01701697713529498,0.016745871381083,3.543180421930965e-05,-0.020113094293426947,-0.008527456145804274,-0.001602578805777104,0.0008697356740569335,0.01027348338493618,-0.0013476731672778784,-0.012717609897212021,-0.27293692817962534,-0.06884045702307953,-0.019854235042702343,-0.005405229969329676,-0.0033407160098158665,0.03745258091907339,0.03931752851475237,0.021133175001848713,0.08595823027564241,0.18663853962365157,-0.31112488160153634,-0.0921340652795831,-0.04845442392320993,0.0006122959103732238,-0.014468015972970868,0.015383658488402986,0.05112546929674513,0.08087282861489106,0.0905390146742645,0.22775714808854697,0.04090796982312164,0.020413120567059503,0.02523583120399285,0.03174817523280393,0.005570095106126446,-0.023268898117353352,-0.0023986838027432542,0.02308939330320599,-0.03756555554631383,-0.08378292029613976,-0.2968448955794531,-0.1574652271826343,-0.06852969758788018,-0.04223936249663767,0.003431061706114845,0.010414710125002113,0.06445924764908446,0.07866443833494738,0.13882686610907422,0.26937161662366726,-0.28076800020210363,-0.08688085584438568,-0.04725691459864409,-0.00808009825472137,0.008125565638890051,0.010128464914024483,0.047865537674207106,0.07638240417121606,0.11043494726275545,0.1698835393870708,0.3758382014055672,0.4392865408156796,-0.10083535538235558,0.48710809408659766,0.39624889379946643,-0.04059807238659858,-0.01671750760791297,0.16131181319495486,0.0028719072065383176,-0.043924125954050854,-0.0003410486117751273,0.19162198449567291,0.008251208303983135,-0.0054722878796828285,-0.06731452504985838,0.3575082068532086,0.17548514339287638,-0.001718788521157562,-0.013776784905746116,-0.06378611485177632
GBP,0.47616287094389653,0.45552735053848836,0.3629832540831689,1.0,0.7418190156129136,0.6247148673440828,0.7421308673269467,0.5215058508158269,0.6449255694509142,0.6295597097416316,0.6649974020492604,0.648097732138396,0.6773157368524124,0.6686169386281566,-0.00925323602947964,-0.0038181287505829626,0.006285591983530717,0.03383257410446729,-0.009770566461226253,-0.0028153100663165223,0.004927998683419335,-0.03190193096521421,0.0019118628208569968,-0.007826248099228097,0.013218971801076675,0.005461782970959074,0.012004314638445321,0.016251794129472096,-0.01596112294700395,0.005443296129091978,0.00987132362989107,-0.02058391094793044,-0.029951439804331046,0.004133029152655379,-0.019591297795805946,0.020466669421097834,-0.004038389114244037,-0.01057027026356139,-0.011133516770039029,0.005662404396559473,0.019209169996984805,-0.023917741781070787,-0.005747054737170774,0.01382569421148384,0.04231997995336219,0.006743974998981566,-0.00180145746449546,-0.01759471259844367,-0.0032390894055707433,-0.02246461010190513,0.01491978948166202,-0.02538082341141091,-0.019491847302878913,0.012894557356452938,0.02064847146033142,0.018204282179334126,0.014587612708553705,-0.06179822948386015,-0.034533973012872234,0.01869755368069955,0.039913318850722024,0.03531299347613584,0.02173238497659617,-0.4551807055159759,-0.1878756188026047,-0.09867916868548327,-0.04111743231166233,-0.0007412837210498476,0.038910975825933586,0.06288088420764779,0.1091103633971903,0.17242549822925363,0.4002626418173181,-0.47465393166033704,-0.1879067624154911,-0.09982348792339567,-0.032467781754131037,-0.009006195520195633,0.027563410365840875,0.05942146118357676,0.09226371411812725,0.19451464482174186,0.43011820520717464,0.006718680065296636,0.02288010647774937,0.0014781064513360834,0.027511512361259604,-0.009228007518453854,0.011188387256340445,-0.012212056762516061,0.013219073138828329,-0.03505057996296182,-0.02650244253096036,-0.3105059547750086,-0.09846195034825615,-0.05147019688766168,-0.05840940446538112,-0.005143678911324188,0.03394748329083866,0.05502885998708509,0.06739703320234468,0.13318172614811777,0.23462246713820864,-0.37800360242560566,-0.1265932028925909,-0.08951972975321455,-0.03340326435941102,0.0075489719098509964,0.04237798167793265,0.04277371919926885,0.10843525834568415,0.1306581524973069,0.2954630680887915,0.7417743601060344,0.7868534108846837,-0.04534094961928867,0.5050291978747817,0.5946803672046612,-0.07893956274445334,-0.04946916374877968,0.20851228591267942,0.003334033378276362,-0.053565030058847427,-0.014223951973321316,0.22269887543530179,0.015973654075764194,-0.022688991106587553,-0.024257118959282745,0.15587137939489215,0.17513783481950598,0.03079089960992481,0.00784735893894584,-0.03734838714020821
CAD,0.5585359597193683,0.5401593322103887,0.4387168149439651,0.7418190156129136,1.0,0.5551779722058974,0.8155477403066068,0.5488751611413287,0.6838925137697559,0.6812494075494746,0.7210942840132576,0.6872837144437098,0.7102362229782861,0.7052720734170718,-0.03615221245867756,0.011121536493623263,0.013382405666164816,0.025124956000419932,-0.0014719577829702547,-0.006574867979335696,0.00021090382522155596,-0.020849200168976085,0.00625828521030869,-0.00992973806401036,0.008630681671935661,0.009937980503914706,0.019503881248783085,0.008787039040411967,-0.00889745987315671,0.028033488787872075,0.012544803568749905,-0.016640030183405822,0.009061267841418355,-0.01219345604578075,-0.009614439434120615,0.022982998265586065,0.008705892680011637,-0.009931792679139021,-0.0050836616772982745,0.01529909658574621,-0.011843190472897598,-0.029207449860371923,-0.015253953750746521,-0.005199997969898787,0.01766762182389353,-0.0029246962270504345,-0.010423581340300367,-0.018946089498960508,-0.02087628787255758,-0.017034811103510166,0.04049628072481925,-0.01970617404290791,-0.014125338659285483,-0.0007937560496062376,0.03254973536966869,0.02094598009728393,-0.008866720990859207,-0.04960003466582532,-0.015676484545722826,0.014529044423635349,0.026606574652856853,0.022231786657579182,0.025938692825641364,-0.48322742272630215,-0.15936277323078332,-0.08490971886797473,-0.048023342262160984,0.005216956762806415,0.03926049098985373,0.06734698715722308,0.09651928000921643,0.18325295743305237,0.3839743160477883,-0.5347428533288987,-0.20044430319960552,-0.1039832944529034,-0.0482798465811244,-0.01067954106174268,0.03108509425960301,0.07268546458875795,0.11480948578632584,0.21963900391968944,0.4599518845262101,0.011971499289854075,0.0205086309264046,0.013682119925719936,0.04274445909945702,-0.02019952738350793,-0.01194632193476668,0.0055101622362759995,0.015002682171727701,-0.03744314907507504,-0.039821443056763,-0.3707350388233412,-0.14049168264306577,-0.07536784729417469,-0.02918639856905352,-0.009577067403147592,0.02645720044174297,0.06885257658602616,0.0845752582485809,0.15858797519031373,0.2870393874743362,-0.4178069025015782,-0.15639576673843872,-0.09674897512328244,-0.04760621620879758,-0.003913643028216835,0.042145911782856364,0.060239656129765125,0.10470397020576191,0.18058652628083444,0.3344787953544321,0.7259275046496005,0.8296542416934543,-0.056407994342956014,0.5827189861461866,0.6532822802036004,-0.060042138524493104,-0.04966424128821454,0.23807783844107236,0.0009126449154082711,-0.045135107797888714,-0.02836512354881986,0.2683240480777229,0.002230060261876573,-0.029564400334511062,-0.02734527912438981,0.20523859576143105,0.22131962288006019,0.01579464584427867,0.000501809956534543,-0.045865423998450866
CHF,0.2855485657491127,0.2835069288989319,0.21780830491234698,0.6247148673440828,0.5551779722058974,1.0,0.5715176130733566,0.3745046815001483,0.46842188054404904,0.4391900070413899,0.488384598163556,0.46110672268467995,0.47891881798853764,0.464535688520612,-0.017615683978243195,0.003636802189487751,0.009704696617609945,0.01049718566406715,-0.010896022425669723,-0.0012921750870166753,-0.00635028951949502,-0.025076294702322133,-0.0015356584295802985,-0.008674189331133132,0.009656776901859525,0.03859333811923652,0.015366544379104268,0.005179377415457913,-0.01677760572555025,0.0028968521404590768,0.01904009716679324,-0.02634724860513169,-0.026841364238441898,-0.017999238313898207,-0.006989297520331099,0.02809086260376498,-0.014178932199476121,-0.02483133384023455,-0.008767243079354739,0.010697225730044028,0.003127331108153159,-0.000939332550817132,0.00305424912399858,0.0153638272486588,0.027928879990948754,0.0013049450392857485,0.0065257649873007376,-0.017603321244975614,-0.011815250841555831,-0.004459102527720316,0.02445043064901254,-0.014119719944868757,-0.019022223466786937,0.00324015965639814,0.009250469349603604,0.02199907239133128,0.01743602426916394,-0.050011464107405056,-0.03669520720521908,0.0003548506190321798,0.03092862185512643,0.053464115588328934,0.023993817312281247,-0.39524020807165355,-0.21964836177123032,-0.1235397769397351,-0.05732980736032582,-0.01839720025870408,0.033347725600092755,0.0801373748413006,0.12241700176185952,0.19341274951548376,0.3847927288651671,-0.3817425296828404,-0.13012307047258148,-0.07552401499514312,-0.027791454053710994,0.0002955216326311962,0.014675112782227993,0.04434046642704012,0.07223002810044078,0.13590536972933595,0.3477410672438,0.0037378001161112034,0.02419300660506786,-0.002707768280712844,0.003617128662356923,-0.012492816876416084,0.0030226522681158076,0.006181952607609053,0.004830893331395364,-0.039561583573769765,0.009188430957627036,-0.18474475459475104,-0.06785071366055062,-0.015143432229755817,-0.03781825366937069,0.005213861640082673,0.008938679463743649,0.030076184555014016,0.05232665219530556,0.0610326485433657,0.14806155139691451,-0.2801632623708859,-0.10391108927664415,-0.07781628399252916,-0.04425103718821555,-0.007988531841606797,0.04004541716343187,0.03567720592215269,0.08078907451790289,0.09914173912774628,0.2582497286293687,0.6802462045110476,0.5986558133671408,-0.023172873921061408,0.3092725459015616,0.4612580931332248,-0.01977196501384268,-0.008800607687846861,0.1848349905888849,0.026619567546749653,-0.00839031331106601,0.015104004124259517,0.17470846372434926,0.03374358379173151,0.011340253290245635,-0.022472220437223092,0.08996684746295201,0.12627509069004372,0.03805063099304379,0.028711637826594954,-0.0023240305766915673
AUD,0.5746687362844195,0.5597990412335081,0.4539229711472456,0.7421308673269467,0.8155477403066068,0.5715176130733566,1.0,0.49700392754501094,0.6195226356504109,0.5989078105757877,0.7446077148572375,0.6346084511423141,0.6022797844571661,0.6194047492763889,-0.015296386812140626,0.01679983090615053,0.009997359199363324,0.02152267026469048,-0.021952233093904275,-0.0032865050409069748,0.004826521463102583,-0.03394395274048989,0.000615212547330473,0.00721276462570135,0.0031356754550148323,0.011015530340729635,0.012983687299977677,0.002069816523406767,-0.018608971591479256,0.019474548739725258,0.028074294794611827,-0.027664693696086307,0.00962786836845011,0.005010434798781985,-0.009946317141150685,0.020366683546906555,0.00637083670360278,-0.013515149661774764,-0.002966208719494419,0.0309850719421808,-0.00743023730535645,-0.03544160211392152,-0.012754677464243722,-0.024867288722040633,0.044451617040504134,0.00573876619542084,-0.00580105505153656,-0.02277687058316602,-0.0043337320507956965,-0.017901019820812977,0.024400693010094274,-0.015622593525144904,-0.025906169401276474,0.008142860809284324,0.018878413250628907,0.017574118727981085,-0.009887682530587324,-0.04876803531202768,-0.01602042596356888,0.01985583783157984,0.02352850698228328,0.01952978032840791,0.014983563632196644,-0.49830025377803416,-0.16041783749400793,-0.08260702724037979,-0.01627411832849821,-0.003064446883790915,0.02970294765537894,0.07078115975625844,0.10289109296370216,0.1614386250764436,0.3959113407706628,-0.5218042803847087,-0.16547943733241863,-0.08853606186429788,-0.03233400032090803,0.0046418863554346995,0.03845173526355106,0.0572338225912024,0.09723517789044304,0.1803792925415892,0.43027222189894143,0.017834976698639607,0.026002453296787353,0.019251164588069004,0.034981769578746026,-0.01943367717403815,0.0029048740765970824,0.0015554626420795038,0.009687645521834605,-0.034033014282552745,-0.05874988445179463,-0.3814224446707518,-0.13349141703665754,-0.07042893666722583,-0.03227442383474225,0.0005993700429304114,0.028100819380570942,0.07061505931039531,0.0812250430424605,0.14040659053068005,0.29683093848640313,-0.45677134598265395,-0.15313611246864173,-0.08886085987391033,-0.04118422885708825,0.012660157195272158,0.03559556328637226,0.058438769174631706,0.11713273235810552,0.15803835670376998,0.3577419893996299,0.7653920483301694,0.8104590315560033,-0.07180260092480896,0.6085472218997191,0.7040291675495804,-0.04636146625679474,-0.03185993640871585,0.23320110762130714,0.024016866219487742,-0.02143872431557795,-0.006547682565173714,0.24282241732924417,0.03189585246749591,-0.000686227083543601,-0.03211849980444461,0.1942209061079712,0.21854914873433554,0.0476658802437389,0.027474952277981652,-0.026810374197608802
IDR(100),0.3869554544478437,0.3737151279716813,0.28641689034514445,0.5215058508158269,0.5488751611413287,0.3745046815001483,0.49700392754501094,1.0,0.6209494880637232,0.6537568956582436,0.529567480681409,0.5843902015449006,0.6436516897666578,0.6550898947594486,-0.008060357484946311,0.014231206882034629,0.01104942499255627,0.027133307021703856,-0.008488632223103424,-0.01228927157695919,0.005571394888933383,-0.03038451399173458,-0.015326479129319477,0.0010025775082660301,-0.0038842759463944333,0.019789456365778585,0.009273003557566745,0.0017467652750664307,0.009128024444957169,0.004518162933565111,0.03319165158293238,-0.005318720842031015,0.009993486715281464,0.022340218678498648,-0.004980347648835465,0.03363377306000375,-0.0022667035847599034,-0.023214473326744745,-0.010089948971889836,0.0008821520704521142,0.001315889161080317,-0.022117549278289197,-0.03344279050114359,0.0031121232784642188,0.0225615171544003,0.026936944767609616,0.004158382333976818,-0.04244939307488732,-0.009646878351765049,-0.016597113195854413,0.013759638022124763,-0.0076682826893311,-0.04053658245575171,0.023980194247037758,0.012115449514842638,-0.0166989419075384,0.00616681860091751,-0.040261718064191744,-0.03237759571396416,0.007033648476090369,0.04195921234796636,0.02204219038798847,0.011473980115626236,-0.2830804923497609,-0.11293786432524115,-0.06655201703799744,-0.03805426954970124,-0.018736060075853832,0.03178212732292444,0.06909765633555749,0.05803860054431104,0.1224207740943324,0.2380742775936159,-0.3889401911011868,-0.19101133116896685,-0.11752521860571834,-0.0640334061154429,-0.010783315694421881,0.0348576656737752,0.05246564748404722,0.11866196795570422,0.18715395889256142,0.3791060184616275,-0.001446810788572623,-0.013174612071695407,0.013867002986140579,0.031237741481389348,0.0075832933902379275,-0.008438409210805351,-0.009947427692279232,0.020668147531971555,-0.03864894510825326,-0.001706776417708495,-0.2634812436663323,-0.09029570968843147,-0.07902409971720074,-0.05977306823381073,-0.004446840290235907,0.02437496275968808,0.06756705573617257,0.07327746630545386,0.131403235799508,0.20056115960378337,-0.2811053761909916,-0.0735621421011125,-0.06076607513777987,-0.023708491115646015,-0.0029086997976427416,0.043858576872005665,0.0314625137561338,0.057140225811989395,0.09571536416063503,0.21366924185957986,0.4453856105193518,0.6511951609799228,-0.02656129474435592,0.4191514690395022,0.3985760908060625,-0.07231888379931532,-0.06253348241005328,0.14790675546705334,-0.045748882832794914,-0.0676946475860058,-0.048404918855593615,0.19739412779427085,-0.04117153169534403,-0.05250354172861316,-0.026092845071266562,0.14720365951564726,0.13536619076180925,-0.03572141186765339,-0.038847408411911984,-0.06469410592144698
INR,0.47369673566080733,0.45820053375548303,0.35608421903081094,0.6449255694509142,0.6838925137697559,0.46842188054404904,0.6195226356504109,0.6209494880637232,1.0,0.7512049234516491,0.6542277609380898,0.7040887969704934,0.7517406327139962,0.7758994004101255,-0.006427728878194209,0.0066115251498035914,0.020002906552412877,0.01256736843021926,-0.024930083777498252,-0.018276399895304225,0.008914351190536676,-0.03487034961644849,0.00635710026045174,0.0034833008527451236,0.0008483457209166901,0.02715863855078646,-0.00046043188966660403,0.02673279177121799,0.006423448576775339,0.024699309982155675,0.02732501373425194,-0.0022118516654974236,-0.006696590457829454,-0.007993258883165847,-0.007273011086063682,0.025231399612322222,0.00015543373559355115,-0.019914748229425374,-0.02813415281247536,-0.006981764399488851,0.01428664081646614,-0.04005614476394054,-0.021160265537836634,0.011670345437570041,0.013443776563217507,0.028110979558588132,-0.022176268260880285,-0.030576920553871012,-0.007338560808557625,-0.016036286956208283,0.02868225732464419,-0.017660888629793148,-0.029614307046384566,0.007734233267238668,0.030275226934205576,0.014659142758952446,0.012655066261094496,-0.04291841720238006,-0.050849186605259306,1.7478262718187051e-06,0.056387075723009265,0.035630459446879745,0.0379628688618065,-0.36170354069991517,-0.14647572016331925,-0.09645698727260053,-0.03897941369818968,-0.01984893234998672,0.04799251066615408,0.06947887091095967,0.090013736872142,0.15107184490949127,0.30496063160107384,-0.469261437709224,-0.22793430751864333,-0.1467350098015896,-0.0699858986455201,-0.016928187036259992,0.03857579021087464,0.08995963241108991,0.1336353166948623,0.22232516655681767,0.44631545303430276,0.020902265792591936,0.0032242788743257985,0.01107505553577999,0.01615528314355463,-0.0044168543975243385,-0.016737094131129244,5.232569785788944e-05,0.037440427543832554,-0.04782934060956045,-0.019884604358057556,-0.31297911863042593,-0.14572579181725037,-0.06294622463522011,-0.07399662645607309,0.0028620845409767,0.03665338127116612,0.07141424144410671,0.07100800629354762,0.17420775981669126,0.2397060456892224,-0.3463419390291949,-0.12405170653218961,-0.07970903214956274,-0.03085036273692559,0.0027569747669643264,0.05084673879405005,0.04118252626650169,0.07675054350416571,0.13982816308705076,0.2693263104936945,0.5803270351634922,0.7807428700874587,-0.030392078266365842,0.5118778999157747,0.5183065716918085,-0.02655867799253569,-0.011496504948437791,0.1826591241921966,0.011751443376863076,-0.02067111882283739,-0.003151060919879827,0.24807190388602351,0.016486433887750552,-0.00021500246382287033,-0.00030811252079881416,0.19097035637994916,0.17144550258223662,0.018057739915521516,0.010833421061292417,-0.031836251991538236
PHP,0.46009888406370064,0.45569288921668655,0.3399743929679958,0.6295597097416316,0.6812494075494746,0.4391900070413899,0.5989078105757877,0.6537568956582436,0.7512049234516491,1.0,0.6632480181007008,0.7070326555326191,0.7716484342606885,0.7944908268978663,-0.01912435799965541,0.007403583487489033,0.012596614631109245,0.01288520583957011,-0.013082786374592573,-0.026818721509128483,0.010897781573963507,-0.03022185423846961,-0.0033660879042686455,-0.0006885945515211747,0.02179530446025054,0.029175116714785048,0.014749807824152921,0.018952871466739973,-0.00944786769269615,0.023099745988700147,0.04045003290940073,-0.0022563919368865687,0.011659650276930745,0.007539216269291044,-0.0068205313432204645,0.01978219496759949,0.006348115683113256,-0.017560827929528098,-0.02529558602634711,0.0017900328451542788,0.007021011303558179,-0.050256345972815045,-0.03267898472916149,0.01259165868636512,0.011078449788949769,0.027416694891594182,-0.013178156070789428,-0.028476570547997716,-0.01479171091796282,-0.027404198361100248,0.02025122211213315,-0.01134511666920446,-0.03849564170194869,0.014333091571603096,0.021370941020316774,0.009073158307794189,0.017443557910955653,-0.031487489556441886,-0.04209913784707907,0.00959359369432554,0.03307590838347548,0.029639193199508623,0.02915137958351444,-0.3374288718916249,-0.15665331864516896,-0.08010087724360972,-0.03410984347279363,-0.014961186055254799,0.045251895679577644,0.06142149932653465,0.08656620638484598,0.14749723419749838,0.2825724614004048,-0.48653102644667234,-0.2272753967113268,-0.1325001658117516,-0.059882487082068614,-0.028090169897265087,0.03916845354142654,0.07879326962221153,0.13827654515174206,0.22929816901016672,0.4487493266898185,-0.005894395460039628,0.007327840614096471,0.01151323384002377,0.024833541539264845,-0.00035036368910821425,-0.001541161255603108,-0.007754913119964446,0.03434265950061141,-0.034384308458379226,-0.028085217699546052,-0.3119819475381984,-0.13285602674160188,-0.07237828875399518,-0.06502969305102174,-0.005296108837558095,0.025490046959109728,0.062325932079919294,0.07727267042310382,0.17254398337953727,0.25007828358937956,-0.327232412500921,-0.1326245031435584,-0.07236135036028815,-0.033270496551824735,0.00034786641693943323,0.06224756249573043,0.045475561246933506,0.08085940006669837,0.11959852203150627,0.25671450571641075,0.5423800702143892,0.7864496694510581,-0.029712300925181023,0.5079866768212508,0.497687746783666,-0.0461962837615422,-0.022892710157799576,0.16443092832748776,0.0051943979361587685,-0.03968390264739072,-0.002463396234032135,0.22817169936257756,0.014905861939710453,-0.011656238467047157,-0.005823322015117194,0.17271879191827494,0.15326659616267121,0.012009941998506805,0.002456771343543057,-0.047417826777004526
